feature_name,regime_bucket,abs_information_coefficient,signed_information_coefficient,observations,task_name,fold_id
m_ret,bull,0.04649152799792956,-0.04649152799792956,288,regression_forecasting,fold_001
m_ret_5d,bull,0.09308592808693482,0.09308592808693482,288,regression_forecasting,fold_001
m_ret_20d,bull,0.11054454032988462,-0.11054454032988462,288,regression_forecasting,fold_001
rel_to_market,bull,0.0970733683803575,-0.0970733683803575,288,regression_forecasting,fold_001
s_ret,bull,0.13788058051531638,-0.13788058051531638,288,regression_forecasting,fold_001
sector_dispersion,bull,0.0733279077214755,-0.0733279077214755,288,regression_forecasting,fold_001
sector_member_count,bull,0.16059326822402611,0.16059326822402611,288,regression_forecasting,fold_001
s_ret_5d,bull,0.0847077057223789,-0.0847077057223789,288,regression_forecasting,fold_001
rel_to_sector,bull,0.07126399079957663,-0.07126399079957663,288,regression_forecasting,fold_001
advancers,bull,0.1365898909125617,-0.1365898909125617,288,regression_forecasting,fold_001
decliners,bull,0.02047940837106218,0.02047940837106218,288,regression_forecasting,fold_001
unchanged,bull,0.1746234539473074,0.1746234539473074,288,regression_forecasting,fold_001
net_advancers,bull,0.08407380866578408,-0.08407380866578408,288,regression_forecasting,fold_001
advance_decline_ratio,bull,0.08466046517463223,-0.08466046517463223,288,regression_forecasting,fold_001
market_breadth,bull,0.08466046517463223,-0.08466046517463223,288,regression_forecasting,fold_001
breadth_member_count,bull,0.14414433968389037,-0.14414433968389037,288,regression_forecasting,fold_001
advancing_share,bull,0.13435961782433245,-0.13435961782433245,288,regression_forecasting,fold_001
declining_share,bull,0.0236814118547941,0.0236814118547941,288,regression_forecasting,fold_001
pct_above_ma20,bull,0.195673969983852,-0.195673969983852,288,regression_forecasting,fold_001
pct_above_ma50,bull,0.24882289346111344,-0.24882289346111344,288,regression_forecasting,fold_001
new_highs_252,bull,0.15811019689121264,-0.15811019689121264,288,regression_forecasting,fold_001
new_lows_252,bull,0.24192290667136443,0.24192290667136443,288,regression_forecasting,fold_001
new_high_low_spread,bull,0.2075049372780689,-0.2075049372780689,288,regression_forecasting,fold_001
up_volume,bull,0.14407682259820095,-0.14407682259820095,288,regression_forecasting,fold_001
down_volume,bull,0.04161144682274873,0.04161144682274873,288,regression_forecasting,fold_001
up_down_volume_ratio,bull,0.08868466060061915,-0.08868466060061915,288,regression_forecasting,fold_001
log_return,bull,0.11372447650063934,-0.11372447650063934,288,regression_forecasting,fold_001
range_5,bull,0.12227136272799886,-0.12227136272799886,288,regression_forecasting,fold_001
range_20,bull,0.16454398621212885,-0.16454398621212885,288,regression_forecasting,fold_001
roc_60,bull,0.10959300681736095,-0.10959300681736095,288,regression_forecasting,fold_001
momentum_5,bull,0.178654407262963,-0.178654407262963,288,regression_forecasting,fold_001
momentum_10,bull,0.039507859874103296,-0.039507859874103296,288,regression_forecasting,fold_001
momentum_20,bull,0.29274672148205116,-0.29274672148205116,288,regression_forecasting,fold_001
dist_ma_5,bull,0.1762071162023825,-0.1762071162023825,288,regression_forecasting,fold_001
rolling_min_5,bull,0.022884683364563566,-0.022884683364563566,288,regression_forecasting,fold_001
rolling_max_5,bull,0.032851294261755475,-0.032851294261755475,288,regression_forecasting,fold_001
dist_ma_20,bull,0.15588354323185385,-0.15588354323185385,288,regression_forecasting,fold_001
rolling_min_20,bull,0.010595276223200011,-0.010595276223200011,288,regression_forecasting,fold_001
rolling_max_20,bull,0.037060248504439654,-0.037060248504439654,288,regression_forecasting,fold_001
dist_ma_60,bull,0.18735617256055306,-0.18735617256055306,288,regression_forecasting,fold_001
rolling_min_60,bull,0.005551064175826889,0.005551064175826889,288,regression_forecasting,fold_001
rolling_max_60,bull,0.03603921003570771,-0.03603921003570771,288,regression_forecasting,fold_001
sma_20,bull,0.01573630289948143,-0.01573630289948143,288,regression_forecasting,fold_001
sma_50,bull,0.009831423991031166,-0.009831423991031166,288,regression_forecasting,fold_001
sma_200,bull,0.05940424202229697,0.05940424202229697,288,regression_forecasting,fold_001
ema_12,bull,0.021520363793146972,-0.021520363793146972,288,regression_forecasting,fold_001
ema_20,bull,0.011901948031639135,-0.011901948031639135,288,regression_forecasting,fold_001
ema_50,bull,0.006399969058483708,-0.006399969058483708,288,regression_forecasting,fold_001
close_to_sma_200,bull,0.27316883514290075,-0.27316883514290075,288,regression_forecasting,fold_001
turnover,bull,0.12982475010675965,0.12982475010675965,288,regression_forecasting,fold_001
vroc_5,bull,0.11018526736506393,-0.11018526736506393,288,regression_forecasting,fold_001
volume_std_5,bull,0.19261573347744299,0.19261573347744299,288,regression_forecasting,fold_001
volume_min_5,bull,0.16996380161221752,0.16996380161221752,288,regression_forecasting,fold_001
volume_max_5,bull,0.1750719325666165,0.1750719325666165,288,regression_forecasting,fold_001
turnover_ma_5,bull,0.14733241694518795,0.14733241694518795,288,regression_forecasting,fold_001
turnover_ratio_5,bull,0.0772010239902953,-0.0772010239902953,288,regression_forecasting,fold_001
vroc_20,bull,0.04670754723280732,-0.04670754723280732,288,regression_forecasting,fold_001
