file_path,file_size_bytes,modified_time,detected_symbol,detected_frequency,location_type,row_count,first_datetime,last_datetime,columns,has_pre_2023,has_2015_2022,has_2023,has_2024,has_2025,has_2026
data/market_cache/vnstock_data/universe/VN100.csv,528,2026-05-11T22:05:56.797642+00:00,VN100,unknown,active_cache,0,,,ticker,False,False,False,False,False,False
data/market_cache/vnstock_data/vn30/hourly_2015/ACB.csv,116663,2026-05-15T21:35:46.159595+00:00,ACB,unknown,active_cache,1497,2023-09-11 10:00:00,2026-05-15 00:00:00,"datetime,ticker,open,high,low,close,volume,provider,source,frequency",False,False,True,True,True,True
data/market_cache/vnstock_data/vn30/hourly_2015/BCM.csv,126369,2026-05-16T08:56:09.026733+00:00,BCM,unknown,active_cache,1651,2023-09-11 10:00:00,2026-05-15 00:00:00,"datetime,ticker,open,high,low,close,volume,provider,source,frequency",False,False,True,True,True,True
data/market_cache/vnstock_data/vn30/hourly_2015/BID.csv,112453,2026-05-15T11:39:40.268384+00:00,BID,unknown,active_cache,1455,2023-09-11 10:00:00,2026-05-14 00:00:00,"datetime,ticker,open,high,low,close,volume,provider,source,frequency",False,False,True,True,True,True
data/market_cache/vnstock_data/vn30/hourly_2015/BVH.csv,111552,2026-05-16T09:01:45.885531+00:00,BVH,unknown,active_cache,1456,2023-09-11 10:00:00,2026-05-15 00:00:00,"datetime,ticker,open,high,low,close,volume,provider,source,frequency",False,False,True,True,True,True
data/market_cache/vnstock_data/vn30/hourly_2015/CTG.csv,112389,2026-05-15T15:40:00.260711+00:00,CTG,unknown,active_cache,1440,2023-09-11 10:00:00,2026-05-15 00:00:00,"datetime,ticker,open,high,low,close,volume,provider,source,frequency",False,False,True,True,True,True
data/market_cache/vnstock_data/vn30/hourly_2015/DGC.csv,114250,2026-05-15T21:42:33.929082+00:00,unknown,unknown,active_cache,1435,2023-09-11 10:00:00,2026-05-15 00:00:00,"datetime,ticker,open,high,low,close,volume,provider,source,frequency",False,False,True,True,True,True
data/market_cache/vnstock_data/vn30/hourly_2015/FPT.csv,114754,2026-05-15T22:06:08.017776+00:00,FPT,unknown,active_cache,1449,2023-09-11 10:00:00,2026-05-15 00:00:00,"datetime,ticker,open,high,low,close,volume,provider,source,frequency",False,False,True,True,True,True
data/market_cache/vnstock_data/vn30/hourly_2015/GAS.csv,111997,2026-05-16T02:07:29.938178+00:00,GAS,unknown,active_cache,1456,2023-09-11 10:00:00,2026-05-15 00:00:00,"datetime,ticker,open,high,low,close,volume,provider,source,frequency",False,False,True,True,True,True
data/market_cache/vnstock_data/vn30/hourly_2015/GVR.csv,112909,2026-05-16T06:09:32.460054+00:00,GVR,unknown,active_cache,1456,2023-09-11 10:00:00,2026-05-15 00:00:00,"datetime,ticker,open,high,low,close,volume,provider,source,frequency",False,False,True,True,True,True
