horizon,ticker,model_name,regression_observations,regression_mae,regression_rmse,regression_mape,regression_directional_accuracy,classification_observations,classification_accuracy,classification_precision,classification_recall,classification_f1,classification_roc_auc,classification_positive_class_precision,classification_true_negative,classification_false_positive,classification_false_negative,classification_true_positive
20d,ACB,cart,37,0.16392636215778902,0.17373997721149861,190.47558162654886,0.16216216216216217,37,0.40540540540540543,1.0,0.40540540540540543,0.5769230769230769,,1.0,0,0,22,15
20d,ACB,lightgbm,37,0.156015460096774,0.15990676018685265,178.55044345490484,0.0,37,0.08108108108108109,1.0,0.08108108108108109,0.15,,1.0,0,0,34,3
20d,ACB,xgboost,37,0.14429651067769114,0.14702110829954976,165.64715500782503,0.0,37,0.02702702702702703,1.0,0.02702702702702703,0.05263157894736842,,1.0,0,0,36,1
20d,DGC,cart,37,0.090346896634374,0.1143941091689142,1008.9259036496723,0.7027027027027027,37,0.6486486486486487,0.8571428571428571,0.3333333333333333,0.48,0.6403508771929824,0.8571428571428571,18,1,12,6
20d,DGC,lightgbm,37,0.07858544303728403,0.0854595340049001,662.0662200761054,0.4864864864864865,37,0.5135135135135135,0.0,0.0,0.0,0.7923976608187134,0.0,19,0,18,0
20d,DGC,xgboost,37,0.09199480476731155,0.09731027921112091,726.4961688879442,0.4864864864864865,37,0.5135135135135135,0.0,0.0,0.0,0.6461988304093568,0.0,19,0,18,0
20d,HPG,cart,37,0.055980303037855006,0.0641120730133604,833.0573303917305,0.8918918918918919,37,0.6756756756756757,0.6756756756756757,1.0,0.8064516129032258,0.5,0.6756756756756757,0,12,0,25
20d,HPG,lightgbm,37,0.07408288593866841,0.0836187086510261,1100.7754895977628,0.918918918918919,37,0.6756756756756757,0.6756756756756757,1.0,0.8064516129032258,0.7266666666666667,0.6756756756756757,0,12,0,25
20d,HPG,xgboost,37,0.07504521413447386,0.08990798674653724,1133.3887901569508,0.918918918918919,37,0.6486486486486487,0.6666666666666666,0.96,0.7868852459016393,0.6133333333333333,0.6666666666666666,0,12,1,24
20d,MWG,cart,37,0.12236835313569952,0.13391435302137902,357.3150173439333,0.21621621621621623,37,0.2972972972972973,0.8181818181818182,0.2727272727272727,0.4090909090909091,0.38636363636363635,0.8181818181818182,2,2,24,9
20d,MWG,lightgbm,37,0.10811222894045873,0.1138373386950359,281.94842849453863,0.08108108108108109,37,0.10810810810810811,0.0,0.0,0.0,0.4924242424242424,0.0,4,0,33,0
20d,MWG,xgboost,37,0.10333450377647027,0.10949401152226809,238.16160250881825,0.10810810810810811,37,0.13513513513513514,1.0,0.030303030303030304,0.058823529411764705,0.5378787878787878,1.0,4,0,32,1
20d,OVERALL,cart,148,0.10815547874142939,0.127784001096779,597.4434582529713,0.49324324324324326,148,0.5067567567567568,0.7857142857142857,0.48672566371681414,0.6010928961748634,0.5290771175726928,0.7857142857142857,20,15,58,55
20d,OVERALL,lightgbm,148,0.10419900450329629,0.11491794031332074,555.8351454058277,0.3716216216216216,148,0.34459459459459457,0.7,0.24778761061946902,0.3660130718954248,0.4594184576485461,0.7,23,12,85,28
20d,OVERALL,xgboost,148,0.10366775833898671,0.11308943514518535,565.9234291403845,0.3783783783783784,148,0.3310810810810811,0.6842105263157895,0.23008849557522124,0.3443708609271523,0.4695322376738306,0.6842105263157895,23,12,87,26
3d,ACB,cart,37,0.08570562298910904,0.09211647658310398,1059.7571579887694,0.35135135135135137,37,0.5675675675675675,0.5,0.25,0.3333333333333333,0.5297619047619048,0.5,17,4,12,4
3d,ACB,lightgbm,37,0.047598565112862735,0.055835800119543456,431.73118201896176,0.32432432432432434,37,0.5675675675675675,0.0,0.0,0.0,0.47916666666666674,0.0,21,0,16,0
3d,ACB,xgboost,37,0.056136625140326926,0.06155026320673586,597.0681725760221,0.32432432432432434,37,0.5945945945945946,1.0,0.0625,0.11764705882352941,0.5089285714285714,1.0,21,0,15,1
3d,DGC,cart,37,0.09355065253454081,0.11870826868267713,1310.1442968407325,0.35135135135135137,37,0.5405405405405406,0.45454545454545453,0.3125,0.37037037037037035,0.5133928571428571,0.45454545454545453,15,6,11,5
3d,DGC,lightgbm,37,0.06820729012499861,0.07437974326570729,950.4473908551839,0.35135135135135137,37,0.5675675675675675,0.0,0.0,0.0,0.49404761904761907,0.0,21,0,16,0
3d,DGC,xgboost,37,0.06769096892674954,0.07323298169498399,854.9182401596754,0.35135135135135137,37,0.5135135135135135,0.0,0.0,0.0,0.5059523809523809,0.0,19,2,16,0
3d,HPG,cart,37,0.047741148900043835,0.05104036063368471,696.612076111938,0.5405405405405406,37,0.5405405405405406,0.4666666666666667,0.4375,0.45161290322580644,0.5282738095238095,0.4666666666666667,13,8,9,7
3d,HPG,lightgbm,37,0.013735241802498492,0.016799350881363147,151.49908645875215,0.5945945945945946,37,0.6486486486486487,0.6363636363636364,0.4375,0.5185185185185185,0.7083333333333334,0.6363636363636364,17,4,9,7
3d,HPG,xgboost,37,0.01385893133558391,0.01721779365830596,140.60607961562596,0.5135135135135135,37,0.5135135135135135,0.4444444444444444,0.5,0.47058823529411764,0.5654761904761905,0.4444444444444444,11,10,8,8
3d,MWG,cart,37,0.06817813463478684,0.07710560562142026,579.4257190169855,0.4594594594594595,37,0.43243243243243246,0.14285714285714285,0.0625,0.08695652173913043,0.38839285714285715,0.14285714285714285,15,6,15,1
3d,MWG,lightgbm,37,0.02808979931252282,0.03723748810734353,158.3835670258115,0.40540540540540543,37,0.6216216216216216,1.0,0.125,0.2222222222222222,0.4642857142857143,1.0,21,0,14,2
3d,MWG,xgboost,37,0.02716860842908666,0.034751064239928,164.75013058306322,0.40540540540540543,37,0.5405405405405406,0.3333333333333333,0.0625,0.10526315789473684,0.45833333333333337,0.3333333333333333,19,2,15,1
3d,OVERALL,cart,148,0.07379388976462013,0.08821492382752874,914.006653335973,0.42567567567567566,148,0.5202702702702703,0.4146341463414634,0.265625,0.3238095238095238,0.48995535714285715,0.4146341463414634,60,24,47,17
3d,OVERALL,lightgbm,148,0.039407724088220665,0.05079082469758157,424.9613628088454,0.4189189189189189,148,0.6013513513513513,0.6923076923076923,0.140625,0.23376623376623376,0.5271577380952381,0.6923076923076923,80,4,55,9
3d,OVERALL,xgboost,148,0.04121378345793676,0.05161296686159381,442.50553137915495,0.39864864864864863,148,0.5405405405405406,0.4166666666666667,0.15625,0.22727272727272727,0.5119047619047619,0.4166666666666667,70,14,54,10
5d,ACB,cart,37,0.0644475187560726,0.07353006362729768,539.1663443714922,0.2702702702702703,37,0.4864864864864865,0.3333333333333333,0.05555555555555555,0.09523809523809523,0.4751461988304093,0.3333333333333333,17,2,17,1
5d,ACB,lightgbm,37,0.06834164184341389,0.07415163236797574,598.1324808891848,0.2702702702702703,37,0.5135135135135135,0.0,0.0,0.0,0.6140350877192983,0.0,19,0,18,0
5d,ACB,xgboost,37,0.07283320709590657,0.07797477552951597,700.500371176543,0.2702702702702703,37,0.5135135135135135,0.0,0.0,0.0,0.4970760233918129,0.0,19,0,18,0
5d,DGC,cart,37,0.12774988698990178,0.14859662330888385,1015.4780525629075,0.35135135135135137,37,0.5675675675675675,0.631578947368421,0.5714285714285714,0.6,0.5669642857142857,0.631578947368421,9,7,9,12
5d,DGC,lightgbm,37,0.0975119025802902,0.10307965542644486,1054.1160672618653,0.35135135135135137,37,0.43243243243243246,0.0,0.0,0.0,0.47023809523809523,0.0,16,0,21,0
5d,DGC,xgboost,37,0.09299104638901287,0.09924567471159428,1016.565588075547,0.35135135135135137,37,0.40540540540540543,0.0,0.0,0.0,0.3571428571428571,0.0,15,1,21,0
