date,ticker,horizon,model_name,actual_return,predicted_return,actual_profit_label,predicted_profit_label,predicted_profit_probability
2023-12-27,ACB,20d,cart,0.056201550387597,0.0,1,0,0.0
2023-12-28,ACB,20d,cart,0.08246753246753258,0.03520208604954367,1,0,0.0
2023-12-29,ACB,20d,cart,0.08896103896103891,0.03520208604954367,1,0,0.0
2024-01-02,ACB,20d,cart,0.09648562300319496,0.0,1,0,0.0
2024-01-03,ACB,20d,cart,0.1286173633440515,0.026007802340702213,1,0,0.0
2024-01-04,ACB,20d,cart,0.13482428115015987,0.026007802340702213,1,0,0.0
2024-01-05,ACB,20d,cart,0.13613231552162852,0.030559167750324967,1,0,0.0
2024-01-08,ACB,20d,cart,0.13167938931297707,0.022756827048114436,1,0,0.0
2024-01-09,ACB,20d,cart,0.11641221374045796,-0.041794714197910254,1,0,0.0
2024-01-10,ACB,20d,cart,0.12222925902469917,-0.041794714197910254,1,0,0.0
2024-01-11,ACB,20d,cart,0.13226837060702867,-0.04153940134392187,1,1,1.0
2024-01-12,ACB,20d,cart,0.14692843571880942,-0.1277813095994914,1,1,1.0
2024-01-15,ACB,20d,cart,0.11208515967438948,-0.04916985951468711,1,1,1.0
2024-01-16,ACB,20d,cart,0.1143749999999999,-0.18250950570342195,1,1,1.0
2024-01-17,ACB,20d,cart,0.10197775030902334,-0.18250950570342195,1,1,1.0
2024-01-18,ACB,20d,cart,0.10380835380835363,-0.041794714197910254,1,1,1.0
2024-01-19,ACB,20d,cart,0.11580882352941191,0.0,1,0,0.0
2024-01-22,ACB,20d,cart,0.13390663390663393,-0.07835581245985879,1,0,0.0
2024-01-23,ACB,20d,cart,0.11531421598535685,-0.09090909090909094,1,1,1.0
2024-01-24,ACB,20d,cart,0.10968137254901955,-0.07835581245985879,1,1,1.0
2024-01-25,ACB,20d,cart,0.10764525993883778,-0.09090909090909094,1,1,1.0
2024-01-26,ACB,20d,cart,0.10737852429514083,-0.09090909090909094,1,1,1.0
2024-01-29,ACB,20d,cart,0.0858676207513418,-0.09059711736444753,1,1,1.0
2024-01-30,ACB,20d,cart,0.061188811188811254,-0.09636118598382748,1,1,1.0
2024-01-31,ACB,20d,cart,0.029629629629629672,-0.09636118598382748,1,1,1.0
2024-02-01,ACB,20d,cart,0.027590090090090058,-0.1091676718938479,1,0,0.0
2024-02-02,ACB,20d,cart,0.03135498320268759,-0.08363201911589002,1,0,0.0
2024-02-05,ACB,20d,cart,0.09668353007307484,-0.08578284343131382,1,0,0.0
2024-02-06,ACB,20d,cart,0.11396011396011385,-0.08578284343131382,1,1,1.0
2024-02-07,ACB,20d,cart,0.10891647855530473,-0.1091676718938479,1,1,1.0
2024-02-15,ACB,20d,cart,0.07731376975169302,-0.1091676718938479,1,0,0.0
2024-02-16,ACB,20d,cart,0.0695748205411375,-0.119158878504673,1,0,0.0
2024-02-19,ACB,20d,cart,0.09459459459459452,-0.08363201911589002,1,0,0.0
2024-02-20,ACB,20d,cart,0.08468872686483464,-0.1091676718938479,1,0,0.0
2024-02-21,ACB,20d,cart,0.09029725182277071,-0.08363201911589002,1,0,0.0
2024-02-22,ACB,20d,cart,0.08013355592654436,-0.1209580838323353,1,0,0.0
2024-02-23,ACB,20d,cart,0.052169137836353574,-0.1209580838323353,1,0,0.0
2023-12-27,ACB,20d,lightgbm,0.056201550387597,-0.005240935402834452,1,0,0.15829441122978147
2023-12-28,ACB,20d,lightgbm,0.08246753246753258,-0.001511205688441577,1,0,0.35835033486275464
2023-12-29,ACB,20d,lightgbm,0.08896103896103891,-0.00011918410644706819,1,1,0.8876761189176255
2024-01-02,ACB,20d,lightgbm,0.09648562300319496,-0.02849588287488013,1,0,0.08343153282505733
2024-01-03,ACB,20d,lightgbm,0.1286173633440515,-0.01584035974527181,1,1,0.6562706854676802
2024-01-04,ACB,20d,lightgbm,0.13482428115015987,-0.016837196227280634,1,1,0.5852346313931793
2024-01-05,ACB,20d,lightgbm,0.13613231552162852,-0.018845473536985746,1,0,0.002801892951578122
2024-01-08,ACB,20d,lightgbm,0.13167938931297707,-0.026195555183855586,1,0,0.006066986086511783
2024-01-09,ACB,20d,lightgbm,0.11641221374045796,-0.009315438330837068,1,0,0.01066319425444893
2024-01-10,ACB,20d,lightgbm,0.12222925902469917,-0.03386042739965512,1,0,0.009722711914156463
2024-01-11,ACB,20d,lightgbm,0.13226837060702867,-0.0279109141557363,1,0,0.0051836975999627975
2024-01-12,ACB,20d,lightgbm,0.14692843571880942,-0.02815792078480822,1,0,0.00861172219578099
2024-01-15,ACB,20d,lightgbm,0.11208515967438948,-0.05738517798190526,1,0,0.0040855735053972305
2024-01-16,ACB,20d,lightgbm,0.1143749999999999,-0.05500958055032635,1,0,0.0017041717717897454
2024-01-17,ACB,20d,lightgbm,0.10197775030902334,-0.03350981607775486,1,0,0.0019545741446181024
2024-01-18,ACB,20d,lightgbm,0.10380835380835363,-0.03440243945623741,1,0,0.002118248271041219
2024-01-19,ACB,20d,lightgbm,0.11580882352941191,-0.0967994481163128,1,0,0.0012476223936334946
2024-01-22,ACB,20d,lightgbm,0.13390663390663393,-0.06832891533772738,1,0,0.0003925037461075257
2024-01-23,ACB,20d,lightgbm,0.11531421598535685,-0.07527033788727171,1,0,0.0005211466490383503
2024-01-24,ACB,20d,lightgbm,0.10968137254901955,-0.08903763934653576,1,0,0.0003861967397921116
2024-01-25,ACB,20d,lightgbm,0.10764525993883778,-0.08965797278444437,1,0,0.0008302187607218342
2024-01-26,ACB,20d,lightgbm,0.10737852429514083,-0.09032177233748076,1,0,0.0005545812901623103
2024-01-29,ACB,20d,lightgbm,0.0858676207513418,-0.09481596474646964,1,0,0.0009067302535670273
2024-01-30,ACB,20d,lightgbm,0.061188811188811254,-0.11283547088868179,1,0,0.0007434003718648721
2024-01-31,ACB,20d,lightgbm,0.029629629629629672,-0.0979159724699061,1,0,0.0003321559612568877
2024-02-01,ACB,20d,lightgbm,0.027590090090090058,-0.07224664336924665,1,0,0.0012429922844363647
2024-02-02,ACB,20d,lightgbm,0.03135498320268759,-0.07177479513189611,1,0,0.00029196020832830926
2024-02-05,ACB,20d,lightgbm,0.09668353007307484,-0.07505743687550383,1,0,0.0005607988808131189
2024-02-06,ACB,20d,lightgbm,0.11396011396011385,-0.06648398375192487,1,0,0.0008869847238910525
2024-02-07,ACB,20d,lightgbm,0.10891647855530473,-0.08265938801833926,1,0,0.0003121731514711212
2024-02-15,ACB,20d,lightgbm,0.07731376975169302,-0.07741385180057332,1,0,0.0004681531144147988
2024-02-16,ACB,20d,lightgbm,0.0695748205411375,-0.08869047864486877,1,0,0.000505942911145124
2024-02-19,ACB,20d,lightgbm,0.09459459459459452,-0.07694529541899177,1,0,0.0008560380281487475
2024-02-20,ACB,20d,lightgbm,0.08468872686483464,-0.09091411539373535,1,0,0.0002582646660936023
2024-02-21,ACB,20d,lightgbm,0.09029725182277071,-0.0898652176910276,1,0,0.00020209693572576217
2024-02-22,ACB,20d,lightgbm,0.08013355592654436,-0.08898940519447865,1,0,0.0001515438242315822
2024-02-23,ACB,20d,lightgbm,0.052169137836353574,-0.08475882884763924,1,0,0.0002853023402543745
2023-12-27,ACB,20d,xgboost,0.056201550387597,-0.02113501727581024,1,0,0.37383148074150085
2023-12-28,ACB,20d,xgboost,0.08246753246753258,-0.0003628582926467061,1,0,0.4656425416469574
2023-12-29,ACB,20d,xgboost,0.08896103896103891,-0.006355613004416227,1,1,0.8778702616691589
2024-01-02,ACB,20d,xgboost,0.09648562300319496,-0.0328637957572937,1,0,0.09874653071165085
2024-01-03,ACB,20d,xgboost,0.1286173633440515,-0.014140681363642216,1,0,0.40656623244285583
2024-01-04,ACB,20d,xgboost,0.13482428115015987,-0.009946909733116627,1,0,0.37643963098526
2024-01-05,ACB,20d,xgboost,0.13613231552162852,-0.032616086304187775,1,0,0.02264820598065853
2024-01-08,ACB,20d,xgboost,0.13167938931297707,-0.01809145323932171,1,0,0.048456303775310516
2024-01-09,ACB,20d,xgboost,0.11641221374045796,-0.011849208734929562,1,0,0.13187363743782043
2024-01-10,ACB,20d,xgboost,0.12222925902469917,-0.024447018280625343,1,0,0.13665109872817993
2024-01-11,ACB,20d,xgboost,0.13226837060702867,-0.02544131688773632,1,0,0.12685608863830566
2024-01-12,ACB,20d,xgboost,0.14692843571880942,-0.03354908898472786,1,0,0.05530325323343277
2024-01-15,ACB,20d,xgboost,0.11208515967438948,-0.05206206440925598,1,0,0.016607757657766342
2024-01-16,ACB,20d,xgboost,0.1143749999999999,-0.06567665934562683,1,0,0.00564257986843586
2024-01-17,ACB,20d,xgboost,0.10197775030902334,-0.0775553360581398,1,0,0.004519863054156303
2024-01-18,ACB,20d,xgboost,0.10380835380835363,-0.050681307911872864,1,0,0.008670803159475327
2024-01-19,ACB,20d,xgboost,0.11580882352941191,-0.07283040881156921,1,0,0.004712550435215235
2024-01-22,ACB,20d,xgboost,0.13390663390663393,-0.0228533074259758,1,0,0.00571060786023736
2024-01-23,ACB,20d,xgboost,0.11531421598535685,-0.036265525966882706,1,0,0.007978025823831558
2024-01-24,ACB,20d,xgboost,0.10968137254901955,-0.011079903692007065,1,0,0.014727644622325897
2024-01-25,ACB,20d,xgboost,0.10764525993883778,-0.008781101554632187,1,0,0.01395219936966896
2024-01-26,ACB,20d,xgboost,0.10737852429514083,-0.04003593698143959,1,0,0.007620582822710276
2024-01-29,ACB,20d,xgboost,0.0858676207513418,-0.052478473633527756,1,0,0.00810195691883564
2024-01-30,ACB,20d,xgboost,0.061188811188811254,-0.07208405435085297,1,0,0.007980105467140675
2024-01-31,ACB,20d,xgboost,0.029629629629629672,-0.07359591126441956,1,0,0.00672921072691679
2024-02-01,ACB,20d,xgboost,0.027590090090090058,-0.08273899555206299,1,0,0.01028475258499384
