model_name,probability_bucket,bucket_min_probability,bucket_max_probability,observations,avg_predicted_probability,realized_profit_rate,calibration_gap
cart,lt_0.50,0.0,0.5,75,0.0,0.3466666666666667,0.3466666666666667
cart,0.50-0.55,0.5,0.55,0,,,
cart,0.55-0.60,0.55,0.6,0,,,
cart,0.60-0.65,0.6,0.65,0,,,
cart,0.65+,0.65,1.0,69,1.0,0.21739130434782608,-0.782608695652174
lightgbm,lt_0.50,0.0,0.5,101,0.21217810100849366,0.2871287128712871,0.07495061186279345
lightgbm,0.50-0.55,0.5,0.55,6,0.5240334637024985,0.16666666666666666,-0.35736679703583185
lightgbm,0.55-0.60,0.55,0.6,5,0.574218963288532,0.4,-0.17421896328853193
lightgbm,0.60-0.65,0.6,0.65,5,0.6284624380440121,0.2,-0.42846243804401213
lightgbm,0.65+,0.65,1.0,27,0.7980391193026157,0.2962962962962963,-0.5017428230063194
xgboost,lt_0.50,0.0,0.5,97,0.2645963878975701,0.29896907216494845,0.03437268426737833
xgboost,0.50-0.55,0.5,0.55,9,0.5169991519716051,0.2222222222222222,-0.29477692974938285
xgboost,0.55-0.60,0.55,0.6,5,0.5779670834541321,0.4,-0.17796708345413204
xgboost,0.60-0.65,0.6,0.65,3,0.6383291880289713,0.0,-0.6383291880289713
xgboost,0.65+,0.65,1.0,30,0.7892733911673228,0.26666666666666666,-0.522606724500656
