ticker,raw_hourly_sources,raw_hourly_files,first_available_hourly_timestamp,last_available_hourly_timestamp,hourly_rows,benchmark_usable,missing_reason
ACB,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/ACB.csv;data/hourly_market_split_data/ACB.csv,2024-01-02 10:00:00,2026-05-11 14:00:00,1296,False,training_start_after_requested_start:2024-01-02 10:00:00>2005-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59
BID,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/BID.csv;data/hourly_market_split_data/BID.csv,2024-01-02 10:00:00,2026-05-11 14:00:00,2648,False,training_start_after_requested_start:2024-01-02 10:00:00>2005-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59
CTG,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/CTG.csv;data/hourly_market_split_data/CTG.csv,2025-11-18 09:00:00,2026-05-11 14:00:00,575,False,training_start_after_requested_start:2025-11-18 09:00:00>2005-01-01 00:00:00; no_training_rows_in_requested_window; evaluation_start_after_requested_start:2025-11-18 09:00:00>2025-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59
DGC,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/DGC.csv;data/hourly_market_split_data/DGC.csv,2025-11-25 09:00:00,2026-05-11 14:00:00,550,False,training_start_after_requested_start:2025-11-25 09:00:00>2005-01-01 00:00:00; no_training_rows_in_requested_window; evaluation_start_after_requested_start:2025-11-25 09:00:00>2025-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59
FPT,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/FPT.csv;data/hourly_market_split_data/FPT.csv,2025-11-05 09:00:00,2026-05-11 14:00:00,620,False,training_start_after_requested_start:2025-11-05 09:00:00>2005-01-01 00:00:00; no_training_rows_in_requested_window; evaluation_start_after_requested_start:2025-11-05 09:00:00>2025-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59
GAS,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/GAS.csv;data/hourly_market_split_data/GAS.csv,2025-10-27 09:00:00,2026-05-11 14:00:00,655,False,training_start_after_requested_start:2025-10-27 09:00:00>2005-01-01 00:00:00; no_training_rows_in_requested_window; evaluation_start_after_requested_start:2025-10-27 09:00:00>2025-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59
GVR,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/GVR.csv;data/hourly_market_split_data/GVR.csv,2025-10-27 09:00:00,2026-05-11 14:00:00,655,False,training_start_after_requested_start:2025-10-27 09:00:00>2005-01-01 00:00:00; no_training_rows_in_requested_window; evaluation_start_after_requested_start:2025-10-27 09:00:00>2025-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59
HDB,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/HDB.csv;data/hourly_market_split_data/HDB.csv,2025-11-19 09:00:00,2026-05-11 14:00:00,570,False,training_start_after_requested_start:2025-11-19 09:00:00>2005-01-01 00:00:00; no_training_rows_in_requested_window; evaluation_start_after_requested_start:2025-11-19 09:00:00>2025-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59
HPG,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/HPG.csv;data/hourly_market_split_data/HPG.csv,2026-02-11 14:00:00,2026-05-11 14:00:00,201,False,training_start_after_requested_start:2026-02-11 14:00:00>2005-01-01 00:00:00; no_training_rows_in_requested_window; evaluation_start_after_requested_start:2026-02-11 14:00:00>2025-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59
LPB,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/LPB.csv;data/hourly_market_split_data/LPB.csv,2025-08-27 09:00:00,2026-05-11 14:00:00,860,False,training_start_after_requested_start:2025-08-27 09:00:00>2005-01-01 00:00:00; no_training_rows_in_requested_window; evaluation_start_after_requested_start:2025-08-27 09:00:00>2025-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59
MBB,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/MBB.csv;data/hourly_market_split_data/MBB.csv,2025-08-27 09:00:00,2026-05-11 14:00:00,860,False,training_start_after_requested_start:2025-08-27 09:00:00>2005-01-01 00:00:00; no_training_rows_in_requested_window; evaluation_start_after_requested_start:2025-08-27 09:00:00>2025-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59
MSN,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/MSN.csv;data/hourly_market_split_data/MSN.csv,2025-08-27 09:00:00,2026-05-11 14:00:00,860,False,training_start_after_requested_start:2025-08-27 09:00:00>2005-01-01 00:00:00; no_training_rows_in_requested_window; evaluation_start_after_requested_start:2025-08-27 09:00:00>2025-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59
MWG,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/MWG.csv;data/hourly_market_split_data/MWG.csv,2025-08-27 09:00:00,2026-05-11 14:00:00,860,False,training_start_after_requested_start:2025-08-27 09:00:00>2005-01-01 00:00:00; no_training_rows_in_requested_window; evaluation_start_after_requested_start:2025-08-27 09:00:00>2025-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59
PLX,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/PLX.csv;data/hourly_market_split_data/PLX.csv,2025-08-27 09:00:00,2026-05-11 14:00:00,860,False,training_start_after_requested_start:2025-08-27 09:00:00>2005-01-01 00:00:00; no_training_rows_in_requested_window; evaluation_start_after_requested_start:2025-08-27 09:00:00>2025-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59
SAB,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/SAB.csv;data/hourly_market_split_data/SAB.csv,2025-12-15 09:00:00,2026-05-11 14:00:00,480,False,training_start_after_requested_start:2025-12-15 09:00:00>2005-01-01 00:00:00; no_training_rows_in_requested_window; evaluation_start_after_requested_start:2025-12-15 09:00:00>2025-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59
SHB,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/SHB.csv;data/hourly_market_split_data/SHB.csv,2026-02-11 14:00:00,2026-05-11 14:00:00,276,False,training_start_after_requested_start:2026-02-11 14:00:00>2005-01-01 00:00:00; no_training_rows_in_requested_window; evaluation_start_after_requested_start:2026-02-11 14:00:00>2025-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59
SSB,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/SSB.csv;data/hourly_market_split_data/SSB.csv,2025-08-27 09:00:00,2026-05-11 14:00:00,860,False,training_start_after_requested_start:2025-08-27 09:00:00>2005-01-01 00:00:00; no_training_rows_in_requested_window; evaluation_start_after_requested_start:2025-08-27 09:00:00>2025-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59
SSI,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/SSI.csv;data/hourly_market_split_data/SSI.csv,2025-11-10 09:00:00,2026-05-11 14:00:00,605,False,training_start_after_requested_start:2025-11-10 09:00:00>2005-01-01 00:00:00; no_training_rows_in_requested_window; evaluation_start_after_requested_start:2025-11-10 09:00:00>2025-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59
STB,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/STB.csv;data/hourly_market_split_data/STB.csv,2025-08-27 09:00:00,2026-05-11 14:00:00,860,False,training_start_after_requested_start:2025-08-27 09:00:00>2005-01-01 00:00:00; no_training_rows_in_requested_window; evaluation_start_after_requested_start:2025-08-27 09:00:00>2025-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59
TCB,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/TCB.csv;data/hourly_market_split_data/TCB.csv,2025-10-27 09:00:00,2026-05-11 14:00:00,655,False,training_start_after_requested_start:2025-10-27 09:00:00>2005-01-01 00:00:00; no_training_rows_in_requested_window; evaluation_start_after_requested_start:2025-10-27 09:00:00>2025-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59
TPB,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/TPB.csv;data/hourly_market_split_data/TPB.csv,2025-10-27 09:00:00,2026-05-11 14:00:00,655,False,training_start_after_requested_start:2025-10-27 09:00:00>2005-01-01 00:00:00; no_training_rows_in_requested_window; evaluation_start_after_requested_start:2025-10-27 09:00:00>2025-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59
VCB,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/VCB.csv;data/hourly_market_split_data/VCB.csv,2025-10-27 09:00:00,2026-05-11 14:00:00,655,False,training_start_after_requested_start:2025-10-27 09:00:00>2005-01-01 00:00:00; no_training_rows_in_requested_window; evaluation_start_after_requested_start:2025-10-27 09:00:00>2025-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59
VHM,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/VHM.csv;data/hourly_market_split_data/VHM.csv,2025-08-27 09:00:00,2026-05-11 14:00:00,860,False,training_start_after_requested_start:2025-08-27 09:00:00>2005-01-01 00:00:00; no_training_rows_in_requested_window; evaluation_start_after_requested_start:2025-08-27 09:00:00>2025-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59
VIB,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/VIB.csv;data/hourly_market_split_data/VIB.csv,2026-02-11 14:00:00,2026-05-11 14:00:00,251,False,training_start_after_requested_start:2026-02-11 14:00:00>2005-01-01 00:00:00; no_training_rows_in_requested_window; evaluation_start_after_requested_start:2026-02-11 14:00:00>2025-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59
VIC,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/VIC.csv;data/hourly_market_split_data/VIC.csv,2025-11-06 09:00:00,2026-05-11 14:00:00,615,False,training_start_after_requested_start:2025-11-06 09:00:00>2005-01-01 00:00:00; no_training_rows_in_requested_window; evaluation_start_after_requested_start:2025-11-06 09:00:00>2025-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59
VJC,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/VJC.csv;data/hourly_market_split_data/VJC.csv,2025-08-27 09:00:00,2026-05-11 14:00:00,860,False,training_start_after_requested_start:2025-08-27 09:00:00>2005-01-01 00:00:00; no_training_rows_in_requested_window; evaluation_start_after_requested_start:2025-08-27 09:00:00>2025-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59
VNM,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/VNM.csv;data/hourly_market_split_data/VNM.csv,2025-10-27 09:00:00,2026-05-11 14:00:00,655,False,training_start_after_requested_start:2025-10-27 09:00:00>2005-01-01 00:00:00; no_training_rows_in_requested_window; evaluation_start_after_requested_start:2025-10-27 09:00:00>2025-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59
VPB,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/VPB.csv;data/hourly_market_split_data/VPB.csv,2025-08-27 09:00:00,2026-05-11 14:00:00,860,False,training_start_after_requested_start:2025-08-27 09:00:00>2005-01-01 00:00:00; no_training_rows_in_requested_window; evaluation_start_after_requested_start:2025-08-27 09:00:00>2025-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59
VPL,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/VPL.csv;data/hourly_market_split_data/VPL.csv,2025-08-27 09:00:00,2026-05-11 14:00:00,854,False,training_start_after_requested_start:2025-08-27 09:00:00>2005-01-01 00:00:00; no_training_rows_in_requested_window; evaluation_start_after_requested_start:2025-08-27 09:00:00>2025-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59
