ticker,index,source,effective_period,note
ACB,VN30,hose_january_2025_review,2025-02-03_to_2025-08-01,Frozen VN30 January 2025 review constituent for hourly NCKH benchmark universe.
BCM,VN30,hose_january_2025_review,2025-02-03_to_2025-08-01,Frozen VN30 January 2025 review constituent for hourly NCKH benchmark universe.
BID,VN30,hose_january_2025_review,2025-02-03_to_2025-08-01,Frozen VN30 January 2025 review constituent for hourly NCKH benchmark universe.
BVH,VN30,hose_january_2025_review,2025-02-03_to_2025-08-01,Frozen VN30 January 2025 review constituent for hourly NCKH benchmark universe.
CTG,VN30,hose_january_2025_review,2025-02-03_to_2025-08-01,Frozen VN30 January 2025 review constituent for hourly NCKH benchmark universe.
FPT,VN30,hose_january_2025_review,2025-02-03_to_2025-08-01,Frozen VN30 January 2025 review constituent for hourly NCKH benchmark universe.
GAS,VN30,hose_january_2025_review,2025-02-03_to_2025-08-01,Frozen VN30 January 2025 review constituent for hourly NCKH benchmark universe.
GVR,VN30,hose_january_2025_review,2025-02-03_to_2025-08-01,Frozen VN30 January 2025 review constituent for hourly NCKH benchmark universe.
HDB,VN30,hose_january_2025_review,2025-02-03_to_2025-08-01,Frozen VN30 January 2025 review constituent for hourly NCKH benchmark universe.
HPG,VN30,hose_january_2025_review,2025-02-03_to_2025-08-01,Frozen VN30 January 2025 review constituent for hourly NCKH benchmark universe.
LPB,VN30,hose_january_2025_review,2025-02-03_to_2025-08-01,Frozen VN30 January 2025 review constituent for hourly NCKH benchmark universe.
MBB,VN30,hose_january_2025_review,2025-02-03_to_2025-08-01,Frozen VN30 January 2025 review constituent for hourly NCKH benchmark universe.
MSN,VN30,hose_january_2025_review,2025-02-03_to_2025-08-01,Frozen VN30 January 2025 review constituent for hourly NCKH benchmark universe.
MWG,VN30,hose_january_2025_review,2025-02-03_to_2025-08-01,Frozen VN30 January 2025 review constituent for hourly NCKH benchmark universe.
PLX,VN30,hose_january_2025_review,2025-02-03_to_2025-08-01,Frozen VN30 January 2025 review constituent for hourly NCKH benchmark universe.
SAB,VN30,hose_january_2025_review,2025-02-03_to_2025-08-01,Frozen VN30 January 2025 review constituent for hourly NCKH benchmark universe.
SHB,VN30,hose_january_2025_review,2025-02-03_to_2025-08-01,Frozen VN30 January 2025 review constituent for hourly NCKH benchmark universe.
SSB,VN30,hose_january_2025_review,2025-02-03_to_2025-08-01,Frozen VN30 January 2025 review constituent for hourly NCKH benchmark universe.
SSI,VN30,hose_january_2025_review,2025-02-03_to_2025-08-01,Frozen VN30 January 2025 review constituent for hourly NCKH benchmark universe.
STB,VN30,hose_january_2025_review,2025-02-03_to_2025-08-01,Frozen VN30 January 2025 review constituent for hourly NCKH benchmark universe.
TCB,VN30,hose_january_2025_review,2025-02-03_to_2025-08-01,Frozen VN30 January 2025 review constituent for hourly NCKH benchmark universe.
TPB,VN30,hose_january_2025_review,2025-02-03_to_2025-08-01,Frozen VN30 January 2025 review constituent for hourly NCKH benchmark universe.
VCB,VN30,hose_january_2025_review,2025-02-03_to_2025-08-01,Frozen VN30 January 2025 review constituent for hourly NCKH benchmark universe.
VHM,VN30,hose_january_2025_review,2025-02-03_to_2025-08-01,Frozen VN30 January 2025 review constituent for hourly NCKH benchmark universe.
VIB,VN30,hose_january_2025_review,2025-02-03_to_2025-08-01,Frozen VN30 January 2025 review constituent for hourly NCKH benchmark universe.
VIC,VN30,hose_january_2025_review,2025-02-03_to_2025-08-01,Frozen VN30 January 2025 review constituent for hourly NCKH benchmark universe.
VJC,VN30,hose_january_2025_review,2025-02-03_to_2025-08-01,Frozen VN30 January 2025 review constituent for hourly NCKH benchmark universe.
VNM,VN30,hose_january_2025_review,2025-02-03_to_2025-08-01,Frozen VN30 January 2025 review constituent for hourly NCKH benchmark universe.
VPB,VN30,hose_january_2025_review,2025-02-03_to_2025-08-01,Frozen VN30 January 2025 review constituent for hourly NCKH benchmark universe.
VRE,VN30,hose_january_2025_review,2025-02-03_to_2025-08-01,Frozen VN30 January 2025 review constituent for hourly NCKH benchmark universe.
