ticker,company_name,first_trading_date,exchange_first_traded,current_exchange,source_note,note,active_in_jan2025_universe,needs_verification
ACB,Ngân hàng TMCP Á Châu,2006-11-21,HNX,HOSE,user_provided,Traded on HNX before HOSE transfer; active in VN30 January 2025 universe,true,false
BCM,,,,,needs_verification,active in VN30 January 2025 universe; effective_start defaults to 2015-01-01 or provider first timestamp,true,true
BID,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,2014-01-24,HOSE,HOSE,user_provided,active in VN30 January 2025 universe,true,false
BSR,CTCP Lọc hóa dầu Bình Sơn,2018-03-01,UPCoM,HOSE,user_provided,UPCoM before HOSE; inactive/excluded from active VN30 January 2025 benchmark universe,false,false
BVH,,,,,needs_verification,active in VN30 January 2025 universe; effective_start defaults to 2015-01-01 or provider first timestamp,true,true
CTG,Ngân hàng TMCP Công thương Việt Nam,2009-07-16,HOSE,HOSE,user_provided,active in VN30 January 2025 universe,true,false
DGC,,,,,needs_verification,effective start will fall back to 2015-01-01 or provider first timestamp; inactive/excluded from active VN30 January 2025 benchmark universe,false,true
FPT,CTCP FPT,2006-12-13,HOSE,HOSE,user_provided,active in VN30 January 2025 universe,true,false
GAS,Tổng Công ty Khí Việt Nam,2012-05-21,HOSE,HOSE,user_provided,active in VN30 January 2025 universe,true,false
GVR,Tập đoàn Công nghiệp Cao su Việt Nam,2018-03-21,UPCoM/HNX,HOSE,user_provided,UPCoM/HNX before HOSE; active in VN30 January 2025 universe,true,false
HDB,Ngân hàng TMCP Phát triển TP.HCM,2018-01-05,HOSE,HOSE,user_provided,active in VN30 January 2025 universe,true,false
HPG,CTCP Tập đoàn Hòa Phát,2007-11-15,HOSE,HOSE,user_provided,active in VN30 January 2025 universe,true,false
LPB,Ngân hàng TMCP Lộc Phát Việt Nam,2017-10-05,UPCoM,HOSE,user_provided,UPCoM before HOSE; active in VN30 January 2025 universe,true,false
MBB,Ngân hàng TMCP Quân đội,2011-11-01,HOSE,HOSE,user_provided,active in VN30 January 2025 universe,true,false
MSN,CTCP Tập đoàn Masan,2009-11-05,HOSE,HOSE,user_provided,active in VN30 January 2025 universe,true,false
MWG,CTCP Đầu tư Thế Giới Di Động,2014-07-14,HOSE,HOSE,user_provided,active in VN30 January 2025 universe,true,false
PLX,Tập đoàn Xăng dầu Việt Nam,2017-04-21,HOSE,HOSE,user_provided,active in VN30 January 2025 universe,true,false
SAB,Tổng CTCP Bia - Rượu - Nước giải khát Sài Gòn,2016-12-06,HOSE,HOSE,user_provided,active in VN30 January 2025 universe,true,false
SHB,Ngân hàng TMCP Sài Gòn - Hà Nội,2009-04-20,HNX,HOSE,user_provided,HNX before HOSE; active in VN30 January 2025 universe,true,false
SSB,Ngân hàng TMCP Đông Nam Á,2021-03-24,HOSE,HOSE,user_provided,active in VN30 January 2025 universe,true,false
SSI,CTCP Chứng khoán SSI,2006-12-15,HNX,HOSE,user_provided,HNX before HOSE; active in VN30 January 2025 universe,true,false
STB,Ngân hàng TMCP Sài Gòn Thương Tín,2006-07-12,HOSE,HOSE,user_provided,active in VN30 January 2025 universe,true,false
TCB,,,,,needs_verification,effective start will fall back to 2015-01-01 or provider first timestamp; active in VN30 January 2025 universe,true,true
TPB,,,,,needs_verification,effective start will fall back to 2015-01-01 or provider first timestamp; active in VN30 January 2025 universe,true,true
VCB,,,,,needs_verification,effective start will fall back to 2015-01-01 or provider first timestamp; active in VN30 January 2025 universe,true,true
VHM,,,,,needs_verification,effective start will fall back to 2015-01-01 or provider first timestamp; active in VN30 January 2025 universe,true,true
VIB,,,,,needs_verification,effective start will fall back to 2015-01-01 or provider first timestamp; active in VN30 January 2025 universe,true,true
VIC,,,,,needs_verification,effective start will fall back to 2015-01-01 or provider first timestamp; active in VN30 January 2025 universe,true,true
VJC,,,,,needs_verification,effective start will fall back to 2015-01-01 or provider first timestamp; active in VN30 January 2025 universe,true,true
VNM,,,,,needs_verification,effective start will fall back to 2015-01-01 or provider first timestamp; active in VN30 January 2025 universe,true,true
VPB,,,,,needs_verification,effective start will fall back to 2015-01-01 or provider first timestamp; active in VN30 January 2025 universe,true,true
VPL,,,,,needs_verification,effective start will fall back to 2015-01-01 or provider first timestamp; inactive/excluded from active VN30 January 2025 benchmark universe,false,true
VRE,,,,,needs_verification,effective start will fall back to 2015-01-01 or provider first timestamp; active in VN30 January 2025 universe,true,true
