step_size,horizon,model_name,ticker,observations,mae,rmse,mape,smape,correlation,directional_accuracy,precision,recall,f1,brier_score
1,long_3m,cart,OVERALL,1458,0.24114354574288174,0.30167799220326386,533.408458731431,145.7527301966398,-0.051380148051701574,0.5576131687242798,0.513953488372093,0.3363774733637747,0.40662373505059796,0.408387121399177
1,long_3m,stacking_final,OVERALL,1458,0.21471871984980537,0.27689219218107053,330.6656648785535,169.99893007941745,-0.3670864587086945,0.2908093278463649,0.26169405815423513,0.3150684931506849,0.28591160220994477,
1,long_6m,cart,OVERALL,1080,0.32587945193810813,0.3879006676211769,444.564272728635,143.36261555055341,0.27032894861792456,0.5268518518518519,0.71900826446281,0.3895522388059702,0.505324298160697,0.45082043972222213
1,long_6m,stacking_final,OVERALL,1080,0.3046142431737133,0.36354628669016753,334.560242036751,153.76981570223003,0.0969589124704126,0.41388888888888886,0.5362035225048923,0.408955223880597,0.4640135478408129,
1,short_10d,cart,OVERALL,1776,0.07775498688902228,0.10765025292137538,419.9244741399936,149.17537680615925,-0.01609495093335381,0.4971846846846847,0.5106861642294713,0.49780701754385964,0.504164353137146,0.3837799082207207
1,short_10d,stacking_final,OVERALL,1776,0.05469465298718061,0.08032591412620106,155.32735236172573,168.88746382366662,-0.042903712549928204,0.40653153153153154,0.44461778471138846,0.625,0.5195989061075661,
1,short_20d,cart,OVERALL,1716,0.10206989494454898,0.13195525604725336,491.65954979268764,145.3765037931777,0.1174924601212582,0.5128205128205128,0.5442477876106194,0.41183035714285715,0.46886912325285895,0.38487620385198135
1,short_20d,stacking_final,OVERALL,1716,0.08141888292408941,0.106737862393385,248.37958533797132,167.88085238864625,-0.03736310238268981,0.42365967365967366,0.45436702649656524,0.5167410714285714,0.4835509138381201,
1,short_30d,cart,OVERALL,1656,0.13000378390493558,0.17300913487898834,346.6919117243956,142.32629223694332,-0.01722941799408503,0.5060386473429952,0.5568022440392707,0.44160177975528364,0.49255583126550867,0.3909827725966184
1,short_30d,stacking_final,OVERALL,1656,0.10343135491047474,0.13343084254657933,181.36905031366578,167.9061207434833,-0.15912871327250774,0.35205314009661837,0.41853932584269665,0.4972191323692992,0.4544992374173869,
1,short_5d,cart,OVERALL,1806,0.05456237908444557,0.07267214384267145,441.13964702629477,153.03944481597836,0.053211381793164834,0.526578073089701,0.5329744279946165,0.43805309734513276,0.4808743169398907,0.32110819021594683
1,short_5d,stacking_final,OVERALL,1806,0.03793250954479433,0.053778334190010824,164.57881406968673,172.06208347738968,-0.01817711671810248,0.4485049833887043,0.46027633851468047,0.5896017699115044,0.5169738118331717,
