ticker,model_name,observations,accuracy,precision,recall,f1,roc_auc,positive_class_precision,true_negative,false_positive,false_negative,true_positive
ACB,cart,37,0.5675675675675675,0.5,0.25,0.3333333333333333,0.5297619047619048,0.5,17,4,12,4
ACB,lightgbm,37,0.5675675675675675,0.0,0.0,0.0,0.47916666666666674,0.0,21,0,16,0
ACB,xgboost,37,0.5945945945945946,1.0,0.0625,0.11764705882352941,0.5089285714285714,1.0,21,0,15,1
DGC,cart,37,0.5405405405405406,0.45454545454545453,0.3125,0.37037037037037035,0.5133928571428571,0.45454545454545453,15,6,11,5
DGC,lightgbm,37,0.5675675675675675,0.0,0.0,0.0,0.49404761904761907,0.0,21,0,16,0
DGC,xgboost,37,0.5135135135135135,0.0,0.0,0.0,0.5059523809523809,0.0,19,2,16,0
HPG,cart,37,0.5405405405405406,0.4666666666666667,0.4375,0.45161290322580644,0.5282738095238095,0.4666666666666667,13,8,9,7
HPG,lightgbm,37,0.6486486486486487,0.6363636363636364,0.4375,0.5185185185185185,0.7083333333333334,0.6363636363636364,17,4,9,7
HPG,xgboost,37,0.5135135135135135,0.4444444444444444,0.5,0.47058823529411764,0.5654761904761905,0.4444444444444444,11,10,8,8
MWG,cart,37,0.43243243243243246,0.14285714285714285,0.0625,0.08695652173913043,0.38839285714285715,0.14285714285714285,15,6,15,1
MWG,lightgbm,37,0.6216216216216216,1.0,0.125,0.2222222222222222,0.4642857142857143,1.0,21,0,14,2
MWG,xgboost,37,0.5405405405405406,0.3333333333333333,0.0625,0.10526315789473684,0.45833333333333337,0.3333333333333333,19,2,15,1
OVERALL,cart,148,0.5202702702702703,0.4146341463414634,0.265625,0.3238095238095238,0.48995535714285715,0.4146341463414634,60,24,47,17
OVERALL,lightgbm,148,0.6013513513513513,0.6923076923076923,0.140625,0.23376623376623376,0.5271577380952381,0.6923076923076923,80,4,55,9
OVERALL,xgboost,148,0.5405405405405406,0.4166666666666667,0.15625,0.22727272727272727,0.5119047619047619,0.4166666666666667,70,14,54,10
