check,status,severity,details
baseline_dir_exists,PASS,info,outputs/vn30_hourly_2015_target60_baseline_v2
final_dir_exists,PASS,info,outputs/vn30_hourly_2015_target65_final_v2
baseline_manifest_exists,PASS,info,manifest present
final_manifest_exists,PASS,info,manifest present
no_daily_data,PASS,info,hourly only by design
no_resampling,PASS,info,no resampling by design
all_30_tickers_baseline,PASS,info,all 30 tickers included by design
universe_unchanged,PASS,info,VN30 Jan 2025 unchanged
thresholds_on_validation,PASS,info,thresholds selected on 2024 validation only
final_eval_scoring_only,PASS,info,final eval used only for scoring
baseline_60_pass,WARN,warn,"Best global: 55.20%, Best threshold: 56.76%"
final_65_global_pass,WARN,warn,Best global: 56.76%
final_65_coverage_qualified_pass,WARN,warn,Coverage-qualified candidates: 0
claim_level,PASS,info,exploratory
