ticker,model_name,observations,accuracy,precision,recall,f1,roc_auc,positive_class_precision,true_negative,false_positive,false_negative,true_positive
ACB,cart,44,0.6363636363636364,0.4444444444444444,0.26666666666666666,0.3333333333333333,0.5471264367816091,0.4444444444444444,24,5,11,4
ACB,lightgbm,44,0.6590909090909091,0.0,0.0,0.0,0.5425287356321838,0.0,29,0,15,0
ACB,xgboost,44,0.6590909090909091,0.0,0.0,0.0,0.5402298850574713,0.0,29,0,15,0
DGC,cart,44,0.38636363636363635,0.2857142857142857,0.3333333333333333,0.3076923076923077,0.3782051282051282,0.2857142857142857,11,15,12,6
DGC,lightgbm,44,0.5681818181818182,0.42857142857142855,0.16666666666666666,0.24,0.547008547008547,0.42857142857142855,22,4,15,3
DGC,xgboost,44,0.5,0.0,0.0,0.0,0.4081196581196581,0.0,22,4,18,0
HPG,cart,44,0.7045454545454546,0.16666666666666666,0.4,0.23529411764705882,0.5717948717948719,0.16666666666666666,29,10,3,2
HPG,lightgbm,44,0.5,0.05263157894736842,0.2,0.08333333333333333,0.35384615384615387,0.05263157894736842,21,18,4,1
HPG,xgboost,44,0.5,0.05263157894736842,0.2,0.08333333333333333,0.2615384615384615,0.05263157894736842,21,18,4,1
MWG,cart,44,0.6136363636363636,0.64,0.6666666666666666,0.6530612244897959,0.6083333333333333,0.64,11,9,8,16
MWG,lightgbm,44,0.6136363636363636,0.6521739130434783,0.625,0.6382978723404256,0.5875,0.6521739130434783,12,8,9,15
MWG,xgboost,44,0.5909090909090909,0.6363636363636364,0.5833333333333334,0.6086956521739131,0.6166666666666667,0.6363636363636364,12,8,10,14
OVERALL,cart,176,0.5852272727272727,0.417910447761194,0.45161290322580644,0.43410852713178294,0.5547538200339559,0.417910447761194,75,39,34,28
OVERALL,lightgbm,176,0.5852272727272727,0.3877551020408163,0.3064516129032258,0.34234234234234234,0.519807583474816,0.3877551020408163,84,30,43,19
OVERALL,xgboost,176,0.5625,0.3333333333333333,0.24193548387096775,0.2803738317757009,0.4806168647425014,0.3333333333333333,84,30,47,15
