model_name,probability_bucket,bucket_min_probability,bucket_max_probability,observations,avg_predicted_probability,realized_profit_rate,calibration_gap
cart,lt_0.50,0.0,0.5,78,0.0,0.7435897435897436,0.7435897435897436
cart,0.50-0.55,0.5,0.55,0,,,
cart,0.55-0.60,0.55,0.6,0,,,
cart,0.60-0.65,0.6,0.65,0,,,
cart,0.65+,0.65,1.0,70,1.0,0.7857142857142857,-0.2142857142857143
lightgbm,lt_0.50,0.0,0.5,108,0.02746653212587479,0.7870370370370371,0.7595705049111623
lightgbm,0.50-0.55,0.5,0.55,0,,,
lightgbm,0.55-0.60,0.55,0.6,1,0.5852346313931793,1.0,0.4147653686068207
lightgbm,0.60-0.65,0.6,0.65,0,,,
lightgbm,0.65+,0.65,1.0,39,0.9642290407138535,0.6923076923076923,-0.2719213484061612
xgboost,lt_0.50,0.0,0.5,110,0.09013246437958015,0.7909090909090909,0.7007766265295108
xgboost,0.50-0.55,0.5,0.55,1,0.51674485206604,1.0,0.48325514793395996
xgboost,0.55-0.60,0.55,0.6,0,,,
xgboost,0.60-0.65,0.6,0.65,0,,,
xgboost,0.65+,0.65,1.0,37,0.8916359286050539,0.6756756756756757,-0.21596025292937826
