model_name,target_type,ticker,horizon,horizon_days,algorithm,artifact_type,sequence_length,feature_columns,data_start,data_end,raw_rows,indicator_warmup_rows,target_rows_lost,sequence_rows_lost,final_usable_rows,train_window_start,train_window_end,validation_window_start,validation_window_end,risk_engine_enabled,regime_switching_enabled,accuracy,balanced_accuracy,f1,mae,rmse,residual_std,volatility_proxy_source,cagr,sharpe,sortino,max_drawdown,train_seconds,inference_latency_ms
cart,forward_return,ACB,20d,20,cart,joblib,,176,2020-01-02,2025-12-31,1494,61,20,0,1474,2020-01-02,2025-01-10,2025-01-13,2025-12-03,False,False,0.509009009009009,0.5132985232928122,0.4976958525345622,0.05691886197201126,0.07817785827656734,0.07799305555284203,test_residuals_std,-0.0307,-0.95,-0.89,-0.0947,0.07873639999888837,0.0009828827633346256
cart,forward_return,DGC,20d,20,cart,joblib,,176,2020-01-02,2025-12-31,1493,61,20,0,1473,2020-01-02,2025-01-13,2025-01-14,2025-12-03,False,False,0.48868778280542985,0.5502923976608187,0.6245847176079734,0.08176735196745155,0.10676646195417162,0.10216110382560331,test_residuals_std,-0.2531,-3.65,-3.91,-0.2372,0.08449929999187589,0.0009289592382291593
cart,forward_return,HPG,20d,20,cart,joblib,,176,2020-01-02,2025-12-31,1499,61,20,0,1479,2020-01-02,2025-01-10,2025-01-13,2025-12-03,False,False,0.509009009009009,0.5372777017783857,0.5067873303167421,0.0595807982363614,0.07324259957759063,0.07202511119837827,test_residuals_std,-0.0006,0.01,0.0,-0.0997,0.07964129996253178,0.0009031532130934096
cart,forward_return,MWG,20d,20,cart,joblib,,176,2020-01-02,2025-12-31,1499,61,20,0,1479,2020-01-02,2025-01-10,2025-01-13,2025-12-03,False,False,0.5315315315315315,0.4975012248897599,0.6363636363636364,0.10625973975454725,0.13767710879202222,0.11790910417446877,test_residuals_std,0.1766,3.06,3.31,-0.0854,0.08979690005071461,0.0010193692654505507
lightgbm,forward_return,ACB,20d,20,lightgbm,joblib,,176,2020-01-02,2025-12-31,1494,61,20,0,1474,2020-01-02,2025-01-10,2025-01-13,2025-12-03,False,False,0.5675675675675675,0.5966386554621849,0.323943661971831,0.05198908389201132,0.07417368396724507,0.06988883674020926,test_residuals_std,0.0095,0.61,0.57,-0.0213,0.16649900004267693,0.015867117064509977
lightgbm,forward_return,DGC,20d,20,lightgbm,joblib,,176,2020-01-02,2025-12-31,1493,61,20,0,1473,2020-01-02,2025-01-13,2025-01-14,2025-12-03,False,False,0.3665158371040724,0.4030075187969925,0.47368421052631576,0.10422499745111401,0.13166970538197714,0.12406338560281303,test_residuals_std,-0.3966,-6.65,-6.72,-0.3579,0.1569516999879852,0.015436651657137396
lightgbm,forward_return,HPG,20d,20,lightgbm,joblib,,176,2020-01-02,2025-12-31,1499,61,20,0,1479,2020-01-02,2025-01-10,2025-01-13,2025-12-03,False,False,0.5630630630630631,0.5984952120383037,0.5529953917050692,0.07087159111901523,0.09079939115112695,0.08352780135591097,test_residuals_std,0.0293,1.02,1.12,-0.0405,0.1591354999691248,0.020313963948472125
lightgbm,forward_return,MWG,20d,20,lightgbm,joblib,,176,2020-01-02,2025-12-31,1499,61,20,0,1479,2020-01-02,2025-01-10,2025-01-13,2025-12-03,False,False,0.3963963963963964,0.45154336109750126,0.42735042735042733,0.1104564774343038,0.1359196163133465,0.10534982822286638,test_residuals_std,-0.0158,-0.36,-0.3,-0.0892,0.17639650002820417,0.019634234024681622
xgboost,forward_return,ACB,20d,20,xgboost,joblib,,176,2020-01-02,2025-12-31,1494,61,20,0,1474,2020-01-02,2025-01-10,2025-01-13,2025-12-03,False,False,0.5135135135135135,0.5396916047972588,0.28,0.052700143307230864,0.07403387210599364,0.06984849379856188,test_residuals_std,-0.0387,-1.98,-1.84,-0.0533,0.6113456000457518,0.06109369375432531
xgboost,forward_return,DGC,20d,20,xgboost,joblib,,176,2020-01-02,2025-12-31,1493,61,20,0,1473,2020-01-02,2025-01-13,2025-01-14,2025-12-03,False,False,0.42081447963800905,0.4648705096073517,0.5362318840579711,0.09900727458207875,0.1246811268426395,0.11126535066552756,test_residuals_std,-0.3332,-5.23,-5.6,-0.2991,0.5965382000431418,0.05899140283642379
xgboost,forward_return,HPG,20d,20,xgboost,joblib,,176,2020-01-02,2025-12-31,1499,61,20,0,1479,2020-01-02,2025-01-10,2025-01-13,2025-12-03,False,False,0.545045045045045,0.5666894664842681,0.5589519650655022,0.06916116663027987,0.08907549458765217,0.08208364613483868,test_residuals_std,0.0907,3.02,3.48,-0.0326,0.606602500018198,0.08718153149275495
xgboost,forward_return,MWG,20d,20,xgboost,joblib,,176,2020-01-02,2025-12-31,1499,61,20,0,1479,2020-01-02,2025-01-10,2025-01-13,2025-12-03,False,False,0.4099099099099099,0.47011268985791277,0.43776824034334766,0.10968412599502857,0.13376950117635503,0.10476672515870177,test_residuals_std,-0.0273,-0.65,-0.53,-0.0951,0.5990189999574795,0.059419369528506384
