date,target_date,ticker,model_name,prediction_date,horizon,horizon_days,current_close,target_close,actual_return,predicted_return,naive_predicted_return,absolute_error,absolute_error_naive,pct_error,pct_error_naive,predicted_direction,predicted_direction_naive,actual_direction,momentum_predicted_return,absolute_error_momentum,pct_error_momentum,predicted_direction_momentum
2026-01-05,2026-01-05,ACB,cart,2025-12-04,20d,20,24.9,24.0,-0.036144578313252906,-0.00384713177571147,0.0,0.032297446537541435,0.036144578313252906,89.3562687538649,100.0,-1,0,-1,-0.015810276679842028,0.02033430163341088,56.25823451910359,-1
2026-01-06,2026-01-06,ACB,cart,2025-12-05,20d,20,24.35,24.0,-0.014373716632443578,-0.00384713177571147,0.0,0.010526584856732107,0.014373716632443578,73.23495464612171,100.0,-1,0,-1,-0.02208835341365456,0.007714636781210982,53.67183017785337,-1
2026-01-07,2026-01-07,ACB,cart,2025-12-08,20d,20,24.2,24.65,0.018595041322313932,-0.00384713177571147,0.0,0.022442173098025403,0.018595041322313932,120.68901977160405,100.0,-1,0,1,-0.024193548387096864,0.042788589709410796,230.10752688172172,-1
2026-01-08,2026-01-08,ACB,cart,2025-12-09,20d,20,24.1,24.55,0.018672199170124415,-0.00384713177571147,0.0,0.022519330945835886,0.018672199170124415,120.60352795436596,100.0,-1,0,1,-0.030181086519114664,0.04885328568923908,261.63648558014796,-1
2026-01-09,2026-01-09,ACB,cart,2025-12-10,20d,20,24.1,24.55,0.018672199170124415,-0.00384713177571147,0.0,0.022519330945835886,0.018672199170124415,120.60352795436596,100.0,-1,0,1,-0.04365079365079361,0.06232299282091802,333.7742504409177,-1
2026-01-12,2026-01-12,ACB,cart,2025-12-11,20d,20,23.95,25.5,0.06471816283924836,-0.00384713177571147,0.0,0.06856529461495983,0.06471816283924836,105.94443909859935,100.0,-1,0,1,-0.045816733067729154,0.11053489590697751,170.7942423852977,-1
2026-01-13,2026-01-13,ACB,cart,2025-12-12,20d,20,23.5,24.9,0.05957446808510625,-0.00384713177571147,0.0,0.06342159986081772,0.05957446808510625,106.45768548065855,100.0,-1,0,1,-0.05811623246492981,0.11769070055003605,197.5522473518467,-1
2026-01-14,2026-01-14,ACB,cart,2025-12-15,20d,20,23.55,24.65,0.04670912951167727,0.01865154587886745,0.0,0.028057583632809822,0.04670912951167727,60.06873586842468,100.0,1,0,1,-0.06361829025844923,0.1103274197701265,236.20097596240726,-1
2026-01-15,2026-01-15,ACB,cart,2025-12-16,20d,20,24.0,24.9,0.03749999999999987,-0.00384713177571147,0.0,0.04134713177571134,0.03749999999999987,110.25901806856395,100.0,-1,0,1,-0.043824701195219196,0.08132470119521906,216.86586985391827,-1
2026-01-16,2026-01-16,ACB,cart,2025-12-17,20d,20,24.0,24.85,0.03541666666666665,-0.00384713177571147,0.0,0.03926379844237812,0.03541666666666665,110.86248971965593,100.0,-1,0,1,-0.036144578313252906,0.07156124497991956,202.05527994330237,-1
2026-01-19,2026-01-19,ACB,cart,2025-12-18,20d,20,23.85,25.1,0.052410901467505155,-0.00384713177571147,0.0,0.056258033243216626,0.052410901467505155,107.3403274280575,100.0,-1,0,1,-0.03830645161290325,0.0907173530804084,173.08870967741953,-1
