symbol,organ_name
DPP,CTCP Dược Đồng Nai
SDA,CTCP Simco Sông Đà
CLH,CTCP Xi măng La Hiên VVMI
DBT,CTCP Dược phẩm Bến Tre
DND,CTCP Đầu tư Xây dựng và Vật liệu Đồng Nai
CCR,CTCP Cảng Cam Ranh
NOS,CTCP Vận tải biển và Thương mại Phương Đông
WSS,CTCP Chứng khoán Phố Wall
DSN,CTCP Công viên nước Đầm Sen
DPH,CTCP Dược phẩm Hải Phòng
STC,CTCP Sách và Thiết bị Trường học Thành phố Hồ Chí Minh
CFM,CTCP Đầu tư CFM
VPG,CTCP Đầu tư Thương mại Xuất nhập khẩu Việt Phát
DST,CTCP Đầu tư Sao Thăng Long
DCV,CTCP Quản lý Quỹ Đầu tư Dragon Capital Việt Nam
HPG,CTCP Tập đoàn Hòa Phát
MBN,CTCP Môi trường và Công trình đô thị Bắc Ninh
VGC,Tổng Công ty Viglacera - CTCP
VCS,CTCP Vicostone
HT1,CTCP Xi Măng Vicem Hà Tiên
SKV,CTCP Nước giải khát Yến sào Khánh Hòa
HAD,CTCP Bia Hà Nội - Hải Dương
SSG,CTCP Vận tải biển Hải Âu
TVT,Tổng Công ty Việt Thắng - CTCP
VRG,CTCP Phát triển Đô thị và Khu công nghiệp Cao su Việt Nam
DGW,CTCP Thế Giới Số
VNI,CTCP Đầu tư Bất động sản Việt Nam
L12,CTCP Licogi 12
NDC,CTCP Nam Dược
GND,CTCP Gạch ngói Đồng Nai
UDJ,CTCP Phát triển Đô thị
HMS,CTCP Xây dựng Bảo tàng Hồ Chí Minh
IVS,CTCP Chứng khoán Guotai Junan (Việt Nam)
HHS,CTCP Đầu tư Dịch vụ Hoàng Huy
ATS,CTCP Tập đoàn Đầu tư ATS
BTG,CTCP Bao bì Tiền Giang
PIV,CTCP PIV
RGG,CTCP Regal Group
PDB,CTCP Tập đoàn Đầu tư Din Capital
VTO,CTCP Vận tải Xăng dầu Vitaco
CBI,CTCP Gang thép Cao Bằng
STL,CTCP Sông Đà Thăng Long
VKP,CTCP Nhựa Tân Hóa
VTK,CTCP Tư Vấn Và Dịch Vụ Viettel
IMP,CTCP Dược phẩm Imexpharm
XMD,CTCP Xuân Mai - Đạo Tú
HUG,Tổng Công ty May Hưng Yên - CTCP
BHC,CTCP Bê tông Biên Hòa
PTD,CTCP Thiết kế Xây dựng Thương mại Phúc Thịnh
HBH,CTCP Habeco - Hải Phòng
NTP,CTCP Nhựa Thiếu niên Tiền Phong
SDP,CTCP SDP
SBR,CTCP Cao su Sông Bé
S99,CTCP SCI
FPT,CTCP FPT
SGH,CTCP Khách sạn Sài Gòn
BED,CTCP Sách và Thiết bị Trường học Đà Nẵng
STK,CTCP Sợi Thế Kỷ
CMI,CTCP CMISTONE Việt Nam
TCD,CTCP Tập đoàn Xây dựng TRACODI
HJC,CTCP Hòa Việt
LCC,CTCP Xi măng Hồng Phong
BCM,Tập đoàn Đầu tư và Phát triển Công nghiệp Becamex - CTCP
TTD,CTCP Bệnh viện tim Tâm Đức
VCM,CTCP BV Life
SNC,CTCP Xuất nhập khẩu Thủy sản Năm Căn
BLT,CTCP Lương thực Bình Định
KPF,CTCP Đầu tư tài sản Koji
VLC,Tổng Công ty Chăn Nuôi Việt Nam - CTCP
IPA,CTCP Tập đoàn Đầu tư I.P.A
CTW,CTCP Cấp thoát nước Cần Thơ
TNH,CTCP Tập đoàn Bệnh viện TNH
TNP,CTCP Cảng Thị Nại
DC1,CTCP Đầu tư Phát triển Xây dựng Số 1
PHS,CTCP Chứng khoán Phú Hưng
SAS,CTCP Dịch vụ Hàng không Sân bay Tân Sơn Nhất
HEJ,Tổng Công ty Tư vấn Xây dựng Thủy lợi Việt Nam - CTCP
ST8,CTCP Tập đoàn ST8
CCV,CTCP Tư vấn Xây dựng Công nghiệp và Đô thị Việt Nam
VSI,CTCP Đầu tư và Xây dựng Cấp thoát nước
NSG,CTCP Nhựa Sài Gòn
CTD,CTCP Xây dựng Coteccons
DVG,CTCP Đại Việt Group DVG
HPH,CTCP Hóa Chất Hưng Phát Hà Bắc
BNA,CTCP Tập đoàn Đầu tư Bảo Ngọc
BSQ,CTCP Bia Sài Gòn - Quảng Ngãi
CRV,CTCP Tập đoàn Bất động sản CRV
PVO,CTCP Dầu nhờn PV Oil
VNF,CTCP Vinafreight
LQN,CTCP Licogi Quảng Ngãi
BCF,CTCP Thực phẩm Bích Chi
APL,CTCP Cơ khí và Thiết bị áp lực - VVMI
HEC,CTCP Tư vấn Xây dựng Thủy Lợi II
EBS,CTCP Sách Giáo dục tại Thành phố Hà Nội
IHK,CTCP In Hàng Không
BTH,CTCP Chế tạo Biến thế và Vật liệu Điện Hà Nội
THT,CTCP Than Hà Tu - Vinacomin
ADS,CTCP Damsan
PDC,CTCP Du lịch Dầu khí Phương Đông
TNS,CTCP Thép tấm lá Thống Nhất
LM8,CTCP Lilama 18
VSE,CTCP Dịch vụ Đường cao tốc Việt Nam
GTA,CTCP Chế biến gỗ Thuận An
SHE,CTCP Phát triển Năng lượng Sơn Hà
VHE,CTCP Dược liệu và Thực phẩm Việt Nam
VIH,CTCP Viglacera Hà Nội
GEX,CTCP Tập đoàn GELEX
HPX,CTCP Đầu tư Hải Phát
PTB,CTCP Phú Tài
SGD,CTCP Sách Giáo dục tại Thành phố Hồ Chí Minh
STH,CTCP Phát hành Sách Thái Nguyên
PSE,CTCP Phân Bón và Hóa Chất Dầu khí Đông Nam Bộ
QNS,CTCP Đường Quảng Ngãi
DC2,CTCP Đầu tư Phát triển - Xây dựng (DIC) số 2
SVT,CTCP Công nghệ Sài Gòn Viễn Đông
SGS,CTCP Vận tải biển Sài Gòn
NT2,CTCP Điện lực Dầu khí Nhơn Trạch 2
HBS,CTCP Chứng khoán Hòa Bình
UCT,CTCP Đô thị Cần Thơ
H11,CTCP Xây dựng HUD101
KTS,CTCP Đường Kon Tum
CI5,CTCP Đầu Tư Xây dựng Số 5
VIE,CTCP Công nghệ Viễn thông VITECO
VST,CTCP Vận tải và Thuê tàu biển Việt Nam
VSC,CTCP Container Việt Nam
DTE,CTCP Đầu tư Năng lượng Đại Trường Thành Holdings
ATA,CTCP Ntaco
SB1,CTCP Bia Sài Gòn - Nghệ Tĩnh
THU,CTCP Môi trường và Công trình Đô thị Thanh Hóa
VPA,CTCP Vận tải Hoá Dầu VP
HDP,CTCP Dược Hà Tĩnh
PAP,CTCP Dầu khí Đầu tư Khai thác Cảng Phước An
SVD,CTCP Đầu tư & Thương mại Vũ Đăng
TTT,CTCP Du lịch - Thương mại Tây Ninh
PTI,Tổng Công ty cổ phần Bảo hiểm Bưu điện
TB8,CTCP Sản xuất và Kinh doanh Vật tư Thiết bị - VVMI
PCC,CTCP Tập đoàn Xây lắp 1 - Petrolimex
VC5,CTCP Xây dựng Số 5
BSH,CTCP Bia Sài Gòn - Hà Nội
VNX,CTCP Quảng cáo và Hội chợ Thương mại
HPA,CTCP Phát triển Nông nghiệp Hòa Phát
VHL,CTCP Viglacera Hạ Long
VFR,CTCP Vận tải và Thuê tàu
SCL,CTCP Sông Đà Cao Cường
AGF,CTCP Xuất nhập khẩu Thủy sản An Giang
HIO,CTCP Helio Energy
STP,CTCP Công nghiệp Thương mại Sông Đà
HTN,CTCP Hưng Thịnh Incons
NWT,CTCP Vận tải Newway
