model_name,probability_bucket,bucket_min_probability,bucket_max_probability,observations,avg_predicted_probability,realized_profit_rate,calibration_gap
cart,lt_0.50,0.0,0.5,62,0.0,0.7741935483870968,0.7741935483870968
cart,0.50-0.55,0.5,0.55,0,,,
cart,0.55-0.60,0.55,0.6,0,,,
cart,0.60-0.65,0.6,0.65,0,,,
cart,0.65+,0.65,1.0,106,1.0,0.7547169811320755,-0.24528301886792447
lightgbm,lt_0.50,0.0,0.5,66,0.052296469905238493,0.5909090909090909,0.5386126210038524
lightgbm,0.50-0.55,0.5,0.55,0,,,
lightgbm,0.55-0.60,0.55,0.6,2,0.5887831108186421,1.0,0.4112168891813579
lightgbm,0.60-0.65,0.6,0.65,4,0.6285213567558373,1.0,0.3714786432441627
lightgbm,0.65+,0.65,1.0,96,0.9154777388965746,0.8645833333333334,-0.05089440556324121
xgboost,lt_0.50,0.0,0.5,57,0.08428012744703309,0.5964912280701754,0.5122111006231423
xgboost,0.50-0.55,0.5,0.55,2,0.5334902107715607,0.5,-0.03349021077156067
xgboost,0.55-0.60,0.55,0.6,3,0.5822230776151022,0.6666666666666666,0.08444358905156446
xgboost,0.60-0.65,0.6,0.65,0,,,
xgboost,0.65+,0.65,1.0,106,0.9207346090730631,0.8584905660377359,-0.06224404303532727
