ticker,first_available_hourly_timestamp,last_available_hourly_timestamp,hourly_rows,rows_before_2025,rows_2025_onward,raw_hourly_sources,raw_hourly_files
ACB,2024-01-02 10:00:00,2026-05-11 14:00:00,1296,431,865,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/ACB.csv;data/hourly_market_split_data/ACB.csv
BID,2024-01-02 10:00:00,2026-05-11 14:00:00,2648,1001,1647,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/BID.csv;data/hourly_market_split_data/BID.csv
CTG,2025-11-18 09:00:00,2026-05-11 14:00:00,575,0,575,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/CTG.csv;data/hourly_market_split_data/CTG.csv
DGC,2025-11-25 09:00:00,2026-05-11 14:00:00,550,0,550,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/DGC.csv;data/hourly_market_split_data/DGC.csv
FPT,2025-11-05 09:00:00,2026-05-11 14:00:00,620,0,620,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/FPT.csv;data/hourly_market_split_data/FPT.csv
GAS,2025-10-27 09:00:00,2026-05-11 14:00:00,655,0,655,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/GAS.csv;data/hourly_market_split_data/GAS.csv
GVR,2025-10-27 09:00:00,2026-05-11 14:00:00,655,0,655,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/GVR.csv;data/hourly_market_split_data/GVR.csv
HDB,2025-11-19 09:00:00,2026-05-11 14:00:00,570,0,570,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/HDB.csv;data/hourly_market_split_data/HDB.csv
HPG,2026-02-11 14:00:00,2026-05-11 14:00:00,201,0,201,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/HPG.csv;data/hourly_market_split_data/HPG.csv
LPB,2025-08-27 09:00:00,2026-05-11 14:00:00,860,0,860,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/LPB.csv;data/hourly_market_split_data/LPB.csv
MBB,2025-08-27 09:00:00,2026-05-11 14:00:00,860,0,860,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/MBB.csv;data/hourly_market_split_data/MBB.csv
MSN,2025-08-27 09:00:00,2026-05-11 14:00:00,860,0,860,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/MSN.csv;data/hourly_market_split_data/MSN.csv
MWG,2025-08-27 09:00:00,2026-05-11 14:00:00,860,0,860,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/MWG.csv;data/hourly_market_split_data/MWG.csv
PLX,2025-08-27 09:00:00,2026-05-11 14:00:00,860,0,860,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/PLX.csv;data/hourly_market_split_data/PLX.csv
SAB,2025-12-15 09:00:00,2026-05-11 14:00:00,480,0,480,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/SAB.csv;data/hourly_market_split_data/SAB.csv
SHB,2026-02-11 14:00:00,2026-05-11 14:00:00,276,0,276,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/SHB.csv;data/hourly_market_split_data/SHB.csv
SSB,2025-08-27 09:00:00,2026-05-11 14:00:00,860,0,860,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/SSB.csv;data/hourly_market_split_data/SSB.csv
SSI,2025-11-10 09:00:00,2026-05-11 14:00:00,605,0,605,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/SSI.csv;data/hourly_market_split_data/SSI.csv
STB,2025-08-27 09:00:00,2026-05-11 14:00:00,860,0,860,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/STB.csv;data/hourly_market_split_data/STB.csv
TCB,2025-10-27 09:00:00,2026-05-11 14:00:00,655,0,655,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/TCB.csv;data/hourly_market_split_data/TCB.csv
TPB,2025-10-27 09:00:00,2026-05-11 14:00:00,655,0,655,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/TPB.csv;data/hourly_market_split_data/TPB.csv
VCB,2025-10-27 09:00:00,2026-05-11 14:00:00,655,0,655,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/VCB.csv;data/hourly_market_split_data/VCB.csv
VHM,2025-08-27 09:00:00,2026-05-11 14:00:00,860,0,860,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/VHM.csv;data/hourly_market_split_data/VHM.csv
VIB,2026-02-11 14:00:00,2026-05-11 14:00:00,251,0,251,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/VIB.csv;data/hourly_market_split_data/VIB.csv
VIC,2025-11-06 09:00:00,2026-05-11 14:00:00,615,0,615,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/VIC.csv;data/hourly_market_split_data/VIC.csv
VJC,2025-08-27 09:00:00,2026-05-11 14:00:00,860,0,860,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/VJC.csv;data/hourly_market_split_data/VJC.csv
VNM,2025-10-27 09:00:00,2026-05-11 14:00:00,655,0,655,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/VNM.csv;data/hourly_market_split_data/VNM.csv
VPB,2025-08-27 09:00:00,2026-05-11 14:00:00,860,0,860,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/VPB.csv;data/hourly_market_split_data/VPB.csv
VPL,2025-08-27 09:00:00,2026-05-11 14:00:00,854,0,854,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/VPL.csv;data/hourly_market_split_data/VPL.csv
VRE,2025-08-27 09:00:00,2026-05-11 14:00:00,860,0,860,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/VRE.csv;data/hourly_market_split_data/VRE.csv
