check,status,severity,details
output_dir_exists,PASS,info,outputs/vn30_hourly_2015_rf_h60_final65_router_v2
manifest_exists,PASS,info,manifest present
no_daily_data,PASS,info,hourly only by design
no_resampling,PASS,info,no resampling by design
no_data_fetch,PASS,info,no data fetch by design
universe_unchanged,PASS,info,VN30 Jan 2025 unchanged
rf_h60_baseline_retained,PASS,info,RF h=60 absolute direction retained
validation_only_selection,PASS,info,all policy selection on 2024 validation
final_eval_scoring_only,PASS,info,final eval used only for scoring
no_final_label_tuning,PASS,info,no threshold/ticker selection on final labels
no_leakage,PASS,info,no leakage indicators
final65_pass,WARN,warn,Best final65: 59.87%
