period_type,period,events,mean_precision_at_k,median_precision_at_k,hit_rate_at_k,selected_stock_events,precision_ge_65
month,2025-08,3,0.5666666666666668,0.6,1.0,30,False
month,2025-09,20,0.5199999999999999,0.5,1.0,200,False
month,2025-10,23,0.5652173913043478,0.6,1.0,230,False
month,2025-11,20,0.22999999999999998,0.2,0.95,200,False
month,2025-12,23,0.2521739130434783,0.2,1.0,230,False
month,2026-01,20,0.24500000000000005,0.2,0.95,200,False
month,2026-02,15,0.4266666666666667,0.5,1.0,150,False
month,2026-03,12,0.4083333333333334,0.4,1.0,120,False
quarter,2025Q3,23,0.5260869565217391,0.5,1.0,230,False
quarter,2025Q4,66,0.3545454545454545,0.3,0.9848484848484849,660,False
quarter,2026Q1,47,0.34468085106382984,0.4,0.9787234042553191,470,False
year,2025,89,0.398876404494382,0.4,0.9887640449438202,890,False
year,2026,47,0.34468085106382984,0.4,0.9787234042553191,470,False
