datetime,eligible_stocks,predicted_top_k_count,true_top_k_count,overlap_count,precision_at_k,hit_rate_at_k,true_tickers,pred_tickers,overlap_tickers
2025-08-27,13,10,10,7,0.7,1.0,"BCM,MBB,MSN,MWG,PLX,SHB,STB,VHM,VJC,VRE","ACB,BCM,MWG,PLX,SHB,SSB,STB,VHM,VIB,VJC","BCM,MWG,PLX,SHB,STB,VHM,VJC"
2025-08-28,12,10,10,8,0.8,1.0,"ACB,BCM,MBB,MSN,MWG,PLX,STB,VHM,VJC,VRE","ACB,BCM,MBB,MWG,PLX,SHB,SSB,STB,VHM,VJC","ACB,BCM,MBB,MWG,PLX,STB,VHM,VJC"
2025-08-29,12,10,10,8,0.8,1.0,"ACB,BCM,MBB,MSN,MWG,PLX,STB,VHM,VJC,VRE","ACB,BCM,MBB,MWG,PLX,SHB,SSB,STB,VJC,VRE","ACB,BCM,MBB,MWG,PLX,STB,VJC,VRE"
2025-09-03,12,10,10,8,0.8,1.0,"ACB,BCM,MBB,MSN,MWG,PLX,STB,VHM,VJC,VRE","ACB,BCM,MBB,MWG,PLX,SHB,SSB,STB,VHM,VJC","ACB,BCM,MBB,MWG,PLX,STB,VHM,VJC"
2025-09-04,12,10,10,8,0.8,1.0,"ACB,BCM,MBB,MSN,MWG,PLX,STB,VHM,VJC,VRE","ACB,BCM,MBB,MSN,MWG,PLX,SHB,SSB,STB,VJC","ACB,BCM,MBB,MSN,MWG,PLX,STB,VJC"
2025-09-05,12,10,10,8,0.8,1.0,"ACB,BCM,MBB,MSN,MWG,PLX,STB,VHM,VJC,VRE","ACB,BCM,MBB,MWG,PLX,SHB,SSB,STB,VHM,VJC","ACB,BCM,MBB,MWG,PLX,STB,VHM,VJC"
2025-09-08,12,10,10,8,0.8,1.0,"ACB,MBB,MSN,MWG,PLX,SHB,STB,VHM,VJC,VRE","BCM,MBB,MWG,PLX,SHB,SSB,STB,VHM,VJC,VRE","MBB,MWG,PLX,SHB,STB,VHM,VJC,VRE"
2025-09-09,12,10,10,8,0.8,1.0,"ACB,MBB,MSN,MWG,PLX,SSB,STB,VHM,VJC,VRE","ACB,BCM,MBB,MWG,PLX,SHB,SSB,STB,VJC,VRE","ACB,MBB,MWG,PLX,SSB,STB,VJC,VRE"
2025-09-10,12,10,10,8,0.8,1.0,"ACB,MBB,MSN,MWG,PLX,SSB,STB,VHM,VJC,VRE","ACB,BCM,MSN,PLX,SHB,SSB,STB,VHM,VJC,VRE","ACB,MSN,PLX,SSB,STB,VHM,VJC,VRE"
2025-09-11,12,10,10,9,0.9,1.0,"ACB,BCM,MBB,MSN,MWG,PLX,SHB,STB,VHM,VJC","ACB,BCM,MBB,MSN,MWG,PLX,SHB,SSB,STB,VJC","ACB,BCM,MBB,MSN,MWG,PLX,SHB,STB,VJC"
2025-09-12,12,10,10,9,0.9,1.0,"ACB,BCM,MBB,MWG,PLX,SHB,SSB,STB,VHM,VJC","ACB,BCM,MBB,MWG,PLX,SHB,SSB,STB,VJC,VRE","ACB,BCM,MBB,MWG,PLX,SHB,SSB,STB,VJC"
2025-09-15,12,10,10,8,0.8,1.0,"ACB,MBB,MSN,MWG,PLX,SSB,STB,VHM,VJC,VRE","ACB,BCM,MBB,MWG,SHB,SSB,STB,VHM,VJC,VRE","ACB,MBB,MWG,SSB,STB,VHM,VJC,VRE"
2025-09-16,12,10,10,8,0.8,1.0,"ACB,MBB,MSN,MWG,PLX,SSB,STB,VHM,VJC,VRE","ACB,BCM,MBB,MSN,MWG,SHB,STB,VHM,VJC,VRE","ACB,MBB,MSN,MWG,STB,VHM,VJC,VRE"
2025-09-17,12,10,10,8,0.8,1.0,"ACB,MBB,MSN,MWG,PLX,SSB,STB,VHM,VJC,VRE","ACB,BCM,MBB,MSN,MWG,PLX,SHB,STB,VJC,VRE","ACB,MBB,MSN,MWG,PLX,STB,VJC,VRE"
2025-09-18,12,10,10,8,0.8,1.0,"ACB,MBB,MSN,MWG,PLX,SSB,STB,VHM,VJC,VRE","ACB,BCM,MBB,MSN,MWG,SHB,SSB,STB,VJC,VRE","ACB,MBB,MSN,MWG,SSB,STB,VJC,VRE"
2025-09-19,12,10,10,8,0.8,1.0,"ACB,MBB,MSN,MWG,PLX,SSB,STB,VHM,VJC,VRE","ACB,BCM,MBB,MWG,SHB,SSB,STB,VHM,VJC,VRE","ACB,MBB,MWG,SSB,STB,VHM,VJC,VRE"
2025-09-22,12,10,10,8,0.8,1.0,"ACB,MBB,MSN,MWG,PLX,SSB,STB,VHM,VJC,VRE","ACB,BCM,MBB,MSN,MWG,SHB,SSB,STB,VJC,VRE","ACB,MBB,MSN,MWG,SSB,STB,VJC,VRE"
2025-09-23,12,10,10,8,0.8,1.0,"ACB,MBB,MSN,MWG,PLX,SSB,STB,VHM,VJC,VRE","ACB,BCM,MBB,MSN,SHB,SSB,STB,VHM,VJC,VRE","ACB,MBB,MSN,SSB,STB,VHM,VJC,VRE"
2025-09-24,12,10,10,8,0.8,1.0,"ACB,MBB,MSN,MWG,PLX,SSB,STB,VHM,VJC,VRE","ACB,BCM,MBB,MSN,SHB,SSB,STB,VHM,VJC,VRE","ACB,MBB,MSN,SSB,STB,VHM,VJC,VRE"
2025-09-25,11,10,10,9,0.9,1.0,"ACB,MBB,MSN,MWG,PLX,SSB,STB,VHM,VJC,VRE","ACB,BCM,MBB,MSN,MWG,SSB,STB,VHM,VJC,VRE","ACB,MBB,MSN,MWG,SSB,STB,VHM,VJC,VRE"
2025-09-26,11,10,10,9,0.9,1.0,"ACB,MBB,MSN,MWG,PLX,SSB,STB,VHM,VJC,VRE","ACB,BCM,MBB,MSN,MWG,SSB,STB,VHM,VJC,VRE","ACB,MBB,MSN,MWG,SSB,STB,VHM,VJC,VRE"
2025-09-29,11,10,10,9,0.9,1.0,"ACB,MBB,MSN,MWG,PLX,SSB,STB,VHM,VJC,VRE","ACB,BCM,MBB,MSN,MWG,PLX,SSB,STB,VJC,VRE","ACB,MBB,MSN,MWG,PLX,SSB,STB,VJC,VRE"
