feature,suspicious,reason
rolling_return_vol_5,False,OK
rolling_return_vol_60,False,OK
momentum_5,False,OK
close_sma_ratio_20,False,OK
close_sma_ratio_60,False,OK
rolling_return_vol_20,False,OK
lag_ret_2,False,OK
rolling_return_mean_60,False,OK
lag_ret_1,False,OK
return_1,False,OK
roll_ret_20,False,OK
lag_ret_20,False,OK
return_1_lag_3,False,OK
roll_vol_8,False,OK
day_of_week,False,OK
return_1_lag_10,False,OK
roll_ret_4,False,OK
minute,False,OK
volume_shock_20,False,OK
return_10,False,OK
close_sma_ratio_5,False,OK
roll_vol_change_40,False,OK
rolling_return_mean_5,False,OK
return_2,False,OK
rsi_14,False,OK
return_3,False,OK
roll_vol_20,False,OK
return_5,False,OK
close_position_in_range,False,OK
return_20,False,OK
rolling_return_mean_20,False,OK
high_low_range,False,OK
open_close_spread,False,OK
momentum_60,False,OK
day_of_month,False,OK
roll_ret_8,False,OK
month,False,OK
return_1_lag_1,False,OK
momentum_10,False,OK
roll_vol_change_8,False,OK
return_1_lag_20,False,OK
close_sma_ratio_10,False,OK
momentum_20,False,OK
macd_hist,False,OK
quarter,False,OK
roll_vol_40,False,OK
macd,False,OK
return_1_lag_5,False,OK
macd_signal,False,OK
rolling_return_vol_10,False,OK
roll_vol_change_20,False,OK
lag_ret_4,False,OK
rolling_return_mean_10,False,OK
volume_change_1,False,OK
lag_ret_8,False,OK
hour,False,OK
roll_ret_40,False,OK
return_1_lag_2,False,OK
