ticker,times_selected,selection_share,times_true_top_k,true_top_k_share,times_correct_selection,contribution_to_correct
ACB,47,0.03455882352941177,59,0.04338235294117647,15,0.011029411764705883
BCM,61,0.04485294117647059,43,0.03161764705882353,32,0.023529411764705882
BID,41,0.030147058823529412,49,0.03602941176470588,4,0.0029411764705882353
BVH,15,0.011029411764705883,78,0.057352941176470586,12,0.008823529411764706
CTG,28,0.020588235294117647,17,0.0125,6,0.004411764705882353
FPT,67,0.04926470588235294,0,0.0,0,0.0
GAS,23,0.016911764705882352,52,0.03823529411764706,3,0.0022058823529411764
GVR,41,0.030147058823529412,47,0.03455882352941177,29,0.021323529411764706
HDB,40,0.029411764705882353,43,0.03161764705882353,17,0.0125
HPG,27,0.019852941176470587,31,0.022794117647058822,12,0.008823529411764706
LPB,34,0.025,32,0.023529411764705882,16,0.011764705882352941
MBB,75,0.05514705882352941,71,0.05220588235294118,28,0.020588235294117647
MSN,49,0.03602941176470588,70,0.051470588235294115,16,0.011764705882352941
MWG,31,0.022794117647058822,79,0.05808823529411765,22,0.016176470588235296
PLX,47,0.03455882352941177,96,0.07058823529411765,26,0.01911764705882353
SAB,20,0.014705882352941176,17,0.0125,9,0.006617647058823529
SHB,69,0.05073529411764706,26,0.01911764705882353,20,0.014705882352941176
SSB,62,0.045588235294117645,44,0.03235294117647059,7,0.005147058823529412
SSI,25,0.01838235294117647,8,0.0058823529411764705,6,0.004411764705882353
STB,71,0.05220588235294118,98,0.07205882352941176,35,0.025735294117647058
TCB,36,0.026470588235294117,13,0.009558823529411765,4,0.0029411764705882353
TPB,26,0.01911764705882353,18,0.013235294117647059,0,0.0
VCB,26,0.01911764705882353,39,0.028676470588235293,11,0.008088235294117648
VHM,80,0.058823529411764705,79,0.05808823529411765,60,0.04411764705882353
VIB,60,0.04411764705882353,8,0.0058823529411764705,8,0.0058823529411764705
VIC,34,0.025,50,0.03676470588235294,14,0.010294117647058823
VJC,82,0.060294117647058824,84,0.061764705882352944,54,0.039705882352941174
VNM,13,0.009558823529411765,36,0.026470588235294117,2,0.0014705882352941176
VPB,55,0.04044117647058824,13,0.009558823529411765,13,0.009558823529411765
VRE,75,0.05514705882352941,60,0.04411764705882353,36,0.026470588235294117
