datetime,eligible_stocks,predicted_top_k_count,true_top_k_count,overlap_count,precision_at_k,hit_rate_at_k,true_tickers,pred_tickers,overlap_tickers
2025-08-27,16,10,10,6,0.6,1.0,"BCM,HPG,LPB,MSN,MWG,PLX,STB,VHM,VJC,VRE","BCM,HPG,MBB,MWG,PLX,SHB,VHM,VIB,VJC,VPB","BCM,HPG,MWG,PLX,VHM,VJC"
2025-08-28,16,10,10,5,0.5,1.0,"BCM,HPG,LPB,MSN,MWG,PLX,STB,VHM,VJC,VRE","BCM,HPG,MBB,MWG,PLX,SHB,SSB,VHM,VIB,VPB","BCM,HPG,MWG,PLX,VHM"
2025-08-29,16,10,10,6,0.6,1.0,"BCM,HPG,LPB,MSN,MWG,PLX,STB,VHM,VJC,VRE","BCM,HPG,LPB,MBB,MWG,PLX,SHB,VHM,VIB,VPB","BCM,HPG,LPB,MWG,PLX,VHM"
2025-09-03,16,10,10,6,0.6,1.0,"BCM,HPG,LPB,MSN,MWG,PLX,STB,VHM,VJC,VRE","BCM,HPG,LPB,MBB,MWG,PLX,SHB,VHM,VIB,VPB","BCM,HPG,LPB,MWG,PLX,VHM"
2025-09-04,16,10,10,5,0.5,1.0,"ACB,BCM,LPB,MSN,MWG,PLX,STB,VHM,VJC,VRE","BCM,HPG,LPB,MBB,MWG,PLX,SHB,VIB,VJC,VPB","BCM,LPB,MWG,PLX,VJC"
2025-09-05,16,10,10,5,0.5,1.0,"ACB,BCM,LPB,MSN,MWG,PLX,STB,VHM,VJC,VRE","BCM,HPG,LPB,MBB,MWG,PLX,SHB,VHM,VIB,VPB","BCM,LPB,MWG,PLX,VHM"
2025-09-08,16,10,10,5,0.5,1.0,"ACB,BCM,LPB,MSN,MWG,PLX,STB,VHM,VJC,VRE","BCM,HPG,LPB,MBB,PLX,SHB,VHM,VIB,VJC,VPB","BCM,LPB,PLX,VHM,VJC"
2025-09-09,16,10,10,5,0.5,1.0,"ACB,BCM,LPB,MSN,MWG,PLX,STB,VHM,VJC,VRE","ACB,BCM,HPG,LPB,MBB,PLX,SHB,VIB,VJC,VPB","ACB,BCM,LPB,PLX,VJC"
2025-09-10,16,10,10,4,0.4,1.0,"ACB,BCM,LPB,MSN,MWG,PLX,STB,VHM,VJC,VRE","BCM,HPG,LPB,MBB,PLX,SHB,SSB,VIB,VJC,VPB","BCM,LPB,PLX,VJC"
2025-09-11,16,10,10,5,0.5,1.0,"ACB,BCM,LPB,MSN,MWG,PLX,STB,VHM,VJC,VRE","BCM,HPG,MBB,MWG,PLX,SHB,VHM,VIB,VJC,VPB","BCM,MWG,PLX,VHM,VJC"
2025-09-12,16,10,10,4,0.4,1.0,"ACB,BCM,LPB,MBB,MSN,MWG,PLX,SSB,VJC,VRE","BCM,HPG,LPB,PLX,SHB,STB,VHM,VIB,VJC,VPB","BCM,LPB,PLX,VJC"
2025-09-15,16,10,10,6,0.6,1.0,"ACB,BCM,LPB,MWG,PLX,SHB,STB,VJC,VPB,VRE","BCM,LPB,MBB,PLX,SHB,SSB,VHM,VIB,VJC,VPB","BCM,LPB,PLX,SHB,VJC,VPB"
2025-09-16,16,10,10,5,0.5,1.0,"ACB,BCM,HPG,LPB,MSN,MWG,PLX,VHM,VJC,VRE","BCM,LPB,MBB,PLX,SHB,STB,VHM,VIB,VJC,VPB","BCM,LPB,PLX,VHM,VJC"
2025-09-17,16,10,10,5,0.5,1.0,"ACB,BCM,HPG,LPB,MSN,MWG,PLX,VHM,VJC,VRE","BCM,HPG,LPB,MBB,SHB,STB,VHM,VIB,VJC,VPB","BCM,HPG,LPB,VHM,VJC"
2025-09-18,16,10,10,4,0.4,1.0,"ACB,BCM,HPG,LPB,MSN,MWG,PLX,SHB,VJC,VRE","ACB,MBB,SHB,SSB,STB,VHM,VIB,VJC,VPB,VRE","ACB,SHB,VJC,VRE"
2025-09-19,16,10,10,6,0.6,1.0,"ACB,BCM,HPG,LPB,MSN,MWG,PLX,SHB,VJC,VRE","BCM,MBB,MSN,PLX,SHB,VHM,VIB,VJC,VPB,VRE","BCM,MSN,PLX,SHB,VJC,VRE"
2025-09-22,16,10,10,5,0.5,1.0,"ACB,BCM,HPG,LPB,MSN,MWG,PLX,SHB,VJC,VRE","BCM,MBB,MWG,SHB,STB,VHM,VIB,VJC,VPB,VRE","BCM,MWG,SHB,VJC,VRE"
2025-09-23,16,10,10,5,0.5,1.0,"ACB,BCM,HPG,LPB,MSN,MWG,PLX,VHM,VJC,VRE","ACB,LPB,MBB,MWG,SHB,STB,VIB,VJC,VPB,VRE","ACB,LPB,MWG,VJC,VRE"
