ticker,times_selected,selection_share,times_true_top_k,true_top_k_share,times_correct_selection,contribution_to_correct
ACB,55,0.09821428571428571,40,0.07142857142857142,39,0.06964285714285715
BCM,50,0.08928571428571429,27,0.048214285714285716,27,0.048214285714285716
BID,7,0.0125,13,0.023214285714285715,7,0.0125
BVH,1,0.0017857142857142857,15,0.026785714285714284,1,0.0017857142857142857
FPT,8,0.014285714285714285,0,0.0,0,0.0
GAS,0,0.0,15,0.026785714285714284,0,0.0
GVR,9,0.01607142857142857,15,0.026785714285714284,9,0.01607142857142857
MBB,54,0.09642857142857143,56,0.1,54,0.09642857142857143
MSN,46,0.08214285714285714,40,0.07142857142857142,31,0.055357142857142855
MWG,46,0.08214285714285714,51,0.09107142857142857,43,0.07678571428571429
PLX,28,0.05,55,0.09821428571428571,28,0.05
SHB,19,0.033928571428571426,4,0.007142857142857143,4,0.007142857142857143
SSB,54,0.09642857142857143,33,0.05892857142857143,31,0.055357142857142855
STB,43,0.07678571428571429,56,0.1,43,0.07678571428571429
TPB,12,0.02142857142857143,0,0.0,0,0.0
VCB,4,0.007142857142857143,2,0.0035714285714285713,2,0.0035714285714285713
VHM,40,0.07142857142857142,56,0.1,40,0.07142857142857142
VIB,1,0.0017857142857142857,0,0.0,0,0.0
VIC,0,0.0,7,0.0125,0,0.0
VJC,43,0.07678571428571429,41,0.07321428571428572,39,0.06964285714285715
VNM,0,0.0,7,0.0125,0,0.0
VRE,40,0.07142857142857142,27,0.048214285714285716,21,0.0375
