model_name,probability_bucket,bucket_min_probability,bucket_max_probability,observations,avg_predicted_probability,realized_profit_rate,calibration_gap
cart,lt_0.50,0.0,0.5,143,0.09403087133878724,0.42657342657342656,0.3325425552346393
cart,0.50-0.55,0.5,0.55,0,,,
cart,0.55-0.60,0.55,0.6,65,0.586094043728946,0.5846153846153846,-0.0014786591135613758
cart,0.60-0.65,0.6,0.65,52,0.604040404040404,0.34615384615384615,-0.2578865578865579
cart,0.65+,0.65,1.0,0,,,
lightgbm,lt_0.50,0.0,0.5,231,0.1282856997570895,0.4588744588744589,0.3305887591173694
lightgbm,0.50-0.55,0.5,0.55,4,0.5346302057373269,0.25,-0.2846302057373269
lightgbm,0.55-0.60,0.55,0.6,2,0.5752307730626622,1.0,0.42476922693733776
lightgbm,0.60-0.65,0.6,0.65,2,0.6286812171662817,0.5,-0.12868121716628167
lightgbm,0.65+,0.65,1.0,21,0.7768640959755304,0.3333333333333333,-0.4435307626421971
xgboost,lt_0.50,0.0,0.5,226,0.17522095939952187,0.4557522123893805,0.28053125298985865
xgboost,0.50-0.55,0.5,0.55,3,0.5165507992108663,0.3333333333333333,-0.18321746587753301
xgboost,0.55-0.60,0.55,0.6,4,0.5673873871564865,1.0,0.4326126128435135
xgboost,0.60-0.65,0.6,0.65,11,0.6233395663174716,0.5454545454545454,-0.07788502086292615
xgboost,0.65+,0.65,1.0,16,0.7465732917189598,0.1875,-0.5590732917189598
