step_size,ticker,horizon,model_name,total_predictions,evaluation_eligible_predictions,evaluation_ineligible_predictions,coverage_ratio,first_prediction_date,last_prediction_date,last_eligible_prediction_date
2,ACB,long_3m,cart,153,122,31,0.7973856209150327,2025-01-02,2026-03-30,2025-12-23
2,ACB,long_3m,stacking_final,153,122,31,0.7973856209150327,2025-01-02,2026-03-30,2025-12-23
2,ACB,long_6m,cart,153,90,63,0.5882352941176471,2025-01-02,2026-03-30,2025-09-24
2,ACB,long_6m,stacking_final,153,90,63,0.5882352941176471,2025-01-02,2026-03-30,2025-09-24
2,ACB,short_10d,cart,153,148,5,0.9673202614379085,2025-01-02,2026-03-30,2026-03-16
2,ACB,short_10d,stacking_final,153,148,5,0.9673202614379085,2025-01-02,2026-03-30,2026-03-16
2,ACB,short_20d,cart,153,143,10,0.934640522875817,2025-01-02,2026-03-30,2026-03-02
2,ACB,short_20d,stacking_final,153,143,10,0.934640522875817,2025-01-02,2026-03-30,2026-03-02
2,ACB,short_30d,cart,153,138,15,0.9019607843137255,2025-01-02,2026-03-30,2026-02-09
2,ACB,short_30d,stacking_final,153,138,15,0.9019607843137255,2025-01-02,2026-03-30,2026-02-09
2,ACB,short_5d,cart,153,151,2,0.9869281045751634,2025-01-02,2026-03-30,2026-03-24
2,ACB,short_5d,stacking_final,153,151,2,0.9869281045751634,2025-01-02,2026-03-30,2026-03-24
2,DGC,long_3m,cart,153,122,31,0.7973856209150327,2025-01-02,2026-03-30,2025-12-23
2,DGC,long_3m,stacking_final,153,122,31,0.7973856209150327,2025-01-02,2026-03-30,2025-12-23
2,DGC,long_6m,cart,153,90,63,0.5882352941176471,2025-01-02,2026-03-30,2025-09-24
2,DGC,long_6m,stacking_final,153,90,63,0.5882352941176471,2025-01-02,2026-03-30,2025-09-24
2,DGC,short_10d,cart,153,148,5,0.9673202614379085,2025-01-02,2026-03-30,2026-03-16
2,DGC,short_10d,stacking_final,153,148,5,0.9673202614379085,2025-01-02,2026-03-30,2026-03-16
2,DGC,short_20d,cart,153,143,10,0.934640522875817,2025-01-02,2026-03-30,2026-03-02
2,DGC,short_20d,stacking_final,153,143,10,0.934640522875817,2025-01-02,2026-03-30,2026-03-02
2,DGC,short_30d,cart,153,138,15,0.9019607843137255,2025-01-02,2026-03-30,2026-02-09
2,DGC,short_30d,stacking_final,153,138,15,0.9019607843137255,2025-01-02,2026-03-30,2026-02-09
2,DGC,short_5d,cart,153,151,2,0.9869281045751634,2025-01-02,2026-03-30,2026-03-24
2,DGC,short_5d,stacking_final,153,151,2,0.9869281045751634,2025-01-02,2026-03-30,2026-03-24
2,FPT,long_3m,cart,153,122,31,0.7973856209150327,2025-01-02,2026-03-30,2025-12-23
