horizon,regime,model_name,probability_bucket,observations,avg_predicted_probability,realized_profit_rate,calibration_gap
20d,bear,cart,0.50-0.55,0,,,
20d,bear,cart,0.55-0.60,0,,,
20d,bear,cart,0.60-0.65,0,,,
20d,bear,cart,0.65+,8,1.0,0.625,-0.375
20d,bear,cart,lt_0.50,4,0.0,1.0,1.0
20d,bear,lightgbm,0.50-0.55,0,,,
20d,bear,lightgbm,0.55-0.60,1,0.5801725627437659,1.0,0.41982743725623406
20d,bear,lightgbm,0.60-0.65,0,,,
20d,bear,lightgbm,0.65+,7,0.9917214409920796,0.5714285714285714,-0.4202928695635082
20d,bear,lightgbm,lt_0.50,4,0.22355475882385953,1.0,0.7764452411761404
20d,bear,xgboost,0.50-0.55,1,0.5162361264228821,1.0,0.4837638735771179
20d,bear,xgboost,0.55-0.60,0,,,
20d,bear,xgboost,0.60-0.65,1,0.6040329337120056,1.0,0.3959670662879944
20d,bear,xgboost,0.65+,7,0.9420160225459507,0.5714285714285714,-0.37058745111737934
20d,bear,xgboost,lt_0.50,3,0.28767548501491547,1.0,0.7123245149850845
20d,bull,cart,0.50-0.55,0,,,
20d,bull,cart,0.55-0.60,0,,,
20d,bull,cart,0.60-0.65,0,,,
20d,bull,cart,0.65+,58,1.0,0.43103448275862066,-0.5689655172413793
20d,bull,cart,lt_0.50,30,0.0,0.16666666666666666,0.16666666666666666
20d,bull,lightgbm,0.50-0.55,2,0.5074701207526692,0.5,-0.007470120752669174
20d,bull,lightgbm,0.55-0.60,0,,,
20d,bull,lightgbm,0.60-0.65,2,0.6207357958580055,0.0,-0.6207357958580055
20d,bull,lightgbm,0.65+,60,0.9592929887582007,0.45,-0.5092929887582007
20d,bull,lightgbm,lt_0.50,24,0.08019407367496441,0.08333333333333333,0.0031392596583689203
20d,bull,xgboost,0.50-0.55,2,0.5454793572425842,0.0,-0.5454793572425842
20d,bull,xgboost,0.55-0.60,2,0.5636557340621948,0.5,-0.06365573406219482
20d,bull,xgboost,0.60-0.65,3,0.6191249887148539,0.0,-0.6191249887148539
20d,bull,xgboost,0.65+,61,0.9227346230725773,0.45901639344262296,-0.4637182296299543
20d,bull,xgboost,lt_0.50,20,0.2873334802687168,0.05,-0.2373334802687168
20d,sideway,cart,0.50-0.55,0,,,
20d,sideway,cart,0.55-0.60,0,,,
20d,sideway,cart,0.60-0.65,0,,,
20d,sideway,cart,0.65+,38,1.0,0.7368421052631579,-0.26315789473684215
20d,sideway,cart,lt_0.50,10,0.0,0.8,0.8
20d,sideway,lightgbm,0.50-0.55,0,,,
20d,sideway,lightgbm,0.55-0.60,2,0.5763268481741199,1.0,0.42367315182588006
20d,sideway,lightgbm,0.60-0.65,2,0.6052055620777422,1.0,0.39479443792225777
20d,sideway,lightgbm,0.65+,35,0.9660555433615508,0.7428571428571429,-0.22319840050440787
20d,sideway,lightgbm,lt_0.50,9,0.19824243338684505,0.6666666666666666,0.4684242332798216
20d,sideway,xgboost,0.50-0.55,3,0.5237668752670288,1.0,0.4762331247329712
20d,sideway,xgboost,0.55-0.60,3,0.5801286300023397,1.0,0.4198713699976603
20d,sideway,xgboost,0.60-0.65,2,0.6128544211387634,1.0,0.3871455788612366
20d,sideway,xgboost,0.65+,32,0.9407387226819992,0.71875,-0.2219887226819992
20d,sideway,xgboost,lt_0.50,8,0.2506051175296306,0.625,0.3743948824703694
