phase,artifact_type,artifact_path,exists,evidence_role,key_content,supports_claim,limitations,commit_or_run_reference_if_available
Phase 0,architecture freeze,docs/architecture/VSEF_v1_ARCHITECTURE.md,true,governance scope control,"Freezes v1 layers; inclusions; exclusions; diagnostic candidate boundary",VSEF v1 has governed scope,"Document is governance evidence; it does not execute runtime behavior","Phase 0 document dated 2026-05-09"
Phase 0,model registry,docs/governance/MODEL_REGISTRY.md,true,model scope control,"Freezes SARIMAX; ETS; XGBoost; LightGBM; LSTM; BiLSTM; Stacking",Supported model set is bounded,"Implementation evidence must still come from run artifacts","Phase 0 document dated 2026-05-09"
Phase 0,data policy,docs/governance/DATA_POLICY.md,true,data governance,"Freezes vnstock_data; daily OHLCV; required schema",Provider and schema are governed,"Provider/API changes may affect reproducibility","Phase 0 document dated 2026-05-09"
Phase 0,evaluation protocol,docs/governance/EVALUATION_PROTOCOL.md,true,evaluation governance,"Requires time-series-safe evaluation and artifact-backed claims",Claims require evidence and leakage control,"Protocol is policy; runtime evidence comes later","Phase 0 document dated 2026-05-09"
Phase 0,project tracker,docs/governance/PROJECT_TRACKER.md,true,scope tracking,"Tracks Phase 0 tasks and backlog/out-of-scope items",Scope creep is controlled,"Release sign-off still requires committed artifacts","Phase 0 document dated 2026-05-09"
Phase 1,orchestrator source,src/engine/experiment_orchestrator.py,true,runtime standardization,"Loads YAML configs; validates governance; writes outputs; records errors",Experiments are config-driven and auditable,"Runtime behavior depends on environment and dependencies","Source file present"
Phase 1,metrics engine source,src/ml/evaluation/metrics_engine.py,true,metric standardization,"Long-form metrics for models and baselines",Metrics are comparable across runs,"Metrics only support generated contexts","Source file present"
Phase 1,baseline registry source,src/ml/baselines/baseline_registry.py,true,baseline standardization,"Persistence; zero-return; random-direction; moving-average baselines",Baselines are explicit comparison evidence,"Baselines are not official v1 forecasting models","Source file present"
Phase 1,smoke config,configs/experiments/EXP-SMOKE-001.yaml,true,smoke run definition,"Defines provider-backed smoke experiment",Smoke evidence is reproducible from config,"Config alone is not result evidence","EXP-SMOKE-001"
Phase 1,smoke report,docs/experiments/EXP-SMOKE-001_REPORT.md,true,provider-backed smoke evidence,"Run completed; 72 prediction rows; 48 metric rows",Standard artifact contract works,"Optional artifacts missing were disclosed","Run ID EXP-SMOKE-001-20260508T204336Z-6c409f61"
Phase 1,standardization report,docs/experiments/PHASE1_EXPERIMENT_STANDARDIZATION.md,true,runbook and governance,"Documents config-in to artifacts-out pattern",Phase 1 standardization is reviewable,"Some statements are design/runbook rather than metric evidence","Phase 1 document"
Phase 2,forecasting core report,reports/forecasting_core/FORECASTING_CORE_VALIDATION_REPORT.md,true,forecasting synthesis,"Aggregates EXP-FC-001 to EXP-FC-003",Forecast layer can run comparisons; baselines remain competitive,"Does not prove consistent model superiority","EXP-FC-001/002/003 completed"
Phase 2,forecast metrics,reports/forecasting_core/forecast_metrics.csv,true,metric evidence,"1295 metric rows",Model and baseline metrics exist in common schema,"Metric rows include outliers and bounded contexts","Generated Phase 2 artifact"
Phase 2,model ranking,reports/forecasting_core/model_ranking.csv,true,ranking evidence,"1295 ranking rows",Baselines frequently win MAE/RMSE contexts,"Ranking is context-specific; not universal","Generated Phase 2 artifact"
Phase 2,horizon comparison,reports/forecasting_core/horizon_comparison.csv,true,horizon evidence,"185 horizon comparison rows",T+1/T+3/T+5 behavior can be compared,"Outliers affect some horizon metrics","Generated Phase 2 artifact"
