step_size,ticker,horizon,model_name,total_predictions,evaluation_eligible_predictions,evaluation_ineligible_predictions,coverage_ratio,first_prediction_date,last_prediction_date,last_eligible_prediction_date
2,SSI,long_3m,cart,29,29,0,1.0,2025-01-02,2025-03-28,2025-03-28
2,SSI,long_3m,stacking_final,29,29,0,1.0,2025-01-02,2025-03-28,2025-03-28
2,SSI,long_6m,cart,29,29,0,1.0,2025-01-02,2025-03-28,2025-03-28
2,SSI,long_6m,stacking_final,29,29,0,1.0,2025-01-02,2025-03-28,2025-03-28
2,SSI,short_10d,cart,29,29,0,1.0,2025-01-02,2025-03-28,2025-03-28
2,SSI,short_10d,stacking_final,29,29,0,1.0,2025-01-02,2025-03-28,2025-03-28
2,SSI,short_20d,cart,29,29,0,1.0,2025-01-02,2025-03-28,2025-03-28
2,SSI,short_20d,stacking_final,29,29,0,1.0,2025-01-02,2025-03-28,2025-03-28
2,SSI,short_30d,cart,29,29,0,1.0,2025-01-02,2025-03-28,2025-03-28
2,SSI,short_30d,stacking_final,29,29,0,1.0,2025-01-02,2025-03-28,2025-03-28
2,SSI,short_5d,cart,29,29,0,1.0,2025-01-02,2025-03-28,2025-03-28
2,SSI,short_5d,stacking_final,29,29,0,1.0,2025-01-02,2025-03-28,2025-03-28
