scope,step_size,ticker,horizon,competitor_model,stacking_mae_minus_model,stacking_rmse_minus_model,stacking_directional_accuracy_minus_model,stacking_better_mae,stacking_better_rmse,stacking_better_directional_accuracy
overall_horizon,2,OVERALL,long_3m,cart,0.0,0.0,-0.20689655172413793,False,False,False
overall_horizon,2,OVERALL,long_6m,cart,0.0,0.0,-0.5862068965517241,False,False,False
overall_horizon,2,OVERALL,short_10d,cart,-0.0011309780683695717,-0.0024034518931355664,-0.2068965517241379,True,True,False
overall_horizon,2,OVERALL,short_20d,cart,0.0,0.0,0.0,False,False,False
overall_horizon,2,OVERALL,short_30d,cart,0.0,0.0,-0.03448275862068967,False,False,False
overall_horizon,2,OVERALL,short_5d,cart,-0.0039762651702408905,-0.0026263496874383216,-0.3103448275862069,True,True,False
ticker,2,SSI,long_3m,cart,0.0,0.0,-0.20689655172413793,False,False,False
ticker,2,SSI,long_6m,cart,0.0,0.0,-0.5862068965517241,False,False,False
ticker,2,SSI,short_10d,cart,-0.0011309780683695717,-0.0024034518931355664,-0.2068965517241379,True,True,False
ticker,2,SSI,short_20d,cart,0.0,0.0,0.0,False,False,False
ticker,2,SSI,short_30d,cart,0.0,0.0,-0.03448275862068967,False,False,False
ticker,2,SSI,short_5d,cart,-0.0039762651702408905,-0.0026263496874383216,-0.3103448275862069,True,True,False
