ticker,frequency,selected,first_available_hourly_timestamp,last_available_hourly_timestamp,hourly_rows
ACB,hourly,true,2024-01-02 10:00:00,2026-05-11 14:00:00,1296
BID,hourly,true,2024-01-02 10:00:00,2026-05-11 14:00:00,2648
CTG,hourly,true,2025-11-18 09:00:00,2026-05-11 14:00:00,575
DGC,hourly,true,2025-11-25 09:00:00,2026-05-11 14:00:00,550
FPT,hourly,true,2025-11-05 09:00:00,2026-05-11 14:00:00,620
GAS,hourly,true,2025-10-27 09:00:00,2026-05-11 14:00:00,655
GVR,hourly,true,2025-10-27 09:00:00,2026-05-11 14:00:00,655
HDB,hourly,true,2025-11-19 09:00:00,2026-05-11 14:00:00,570
HPG,hourly,false,2026-02-11 14:00:00,2026-05-11 14:00:00,201
LPB,hourly,true,2025-08-27 09:00:00,2026-05-11 14:00:00,860
MBB,hourly,true,2025-08-27 09:00:00,2026-05-11 14:00:00,860
MSN,hourly,true,2025-08-27 09:00:00,2026-05-11 14:00:00,860
MWG,hourly,true,2025-08-27 09:00:00,2026-05-11 14:00:00,860
PLX,hourly,true,2025-08-27 09:00:00,2026-05-11 14:00:00,860
SAB,hourly,true,2025-12-15 09:00:00,2026-05-11 14:00:00,480
SHB,hourly,false,2026-02-11 14:00:00,2026-05-11 14:00:00,276
SSB,hourly,true,2025-08-27 09:00:00,2026-05-11 14:00:00,860
SSI,hourly,true,2025-11-10 09:00:00,2026-05-11 14:00:00,605
STB,hourly,true,2025-08-27 09:00:00,2026-05-11 14:00:00,860
TCB,hourly,true,2025-10-27 09:00:00,2026-05-11 14:00:00,655
TPB,hourly,true,2025-10-27 09:00:00,2026-05-11 14:00:00,655
VCB,hourly,true,2025-10-27 09:00:00,2026-05-11 14:00:00,655
VHM,hourly,true,2025-08-27 09:00:00,2026-05-11 14:00:00,860
VIB,hourly,false,2026-02-11 14:00:00,2026-05-11 14:00:00,251
VIC,hourly,true,2025-11-06 09:00:00,2026-05-11 14:00:00,615
VJC,hourly,true,2025-08-27 09:00:00,2026-05-11 14:00:00,860
VNM,hourly,true,2025-10-27 09:00:00,2026-05-11 14:00:00,655
VPB,hourly,true,2025-08-27 09:00:00,2026-05-11 14:00:00,860
VPL,hourly,true,2025-08-27 09:00:00,2026-05-11 14:00:00,854
VRE,hourly,true,2025-08-27 09:00:00,2026-05-11 14:00:00,860
