frequency,model,horizon,n_obs,accuracy,null_accuracy,binomial_p_value,bootstrap_ci_low,bootstrap_ci_high,significant_at_5pct,significant_at_10pct
hourly,random_forest,1,4580,0.5611353711790393,0.5,6.690111457347762e-17,0.5465010917030567,0.5751146288209608,True,True
hourly,stacking,1,4580,0.5524017467248908,0.5,6.991434035038039e-13,0.5384224890829694,0.5668122270742358,True,True
hourly,xgboost,1,4580,0.5456331877729258,0.5,3.504252837008065e-10,0.5309989082969432,0.5593995633187773,True,True
hourly,lightgbm,1,4580,0.5438864628820961,0.5,1.5238772493465526e-09,0.5281604803493449,0.5578657205240175,True,True
hourly,xgboost,4,4888,0.5259819967266776,0.5,0.0001476055509847,0.5114566284779051,0.5403027823240589,True,True
hourly,xgboost,8,4879,0.5244927239188358,0.5,0.0003272917818769,0.5103504816560771,0.5382301701168273,True,True
hourly,lightgbm,4,4888,0.5237315875613748,0.5,0.0004755478023021,0.5094056873977086,0.5386661211129297,True,True
hourly,random_forest,4,4888,0.5192307692307693,0.5,0.0037366130254504,0.5045008183306056,0.5335515548281505,True,True
hourly,random_forest,8,4879,0.5140397622463619,0.5,0.0257597750871565,0.500512400081984,0.5283920885427342,True,True
hourly,stacking,4,4888,0.5118657937806874,0.5,0.0499931198697236,0.497545008183306,0.5268054418985271,True,True
hourly,lightgbm,8,4879,0.5105554416888707,0.5,0.0721033236776925,0.4955882352941176,0.5257224841155974,False,True
hourly,stacking,8,4879,0.4837056773929084,0.5,0.9890123421380856,0.4701783152285304,0.4982629637220742,False,False
hourly,stacking,20,4592,0.4764808362369338,0.5,0.9993195419229886,0.4625381097560975,0.4906358885017421,False,False
hourly,lightgbm,20,4592,0.4758275261324042,0.5,0.9995015603029254,0.4616724738675958,0.4897702526132404,False,False
hourly,xgboost,20,4592,0.4649390243902439,0.5,0.9999990715440344,0.4507839721254355,0.4801829268292683,False,False
hourly,random_forest,20,4592,0.4551393728222996,0.5,0.9999999994652076,0.4409788763066202,0.4688643292682927,False,False
