regime_source,frequency,model,horizon,regime,ticker,observation_count,accuracy,reliability,passed_60pct,passed_63pct
exante_proxy,hourly,lightgbm,1,insufficient_history,BID,5,1.0,False,True,True
exante_proxy,hourly,lightgbm,1,insufficient_history,LPB,5,1.0,False,True,True
exante_proxy,hourly,lightgbm,1,insufficient_history,MWG,5,1.0,False,True,True
exante_proxy,hourly,lightgbm,1,insufficient_history,VPL,5,1.0,False,True,True
exante_proxy,hourly,lightgbm,1,insufficient_history,VNM,5,1.0,False,True,True
exante_proxy,hourly,random_forest,1,insufficient_history,MSN,5,1.0,False,True,True
exante_proxy,hourly,random_forest,1,insufficient_history,MWG,5,1.0,False,True,True
exante_proxy,hourly,random_forest,1,insufficient_history,PLX,5,1.0,False,True,True
exante_proxy,hourly,random_forest,1,insufficient_history,TPB,5,1.0,False,True,True
exante_proxy,hourly,random_forest,1,insufficient_history,VJC,5,1.0,False,True,True
exante_proxy,hourly,random_forest,1,insufficient_history,VNM,5,1.0,False,True,True
exante_proxy,hourly,random_forest,4,insufficient_history,MBB,5,1.0,False,True,True
posthoc_artifact,hourly,stacking,1,bull,SSB,1,1.0,False,True,True
exante_proxy,hourly,lightgbm,4,bull,LPB,1,1.0,False,True,True
posthoc_artifact,hourly,stacking,4,bull,GAS,14,1.0,False,True,True
exante_proxy,hourly,random_forest,4,insufficient_history,SAB,5,1.0,False,True,True
exante_proxy,hourly,random_forest,4,insufficient_history,STB,5,1.0,False,True,True
exante_proxy,hourly,random_forest,4,insufficient_history,VHM,5,1.0,False,True,True
exante_proxy,hourly,random_forest,4,insufficient_history,VPL,5,1.0,False,True,True
exante_proxy,hourly,random_forest,1,insufficient_history,BID,5,1.0,False,True,True
