model_name,probability_bucket,bucket_min_probability,bucket_max_probability,observations,avg_predicted_probability,realized_profit_rate,calibration_gap
cart,lt_0.50,0.0,0.5,78,0.0,0.3333333333333333,0.3333333333333333
cart,0.50-0.55,0.5,0.55,0,,,
cart,0.55-0.60,0.55,0.6,0,,,
cart,0.60-0.65,0.6,0.65,0,,,
cart,0.65+,0.65,1.0,66,1.0,0.2878787878787879,-0.7121212121212122
lightgbm,lt_0.50,0.0,0.5,62,0.2607405454812869,0.4032258064516129,0.142485260970326
lightgbm,0.50-0.55,0.5,0.55,7,0.5243972712159567,0.42857142857142855,-0.09582584264452815
lightgbm,0.55-0.60,0.55,0.6,9,0.5724579061857025,0.1111111111111111,-0.46134679507459136
lightgbm,0.60-0.65,0.6,0.65,10,0.6224260667187173,0.3,-0.32242606671871726
lightgbm,0.65+,0.65,1.0,56,0.8191007139733227,0.23214285714285715,-0.5869578568304656
xgboost,lt_0.50,0.0,0.5,71,0.29641231999430856,0.4084507042253521,0.11203838423104356
xgboost,0.50-0.55,0.5,0.55,9,0.5330163836479187,0.2222222222222222,-0.3107941614256965
xgboost,0.55-0.60,0.55,0.6,10,0.5832495033740998,0.5,-0.08324950337409975
xgboost,0.60-0.65,0.6,0.65,10,0.6277917146682739,0.2,-0.42779171466827387
xgboost,0.65+,0.65,1.0,44,0.7765308984301307,0.1590909090909091,-0.6174399893392216
