frequency,model,horizon,baseline,model_accuracy,baseline_accuracy,accuracy_delta,model_better_than_baseline,model_n_obs,source_artifact,claim_supported,limitation,status
daily,lightgbm,1,always_up,0.5078076202373517,0.4884447220487195,0.019362898188632183,true,1601,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
daily,lightgbm,1,moving_average_signal,0.5078076202373517,0.47657713928794504,0.03123048094940667,true,1601,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
daily,lightgbm,1,previous_direction,0.5078076202373517,0.4909431605246721,0.016864459712679636,true,1601,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
daily,lightgbm,1,random_seeded_direction,0.5078076202373517,0.5034353529044348,0.004372267332916957,true,1601,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
daily,lightgbm,5,always_up,0.531902206320811,0.5104353011329755,0.02146690518783545,true,1677,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
daily,lightgbm,5,moving_average_signal,0.531902206320811,0.509242695289207,0.022659511031604018,true,1677,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
daily,lightgbm,5,previous_direction,0.531902206320811,0.49433512224209897,0.03756708407871201,true,1677,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
daily,lightgbm,5,random_seeded_direction,0.531902206320811,0.5050685748360167,0.02683363148479423,true,1677,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
daily,lightgbm,10,always_up,0.5404589371980676,0.5259661835748792,0.01449275362318836,true,1656,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
daily,lightgbm,10,moving_average_signal,0.5404589371980676,0.5163043478260869,0.024154589371980673,true,1656,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
daily,lightgbm,10,previous_direction,0.5404589371980676,0.501207729468599,0.03925120772946855,true,1656,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
daily,lightgbm,10,random_seeded_direction,0.5404589371980676,0.49094202898550726,0.04951690821256033,true,1656,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
daily,lightgbm,20,always_up,0.5596733668341709,0.5452261306532663,0.014447236180904599,true,1592,daily/hourly baseline_delta_summary.csv,"Some model/horizon rows outperform simple directional baselines, but this is not a global pass.","Baseline deltas are directional-accuracy diagnostics, not cost-adjusted returns.",ready
