horizon,ticker,model_name,strategy_type,threshold,total_return,annualized_return,sharpe_ratio,sortino_ratio,max_drawdown,win_rate,profit_factor,number_of_trades,average_trade_return,exposure_ratio,turnover,positive_net_return_after_costs,beats_buy_and_hold,beats_naive_flat_strategy
3d,PORTFOLIO_EQUAL_WEIGHT,buy_and_hold,benchmark,,-0.05973303976504418,-0.21241603344141236,-0.5978769939651716,-0.9391532568693348,-0.18445050433676013,0.25,0.1712077377116168,4,-0.06439273849571892,1.0,2.0,False,False,False
3d,PORTFOLIO_EQUAL_WEIGHT,cart,model,0.0,-0.10199053244222189,-0.3410177714082734,-2.040311410726781,-3.786045317631382,-0.17244787930191974,0.4528301886792453,0.644609200208168,53,-0.0074828313279924445,0.6115384615384616,12.0,False,False,False
3d,PORTFOLIO_EQUAL_WEIGHT,cart,model,0.005,-0.09071287975884734,-0.30834884431085563,-2.9418031351197924,-3.62544376125965,-0.13121674133357553,0.38095238095238093,0.459134073683151,21,-0.0171205447012305,0.2423076923076923,2.0,False,False,False
3d,PORTFOLIO_EQUAL_WEIGHT,cart,model,0.01,0.010726446306395632,0.042231571856173655,0.5089268719365181,0.47633252901572626,-0.045983406129142645,0.4166666666666667,1.1988735484323358,12,0.003903283278115973,0.13846153846153847,0.0,True,True,True
3d,PORTFOLIO_EQUAL_WEIGHT,cart,model,0.02,0.011076759872628239,0.04363274321905619,0.5262114338210234,0.48858913153914196,-0.045652747960985285,0.45454545454545453,1.2059720966152645,11,0.0043841571974286035,0.12692307692307692,0.0,True,True,True
3d,PORTFOLIO_EQUAL_WEIGHT,lightgbm,model,0.0,-0.1512784104353534,-0.4705458545541459,-3.553542691771717,-4.946753306917468,-0.17329458946023035,0.38461538461538464,0.4233035361974542,39,-0.016031460343950123,0.45,8.0,False,False,False
3d,PORTFOLIO_EQUAL_WEIGHT,lightgbm,model,0.005,-0.08960762191434868,-0.30508374702001395,-2.369595632749305,-3.4483570148256892,-0.11705660537742923,0.36666666666666664,0.5487949281034435,30,-0.011892046157009954,0.34615384615384615,6.0,False,False,False
3d,PORTFOLIO_EQUAL_WEIGHT,lightgbm,model,0.01,-0.0473703936624843,-0.17150430033380737,-1.2865469726777785,-1.8903477099690171,-0.07609285986522663,0.38461538461538464,0.6953862463341802,26,-0.007004888350974305,0.3,2.0,False,True,False
3d,PORTFOLIO_EQUAL_WEIGHT,lightgbm,model,0.02,-0.026176997544781422,-0.09772700854607697,-1.0104443625177981,-1.4309846096614263,-0.04215360721408545,0.3888888888888889,0.6588752725163675,18,-0.005976005556855574,0.2076923076923077,0.0,False,True,False
3d,PORTFOLIO_EQUAL_WEIGHT,momentum_continuation,benchmark,0.0,-0.1664992704937709,-0.5064188276523347,-4.135322191650788,-6.399048054932533,-0.17256468169988481,0.3673469387755102,0.4080934838854218,49,-0.014398024076749987,0.5653846153846154,18.0,False,False,False
3d,PORTFOLIO_EQUAL_WEIGHT,momentum_continuation,benchmark,0.005,-0.18951417078827426,-0.5571944701161543,-4.821968993323278,-7.132712343901177,-0.1922819347563145,0.35555555555555557,0.33493051790008443,45,-0.018026160218935553,0.5192307692307693,20.0,False,False,False
3d,PORTFOLIO_EQUAL_WEIGHT,momentum_continuation,benchmark,0.01,-0.17779122682280235,-0.5318423043878251,-4.765580865673,-8.397729703516191,-0.180599023991594,0.35714285714285715,0.35245185534981277,42,-0.017933934214357072,0.4846153846153846,16.0,False,False,False
3d,PORTFOLIO_EQUAL_WEIGHT,momentum_continuation,benchmark,0.02,-0.11671562548685999,-0.3819324115661772,-3.9027360969423173,-4.905793592169712,-0.12090501071175586,0.3225806451612903,0.35103158950059493,31,-0.015770313089891175,0.3576923076923077,10.0,False,False,False
3d,PORTFOLIO_EQUAL_WEIGHT,naive_flat_strategy,benchmark,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,False,False,False
3d,PORTFOLIO_EQUAL_WEIGHT,xgboost,model,0.0,-0.0339024570290245,-0.12516231566399216,-0.7359456838524133,-1.3399007800098734,-0.06947580588846147,0.45714285714285713,0.8227773920830433,35,-0.0035825887989599245,0.40384615384615385,8.0,False,True,False
3d,PORTFOLIO_EQUAL_WEIGHT,xgboost,model,0.005,-0.022692706429954468,-0.08514662161593711,-0.71062287480044,-1.2100613856273856,-0.04996420051202466,0.391304347826087,0.7471664297059191,23,-0.0042025434947208715,0.2653846153846154,2.0,False,True,False
3d,PORTFOLIO_EQUAL_WEIGHT,xgboost,model,0.01,-0.007025462460330201,-0.026963130499605414,-0.20874199575379773,-0.3260089098178705,-0.0660431253954763,0.5294117647058824,0.957944365383063,17,-0.0008675236167128221,0.19615384615384615,2.0,False,True,False
3d,PORTFOLIO_EQUAL_WEIGHT,xgboost,model,0.02,-0.011353293240418005,-0.043302102905690365,-0.5790875980353805,-0.7553048568115263,-0.04183197461271737,0.4444444444444444,0.8343625933392033,9,-0.004278750794985458,0.10384615384615385,0.0,False,True,False
