horizon,ticker,model_name,strategy_type,threshold,prediction_date,entry_date,exit_date,target_date,trade_id,predicted_return,actual_forward_return,entry_price,exit_price,gross_trade_return,net_trade_return,holding_sessions,round_trip_cost_bps,entry_index,exit_index
3d,ACB,buy_and_hold,benchmark,,2026-01-05,2026-01-05,2026-04-10,2026-04-10,3d_ACB_buy_and_hold,,,24.0,23.85,-0.006249999999999978,-0.013181988041853554,65,70.0,0,64
3d,ACB,cart,model,0.0,2026-01-05,2026-01-06,2026-01-08,2026-01-08,3d_ACB_cart_0.0000_1,0.0079083536286521,0.0229166666666666,24.05,24.55,0.02079002079002068,0.013669412772551848,3,70.0,1,3
3d,ACB,cart,model,0.0,2026-01-08,2026-01-09,2026-01-13,2026-01-13,3d_ACB_cart_0.0000_4,0.0079083536286521,0.0142566191446027,24.7,24.9,0.00809716599190291,0.0010650980676945032,3,70.0,4,6
3d,ACB,cart,model,0.0,2026-01-29,2026-01-30,2026-02-03,2026-02-03,3d_ACB_cart_0.0000_19,0.0079083536286521,-0.004201680672269,23.85,23.7,-0.0062893081761007386,-0.013221022020412865,3,70.0,19,21
3d,ACB,cart,model,0.0,2026-02-23,2026-02-24,2026-02-26,2026-02-26,3d_ACB_cart_0.0000_31,0.0043908563398253,0.0166320166320166,24.1,24.45,0.014522821576763434,0.007445930942944656,3,70.0,31,33
3d,ACB,cart,model,0.005,2026-01-05,2026-01-06,2026-01-08,2026-01-08,3d_ACB_cart_0.0050_1,0.0079083536286521,0.0229166666666666,24.05,24.55,0.02079002079002068,0.013669412772551848,3,70.0,1,3
3d,ACB,cart,model,0.005,2026-01-08,2026-01-09,2026-01-13,2026-01-13,3d_ACB_cart_0.0050_4,0.0079083536286521,0.0142566191446027,24.7,24.9,0.00809716599190291,0.0010650980676945032,3,70.0,4,6
3d,ACB,cart,model,0.005,2026-01-29,2026-01-30,2026-02-03,2026-02-03,3d_ACB_cart_0.0050_19,0.0079083536286521,-0.004201680672269,23.85,23.7,-0.0062893081761007386,-0.013221022020412865,3,70.0,19,21
3d,ACB,lightgbm,model,0.0,2026-01-06,2026-01-07,2026-01-09,2026-01-09,3d_ACB_lightgbm_0.0000_2,0.0013118597436578,0.0229166666666666,24.2,24.55,0.01446280991735538,0.007386337899994544,3,70.0,2,4
3d,ACB,lightgbm,model,0.0,2026-01-30,2026-02-02,2026-02-04,2026-02-04,3d_ACB_lightgbm_0.0000_20,0.0022081827132412,-0.020746887966805,24.05,23.6,-0.018711018711018657,-0.025556083852047995,3,70.0,20,22
3d,ACB,lightgbm,model,0.0,2026-02-05,2026-02-06,2026-02-10,2026-02-10,3d_ACB_lightgbm_0.0000_24,0.0030125430281134,-0.0191897654584221,23.4,23.0,-0.017094017094017033,-0.023950361767999917,3,70.0,24,26
