horizon,ticker,model_name,strategy_type,threshold,date,daily_return,equity_curve,drawdown,position,active_trade_count,scope
3d,ACB,buy_and_hold,benchmark,,2026-01-05,-0.0034877927254610697,0.9965122072745389,0.0,1.0,1,
3d,ACB,buy_and_hold,benchmark,,2026-01-06,0.0,0.9965122072745389,0.0,1.0,1,
3d,ACB,buy_and_hold,benchmark,,2026-01-07,0.027083333333333348,1.0235010795548911,0.0,1.0,1,
3d,ACB,buy_and_hold,benchmark,,2026-01-08,-0.0040567951318457585,1.0193489453579139,-0.0040567951318458695,1.0,1,
3d,ACB,buy_and_hold,benchmark,,2026-01-09,0.0,1.0193489453579139,-0.0040567951318458695,1.0,1,
3d,ACB,buy_and_hold,benchmark,,2026-01-12,0.0386965376782078,1.0587942202291978,0.0,1.0,1,
3d,ACB,buy_and_hold,benchmark,,2026-01-13,-0.02352941176470591,1.0338814150473343,-0.02352941176470591,1.0,1,
3d,ACB,buy_and_hold,benchmark,,2026-01-14,-0.010040160642570295,1.0235010795548911,-0.03333333333333344,1.0,1,
3d,ACB,buy_and_hold,benchmark,,2026-01-15,0.010141987829614507,1.033881415047334,-0.02352941176470602,1.0,1,
3d,ACB,buy_and_hold,benchmark,,2026-01-16,-0.00200803212851397,1.0318053479488456,-0.025490196078431504,1.0,1,
3d,ACB,buy_and_hold,benchmark,,2026-01-19,0.010060362173038184,1.0421856834412886,-0.015686274509804088,1.0,1,
3d,ACB,buy_and_hold,benchmark,,2026-01-20,-0.0019920318725099584,1.0401096163428,-0.01764705882352946,1.0,1,
3d,ACB,buy_and_hold,benchmark,,2026-01-21,-0.007984031936127733,1.0318053479488456,-0.025490196078431504,1.0,1,
3d,ACB,buy_and_hold,benchmark,,2026-01-22,0.0,1.0318053479488456,-0.025490196078431504,1.0,1,
3d,ACB,buy_and_hold,benchmark,,2026-01-23,0.008048289738430636,1.0401096163428,-0.01764705882352946,1.0,1,
3d,ACB,buy_and_hold,benchmark,,2026-01-26,-0.009980039920159722,1.0297292808503569,-0.0274509803921571,1.0,1,
3d,ACB,buy_and_hold,benchmark,,2026-01-27,-0.0040322580645162365,1.0255771466533794,-0.031372549019608176,1.0,1,
3d,ACB,buy_and_hold,benchmark,,2026-01-28,-0.03238866396761142,0.9923600730775614,-0.06274509803921613,1.0,1,
3d,ACB,buy_and_hold,benchmark,,2026-01-29,-0.004184100418409997,0.9882079388805841,-0.0666666666666671,1.0,1,
3d,ACB,buy_and_hold,benchmark,,2026-01-30,0.012605042016806678,1.0006643414715157,-0.05490196078431431,1.0,1,
3d,ACB,buy_and_hold,benchmark,,2026-02-02,-0.014522821576763545,0.9861318717820953,-0.0686274509803928,1.0,1,
3d,ACB,buy_and_hold,benchmark,,2026-02-03,-0.002105263157894721,0.9840558046836066,-0.07058823529411828,1.0,1,
3d,ACB,buy_and_hold,benchmark,,2026-02-04,-0.00421940928270037,0.9799036704866294,-0.07450980392156925,1.0,1,
3d,ACB,buy_and_hold,benchmark,,2026-02-05,-0.006355932203389925,0.9736754691911634,-0.08039215686274581,1.0,1,
3d,ACB,buy_and_hold,benchmark,,2026-02-06,-0.019189765458422103,0.954990865304766,-0.09803921568627516,1.0,1,
3d,ACB,buy_and_hold,benchmark,,2026-02-09,-0.0021739130434782483,0.9529147982062773,-0.10000000000000064,1.0,1,
3d,ACB,buy_and_hold,benchmark,,2026-02-10,0.002178649237472907,0.9549908653047661,-0.09803921568627505,1.0,1,
3d,ACB,buy_and_hold,benchmark,,2026-02-11,0.02826086956521734,0.9819797375851181,-0.07254901960784366,1.0,1,
3d,ACB,buy_and_hold,benchmark,,2026-02-12,0.008456659619450413,0.9902840059790727,-0.06470588235294161,1.0,1,
3d,ACB,buy_and_hold,benchmark,,2026-02-13,0.0,0.9902840059790727,-0.06470588235294161,1.0,1,
3d,ACB,buy_and_hold,benchmark,,2026-02-23,0.008385744234800763,0.9985882743730271,-0.05686274509803979,1.0,1,
3d,ACB,buy_and_hold,benchmark,,2026-02-24,-0.0020790020790021346,0.9965122072745384,-0.058823529411765385,1.0,1,
3d,ACB,buy_and_hold,benchmark,,2026-02-25,0.018750000000000044,1.015196811160936,-0.041176470588236036,1.0,1,
3d,ACB,buy_and_hold,benchmark,,2026-02-26,0.0,1.015196811160936,-0.041176470588236036,1.0,1,
3d,ACB,buy_and_hold,benchmark,,2026-02-27,0.004089979550102374,1.0193489453579134,-0.03725490196078485,1.0,1,
3d,ACB,buy_and_hold,benchmark,,2026-03-02,-0.024439918533604943,0.9944361401760499,-0.06078431372549076,1.0,1,
3d,ACB,buy_and_hold,benchmark,,2026-03-03,-0.018789144050104345,0.9757515362896523,-0.0784313725490201,1.0,1,
3d,ACB,buy_and_hold,benchmark,,2026-03-04,-0.012765957446808529,0.9632951336987206,-0.09019607843137312,1.0,1,
3d,ACB,buy_and_hold,benchmark,,2026-03-05,0.015086206896551824,0.977827603388141,-0.07647058823529451,1.0,1,
3d,ACB,buy_and_hold,benchmark,,2026-03-06,-0.010615711252653925,0.9674472678956979,-0.08627450980392204,1.0,1,
3d,ACB,buy_and_hold,benchmark,,2026-03-09,-0.06866952789699576,0.9010131207440619,-0.14901960784313772,1.0,1,
3d,ACB,buy_and_hold,benchmark,,2026-03-10,0.06682027649769573,0.9612190666002318,-0.09215686274509871,1.0,1,
3d,ACB,buy_and_hold,benchmark,,2026-03-11,0.002159827213823018,0.9632951336987206,-0.09019607843137312,1.0,1,
3d,ACB,buy_and_hold,benchmark,,2026-03-12,-0.0021551724137931494,0.9612190666002319,-0.0921568627450986,1.0,1,
3d,ACB,buy_and_hold,benchmark,,2026-03-13,0.012958963282937441,0.9736754691911638,-0.08039215686274559,1.0,1,
3d,ACB,buy_and_hold,benchmark,,2026-03-16,0.0,0.9736754691911638,-0.08039215686274559,1.0,1,
3d,ACB,buy_and_hold,benchmark,,2026-03-17,0.01279317697228155,0.9861318717820956,-0.06862745098039247,1.0,1,
3d,ACB,buy_and_hold,benchmark,,2026-03-18,0.0,0.9861318717820956,-0.06862745098039247,1.0,1,
