date,ticker,prediction_date,horizon,horizon_days,current_close,actual_close,predicted_close,predicted_close_baseline,predicted_return,predicted_return_baseline,absolute_error,absolute_error_baseline,pct_error,pct_error_baseline,predicted_direction,predicted_direction_baseline,actual_direction
2026-01-05,ACB,2025-12-31,daily,1,24.0,24.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-01-06,ACB,2026-01-05,daily,1,24.0,24.0,24.045955002393487,24.0,0.0019147917663953073,0.0,0.045955002393487376,0.0,0.19147917663953073,0.0,0,0,0
2026-01-07,ACB,2026-01-06,daily,1,24.0,24.65,24.0,24.0,0.0,0.0,0.6499999999999986,0.6499999999999986,2.6369168356997914,2.6369168356997914,0,0,1
2026-01-08,ACB,2026-01-07,daily,1,24.65,24.55,24.542892613283673,24.65,-0.004345127250155234,0.0,0.007107386716327824,0.09999999999999787,0.028950658722312925,0.4073319755600728,0,0,0
2026-01-09,ACB,2026-01-08,daily,1,24.55,24.55,24.39928376534789,24.55,-0.0061391541609822076,0.0,0.15071623465211204,0.0,0.613915416098216,0.0,0,0,0
2026-01-12,ACB,2026-01-09,daily,1,24.55,25.5,25.030489296636087,24.55,0.01957186544342515,0.0,0.46951070336391254,0.9499999999999993,1.8412184445643627,3.7254901960784284,0,0,1
2026-01-13,ACB,2026-01-12,daily,1,25.5,24.9,25.00717835450028,25.5,-0.019326339039204776,0.0,0.1071783545002809,0.6000000000000014,0.43043515863566634,2.409638554216873,0,0,0
2026-01-14,ACB,2026-01-13,daily,1,24.9,24.65,26.3656329113924,24.9,0.058860759493670756,0.0,1.715632911392401,0.25,6.959971242971201,1.0141987829614605,1,0,0
2026-01-15,ACB,2026-01-14,daily,1,24.65,24.9,25.407529194837124,24.65,0.03073140749846348,0.0,0.5075291948371259,0.25,2.038269858783638,1.0040160642570282,0,0,1
2026-01-16,ACB,2026-01-15,daily,1,24.9,24.85,25.566539196940724,24.9,0.026768642447418722,0.0,0.7165391969407224,0.04999999999999716,2.8834575329606533,0.20120724346075317,0,0,0
2026-01-19,ACB,2026-01-16,daily,1,24.85,25.1,24.701879871618527,24.85,-0.0059605685465382585,0.0,0.3981201283814748,0.25,1.58613596964731,0.9960159362549801,1,0,1
2026-01-20,ACB,2026-01-19,daily,1,25.1,25.05,25.2137216828479,25.1,0.0045307443365696365,0.0,0.16372168284789979,0.05000000000000071,0.6535795722471048,0.19960079840319644,0,0,0
2026-01-21,ACB,2026-01-20,daily,1,25.05,24.85,24.900687757909218,25.05,-0.0059605685465382585,0.0,0.0506877579092162,0.1999999999999993,0.20397488092239918,0.8048289738430555,0,0,0
2026-01-22,ACB,2026-01-21,daily,1,24.85,24.85,23.976428123038293,24.85,-0.035153797865662306,0.0,0.8735718769617087,0.0,3.515379786566232,0.0,0,0,0
2026-01-23,ACB,2026-01-22,daily,1,24.85,25.05,23.976428123038293,24.85,-0.035153797865662306,0.0,1.073571876961708,0.1999999999999993,4.285716075695441,0.7984031936127716,0,0,1
2026-01-26,ACB,2026-01-23,daily,1,25.05,24.8,25.01357246728066,25.05,-0.0014541929229276995,0.0,0.2135724672806596,0.25,0.8611793035510468,1.0080645161290323,1,0,0
2026-01-27,ACB,2026-01-26,daily,1,24.8,24.7,23.949925484351716,24.8,-0.03427719821162434,0.0,0.7500745156482829,0.10000000000000142,3.036738929750133,0.4048582995951474,1,0,0
2026-01-28,ACB,2026-01-27,daily,1,24.7,23.9,23.83170119271814,24.7,-0.035153797865662306,0.0,0.06829880728185955,0.8000000000000007,0.28576906812493535,3.347280334728037,1,0,0
2026-01-29,ACB,2026-01-28,daily,1,23.9,23.8,24.20830753353973,23.9,0.012899896800825594,0.0,0.40830753353973037,0.09999999999999787,1.7155778720156736,0.4201680672268818,1,0,0
2026-01-30,ACB,2026-01-29,daily,1,23.8,24.1,24.406755895474824,23.8,0.02549394518801784,0.0,0.3067558954748222,0.3000000000000007,1.2728460393146148,1.2448132780083017,1,0,1
2026-02-02,ACB,2026-01-30,daily,1,24.1,23.75,24.80117315814172,24.1,0.029094321914594046,0.0,1.0511731581417187,0.3500000000000014,4.4259922448072375,1.473684210526322,1,0,0
2026-02-03,ACB,2026-02-02,daily,1,23.75,23.7,23.852962427745666,23.75,0.004335260115607031,0.0,0.15296242774566693,0.05000000000000071,0.6454110875344596,0.21097046413502413,0,0,0
2026-02-04,ACB,2026-02-03,daily,1,23.7,23.6,23.76183953033268,23.7,0.002609262883235486,0.0,0.16183953033267784,0.09999999999999787,0.6857607217486348,0.423728813559313,1,0,0
2026-02-05,ACB,2026-02-04,daily,1,23.6,23.45,23.63763955342903,23.6,0.0015948963317384823,0.0,0.1876395534290296,0.15000000000000213,0.8001686713391455,0.6396588486140816,1,0,0
2026-02-06,ACB,2026-02-05,daily,1,23.45,23.0,23.635497692814766,23.45,0.007910349373764003,0.0,0.6354976928147664,0.4499999999999993,2.7630334470207236,1.956521739130432,0,0,0
