model_name,probability_bucket,bucket_min_probability,bucket_max_probability,observations,avg_predicted_probability,realized_profit_rate,calibration_gap
cart,lt_0.50,0.0,0.5,211,0.2442801566912091,0.45023696682464454,0.20595681013343545
cart,0.50-0.55,0.5,0.55,5,0.5294117647058824,0.4,-0.12941176470588234
cart,0.55-0.60,0.55,0.6,0,,,
cart,0.60-0.65,0.6,0.65,7,0.6034482758620688,0.42857142857142855,-0.1748768472906403
cart,0.65+,0.65,1.0,37,0.7281394268411937,0.16216216216216217,-0.5659772646790315
lightgbm,lt_0.50,0.0,0.5,203,0.2320250291614256,0.41379310344827586,0.18176807428685027
lightgbm,0.50-0.55,0.5,0.55,6,0.5163619455943146,0.5,-0.016361945594314586
lightgbm,0.55-0.60,0.55,0.6,7,0.5746653444567172,0.2857142857142857,-0.28895105874243154
lightgbm,0.60-0.65,0.6,0.65,8,0.6334155848211791,0.5,-0.1334155848211791
lightgbm,0.65+,0.65,1.0,36,0.7925415659808729,0.3611111111111111,-0.4314304548697618
xgboost,lt_0.50,0.0,0.5,213,0.23435217150849916,0.4272300469483568,0.19287787543985765
xgboost,0.50-0.55,0.5,0.55,11,0.5239432074806907,0.0,-0.5239432074806907
xgboost,0.55-0.60,0.55,0.6,11,0.5757298577915538,0.6363636363636364,0.06063377857208252
xgboost,0.60-0.65,0.6,0.65,6,0.6245721379915873,0.16666666666666666,-0.45790547132492065
xgboost,0.65+,0.65,1.0,19,0.7294044651483235,0.3684210526315789,-0.36098341251674454
