horizon,ticker,model_name,observations,mae,rmse,mape,directional_accuracy,naive_mae,naive_rmse,naive_mape,naive_directional_accuracy,momentum_mae,momentum_rmse,momentum_mape,momentum_directional_accuracy,beats_naive_baseline,beats_baseline_mae,beats_baseline_rmse,beats_baseline_mape,beats_baseline_directional_accuracy,wins_vs_naive_baseline
20d,ACB,cart,65,0.03431134231688189,0.03949983144195022,143.50674139422793,0.4153846153846154,0.03149974679824017,0.03773970923452912,100.0,0.0,0.05320667665413034,0.06585911589636072,249.23402988204603,0.3076923076923077,False,False,False,False,True,1
20d,ACB,lightgbm,65,0.02217954497157856,0.028560078919229074,121.92300660409636,0.7692307692307693,0.03149974679824017,0.03773970923452912,100.0,0.0,0.05320667665413034,0.06585911589636072,249.23402988204603,0.3076923076923077,True,True,True,False,True,3
20d,ACB,momentum_continuation,195,0.05320667665413033,0.06585911589636072,249.2340298820461,0.3076923076923077,0.03149974679824017,0.03773970923452912,100.0,0.0,,,,,False,False,False,False,True,1
20d,ACB,naive_flat_return,195,0.03149974679824017,0.03773970923452912,100.0,0.0,,,,,,,,,False,False,False,False,False,0
20d,ACB,xgboost,65,0.02404341359833953,0.030209967673092263,108.9415501018844,0.6153846153846154,0.03149974679824017,0.03773970923452912,100.0,0.0,0.05320667665413034,0.06585911589636072,249.23402988204603,0.3076923076923077,True,True,True,False,True,3
20d,DGC,cart,65,0.20629183948852603,0.24215076421403414,843.507586598785,0.5846153846153846,0.15613607154445336,0.19084321620332806,100.0,0.0,0.2520263489243289,0.2880800291558943,747.0048740236178,0.3384615384615385,False,False,False,False,True,1
20d,DGC,lightgbm,65,0.17634173592156419,0.21251675587109425,571.137220560098,0.5230769230769231,0.15613607154445336,0.19084321620332806,100.0,0.0,0.2520263489243289,0.2880800291558943,747.0048740236178,0.3384615384615385,False,False,False,False,True,1
20d,DGC,momentum_continuation,195,0.2520263489243289,0.2880800291558943,747.0048740236178,0.3384615384615385,0.15613607154445336,0.19084321620332806,100.0,0.0,,,,,False,False,False,False,True,1
20d,DGC,naive_flat_return,195,0.15613607154445336,0.19084321620332806,100.0,0.0,,,,,,,,,False,False,False,False,False,0
20d,DGC,xgboost,65,0.17133549451516392,0.20265092686944836,503.37696328739196,0.46153846153846156,0.15613607154445336,0.19084321620332806,100.0,0.0,0.2520263489243289,0.2880800291558943,747.0048740236178,0.3384615384615385,False,False,False,False,True,1
