horizon,ticker,model_name,strategy_type,threshold,total_return,annualized_return,sharpe_ratio,sortino_ratio,max_drawdown,win_rate,profit_factor,number_of_trades,average_trade_return,exposure_ratio,turnover,positive_net_return_after_costs,beats_buy_and_hold,beats_naive_flat_strategy
20d,PORTFOLIO_EQUAL_WEIGHT,buy_and_hold,benchmark,,-0.05973303976504418,-0.21241603344141236,-0.5978769939651716,-0.9391532568693348,-0.18445050433676013,0.25,0.1712077377116168,4,-0.06439273849571892,1.0,2.0,False,False,False
20d,PORTFOLIO_EQUAL_WEIGHT,momentum_continuation,benchmark,0.0,-0.178144938790472,-0.5326226342672342,-3.568918771775332,-4.850586898856899,-0.18969860955138496,0.25,0.10741085097646164,8,-0.0873427723742625,0.6153846153846154,8.0,False,False,False
20d,PORTFOLIO_EQUAL_WEIGHT,momentum_continuation,benchmark,0.005,-0.178144938790472,-0.5326226342672342,-3.568918771775332,-4.850586898856899,-0.18969860955138496,0.25,0.10741085097646164,8,-0.0873427723742625,0.6153846153846154,8.0,False,False,False
20d,PORTFOLIO_EQUAL_WEIGHT,momentum_continuation,benchmark,0.01,-0.178144938790472,-0.5326226342672342,-3.568918771775332,-4.850586898856899,-0.18969860955138496,0.25,0.10741085097646164,8,-0.0873427723742625,0.6153846153846154,8.0,False,False,False
20d,PORTFOLIO_EQUAL_WEIGHT,momentum_continuation,benchmark,0.02,-0.1876421963135353,-0.5532161721570126,-3.8332386049402656,-5.4307381658602,-0.1887515016422101,0.14285714285714285,0.027031175311197805,7,-0.10756316269387203,0.5384615384615384,6.0,False,False,False
20d,PORTFOLIO_EQUAL_WEIGHT,naive_flat_strategy,benchmark,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,False,False,False
20d,PORTFOLIO_EQUAL_WEIGHT,cart,model,0.0,-0.009809242454353218,-0.037496357493900456,-0.16075465759676208,-0.197879670109288,-0.06384985664519949,0.3333333333333333,0.7038747541487052,6,-0.0084562922978992,0.46153846153846156,2.0,False,True,False
20d,PORTFOLIO_EQUAL_WEIGHT,cart,model,0.005,-0.009809242454353218,-0.037496357493900456,-0.16075465759676208,-0.197879670109288,-0.06384985664519949,0.3333333333333333,0.7038747541487052,6,-0.0084562922978992,0.46153846153846156,2.0,False,True,False
20d,PORTFOLIO_EQUAL_WEIGHT,cart,model,0.01,0.02074171617975895,0.08284456050421829,0.7536234117232553,0.9746934165007637,-0.03987931276623735,0.5,2.4421558051589347,4,0.017804509530888496,0.3076923076923077,2.0,True,True,True
20d,PORTFOLIO_EQUAL_WEIGHT,cart,model,0.02,0.03867859694225384,0.15850063784783397,1.6585683372351216,2.290589174729514,-0.02585297708910239,1.0,10.0,3,0.04815036149028207,0.23076923076923078,0.0,True,True,True
20d,PORTFOLIO_EQUAL_WEIGHT,lightgbm,model,0.0,-0.09344891515536069,-0.3163825269505577,-2.1974037520867356,-2.947331290519272,-0.1573278787173399,0.4,0.08150665089012614,5,-0.06921302873201027,0.38461538461538464,2.0,False,False,False
20d,PORTFOLIO_EQUAL_WEIGHT,lightgbm,model,0.005,-0.0839953890481826,-0.2883275432389687,-2.1282582113876836,-2.5598285517251127,-0.1367332031692886,0.5,0.13988213299108831,4,-0.07510596017199958,0.3076923076923077,2.0,False,False,False
20d,PORTFOLIO_EQUAL_WEIGHT,lightgbm,model,0.01,-0.0839953890481826,-0.2883275432389687,-2.1282582113876836,-2.5598285517251127,-0.1367332031692886,0.5,0.13988213299108831,4,-0.07510596017199958,0.3076923076923077,2.0,False,False,False
