horizon,regime,model_name,ranking_method,score_column,top_k,return_threshold,probability_threshold,groups_covered,observations,average_actual_return,profit_rate,precision_at_top_k,recall_of_profitable_cases,lift_vs_regime_base_rate
20d,bear,cart,combined_rank_based,rank_based_joint_score,1,,,12,12,0.01805889575674727,0.6666666666666666,0.6666666666666666,0.42105263157894735,1.6842105263157894
20d,bear,cart,combined_rank_based,rank_based_joint_score,3,,,12,36,-0.022844676640218983,0.5,0.5,0.9473684210526315,1.2631578947368423
20d,bear,cart,combined_rank_based,rank_based_joint_score,5,,,12,48,-0.03003807158968505,0.3958333333333333,0.3958333333333333,1.0,1.0
20d,bear,cart,combined_weighted_linear,combined_score,1,,,12,12,0.01805889575674727,0.6666666666666666,0.6666666666666666,0.42105263157894735,1.6842105263157894
20d,bear,cart,combined_weighted_linear,combined_score,3,,,12,36,-0.022844676640218983,0.5,0.5,0.9473684210526315,1.2631578947368423
20d,bear,cart,combined_weighted_linear,combined_score,5,,,12,48,-0.03003807158968505,0.3958333333333333,0.3958333333333333,1.0,1.0
20d,bear,cart,combined_weighted_linear_gated,combined_score,1,0.0,0.5,4,4,0.011478642930910575,0.25,0.25,1.0,1.0
20d,bear,cart,combined_weighted_linear_gated,combined_score,1,0.0,0.55,4,4,0.011478642930910575,0.25,0.25,1.0,1.0
20d,bear,cart,combined_weighted_linear_gated,combined_score,1,0.005,0.5,4,4,0.011478642930910575,0.25,0.25,1.0,1.0
20d,bear,cart,combined_weighted_linear_gated,combined_score,1,0.005,0.55,4,4,0.011478642930910575,0.25,0.25,1.0,1.0
20d,bear,cart,combined_weighted_linear_gated,combined_score,1,0.01,0.5,4,4,0.011478642930910575,0.25,0.25,1.0,1.0
20d,bear,cart,combined_weighted_linear_gated,combined_score,1,0.01,0.55,4,4,0.011478642930910575,0.25,0.25,1.0,1.0
20d,bear,cart,combined_weighted_linear_gated,combined_score,1,0.02,0.5,1,1,0.0714285714285714,1.0,1.0,1.0,1.0
20d,bear,cart,combined_weighted_linear_gated,combined_score,1,0.02,0.55,1,1,0.0714285714285714,1.0,1.0,1.0,1.0
20d,bear,cart,combined_weighted_linear_gated,combined_score,3,0.0,0.5,4,4,0.011478642930910575,0.25,0.25,1.0,1.0
20d,bear,cart,combined_weighted_linear_gated,combined_score,3,0.0,0.55,4,4,0.011478642930910575,0.25,0.25,1.0,1.0
20d,bear,cart,combined_weighted_linear_gated,combined_score,3,0.005,0.5,4,4,0.011478642930910575,0.25,0.25,1.0,1.0
20d,bear,cart,combined_weighted_linear_gated,combined_score,3,0.005,0.55,4,4,0.011478642930910575,0.25,0.25,1.0,1.0
20d,bear,cart,combined_weighted_linear_gated,combined_score,3,0.01,0.5,4,4,0.011478642930910575,0.25,0.25,1.0,1.0
20d,bear,cart,combined_weighted_linear_gated,combined_score,3,0.01,0.55,4,4,0.011478642930910575,0.25,0.25,1.0,1.0
20d,bear,cart,combined_weighted_linear_gated,combined_score,3,0.02,0.5,1,1,0.0714285714285714,1.0,1.0,1.0,1.0
20d,bear,cart,combined_weighted_linear_gated,combined_score,3,0.02,0.55,1,1,0.0714285714285714,1.0,1.0,1.0,1.0
20d,bear,cart,combined_weighted_linear_gated,combined_score,5,0.0,0.5,4,4,0.011478642930910575,0.25,0.25,1.0,1.0
20d,bear,cart,combined_weighted_linear_gated,combined_score,5,0.0,0.55,4,4,0.011478642930910575,0.25,0.25,1.0,1.0
20d,bear,cart,combined_weighted_linear_gated,combined_score,5,0.005,0.5,4,4,0.011478642930910575,0.25,0.25,1.0,1.0
20d,bear,cart,combined_weighted_linear_gated,combined_score,5,0.005,0.55,4,4,0.011478642930910575,0.25,0.25,1.0,1.0
20d,bear,cart,combined_weighted_linear_gated,combined_score,5,0.01,0.5,4,4,0.011478642930910575,0.25,0.25,1.0,1.0
20d,bear,cart,combined_weighted_linear_gated,combined_score,5,0.01,0.55,4,4,0.011478642930910575,0.25,0.25,1.0,1.0
20d,bear,cart,combined_weighted_linear_gated,combined_score,5,0.02,0.5,1,1,0.0714285714285714,1.0,1.0,1.0,1.0
20d,bear,cart,combined_weighted_linear_gated,combined_score,5,0.02,0.55,1,1,0.0714285714285714,1.0,1.0,1.0,1.0
20d,bear,cart,predicted_profit_probability,predicted_profit_probability,1,,,12,12,-0.0948796088275557,0.4166666666666667,0.4166666666666667,0.2631578947368421,1.0526315789473686
20d,bear,cart,predicted_profit_probability,predicted_profit_probability,3,,,12,36,-0.02356501232498802,0.5,0.5,0.9473684210526315,1.2631578947368423
20d,bear,cart,predicted_profit_probability,predicted_profit_probability,5,,,12,48,-0.03003807158968505,0.3958333333333333,0.3958333333333333,1.0,1.0
20d,bear,cart,predicted_return,predicted_return,1,,,12,12,0.016650954654305782,0.6666666666666666,0.6666666666666666,0.42105263157894735,1.6842105263157894
20d,bear,cart,predicted_return,predicted_return,3,,,12,36,-0.03588175060386661,0.4444444444444444,0.4444444444444444,0.8421052631578947,1.1228070175438596
20d,bear,cart,predicted_return,predicted_return,5,,,12,48,-0.03003807158968505,0.3958333333333333,0.3958333333333333,1.0,1.0
20d,bear,lightgbm,combined_rank_based,rank_based_joint_score,1,,,12,12,0.016600808696097993,0.5833333333333334,0.5833333333333334,0.3684210526315789,1.473684210526316
20d,bear,lightgbm,combined_rank_based,rank_based_joint_score,3,,,12,36,-0.0025372539921172483,0.5277777777777778,0.5277777777777778,1.0,1.3333333333333335
20d,bear,lightgbm,combined_rank_based,rank_based_joint_score,5,,,12,48,-0.03003807158968505,0.3958333333333333,0.3958333333333333,1.0,1.0
