horizon,regime,model_name,signal_bucket,observations,avg_actual_return,median_actual_return,hit_rate,realized_profit_rate,positive_precision,recall_of_profitable_cases,lift_vs_base_rate
20d,bear,cart,moderate_positive,4,0.011478642930910575,-0.004282423581278099,0.5,0.25,0.25,0.05263157894736842,0.6315789473684211
20d,bear,cart,reject,20,-0.02667539997277782,-0.0295276928304451,0.2,0.2,0.2,0.21052631578947367,0.5052631578947369
20d,bear,cart,strong_or_moderate_positive,4,0.011478642930910575,-0.004282423581278099,0.5,0.25,0.25,0.05263157894736842,0.6315789473684211
20d,bear,cart,strong_positive,0,,,,,,0.0,
20d,bear,cart,weak_or_uncertain,24,-0.039759750357207004,0.01441113758936405,0.625,0.5833333333333334,0.5833333333333334,0.7368421052631579,1.473684210526316
20d,bear,lightgbm,moderate_positive,1,-0.3436341161928307,-0.3436341161928307,0.0,0.0,0.0,0.0,0.0
20d,bear,lightgbm,reject,38,-0.0369015452405288,-0.01948375058311305,0.34210526315789475,0.34210526315789475,0.34210526315789475,0.6842105263157895,0.8642659279778394
20d,bear,lightgbm,strong_or_moderate_positive,2,-0.14476481929044518,-0.14476481929044518,0.5,0.5,0.5,0.05263157894736842,1.2631578947368423
20d,bear,lightgbm,strong_positive,1,0.0541044776119403,0.0541044776119403,1.0,1.0,1.0,0.05263157894736842,2.5263157894736845
20d,bear,lightgbm,weak_or_uncertain,8,0.03124511517701281,0.034515342220898304,0.875,0.625,0.625,0.2631578947368421,1.5789473684210527
20d,bear,xgboost,moderate_positive,1,-0.3436341161928307,-0.3436341161928307,0.0,0.0,0.0,0.0,0.0
20d,bear,xgboost,reject,45,-0.02730652198163909,-0.0060975609756097,0.4222222222222222,0.4,0.4,0.9473684210526315,1.0105263157894737
20d,bear,xgboost,strong_or_moderate_positive,1,-0.3436341161928307,-0.3436341161928307,0.0,0.0,0.0,0.0,0.0
20d,bear,xgboost,strong_positive,0,,,,,,0.0,
20d,bear,xgboost,weak_or_uncertain,2,0.06530008453085374,0.06530008453085374,1.0,0.5,0.5,0.05263157894736842,1.2631578947368423
20d,bull,cart,moderate_positive,11,-0.013349573373180828,0.0041666666666666,0.5454545454545454,0.45454545454545453,0.45454545454545453,0.08196721311475409,0.8345752608047691
20d,bull,cart,reject,40,0.015540499773922061,0.022452729889008,0.6,0.575,0.575,0.3770491803278688,1.0557377049180328
20d,bull,cart,strong_or_moderate_positive,11,-0.013349573373180828,0.0041666666666666,0.5454545454545454,0.45454545454545453,0.45454545454545453,0.08196721311475409,0.8345752608047691
20d,bull,cart,strong_positive,0,,,,,,0.0,
20d,bull,cart,weak_or_uncertain,61,0.0029219795091868354,0.0185950413223139,0.6065573770491803,0.5409836065573771,0.5409836065573771,0.5409836065573771,0.9932813759742006
20d,bull,lightgbm,moderate_positive,0,,,,,,0.0,
20d,bull,lightgbm,reject,78,0.020245175178766523,0.022767254107372847,0.5897435897435898,0.5641025641025641,0.5641025641025641,0.7213114754098361,1.03572929802438
20d,bull,lightgbm,strong_or_moderate_positive,7,-0.07478704522606763,0.065015479876161,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.06557377049180328,1.0491803278688525
20d,bull,lightgbm,strong_positive,7,-0.07478704522606763,0.065015479876161,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.06557377049180328,1.0491803278688525
20d,bull,lightgbm,weak_or_uncertain,27,-0.01491107086848238,0.0041666666666666,0.6296296296296297,0.48148148148148145,0.48148148148148145,0.21311475409836064,0.8840315725561627
20d,bull,xgboost,moderate_positive,6,-0.04060448353071228,0.07040861457364905,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.06557377049180328,1.2240437158469946
20d,bull,xgboost,reject,81,0.01934663185127384,0.022271714922049,0.5925925925925926,0.5679012345679012,0.5679012345679012,0.7540983606557377,1.0427039060918843
20d,bull,xgboost,strong_or_moderate_positive,11,-0.12152952622994614,-0.288252276260271,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.08196721311475409,0.8345752608047691
20d,bull,xgboost,strong_positive,5,-0.21863957746902676,-0.2972197705207413,0.2,0.2,0.2,0.01639344262295082,0.3672131147540984
20d,bull,xgboost,weak_or_uncertain,20,0.02113815212442586,0.005849811676082849,0.7,0.5,0.5,0.16393442622950818,0.918032786885246
20d,sideway,cart,moderate_positive,12,-0.08394766182094367,-0.032120770710298605,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.05405405405405406,0.45045045045045046
20d,sideway,cart,reject,35,-0.03878867745268781,-0.0353817504655494,0.4,0.4,0.4,0.3783783783783784,1.0810810810810811
20d,sideway,cart,strong_or_moderate_positive,12,-0.08394766182094367,-0.032120770710298605,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.05405405405405406,0.45045045045045046
20d,sideway,cart,strong_positive,0,,,,,,0.0,
20d,sideway,cart,weak_or_uncertain,53,-0.05318833164452187,-0.01985559566787,0.4528301886792453,0.39622641509433965,0.39622641509433965,0.5675675675675675,1.0708822029576748
