horizon,regime,model_name,probability_bucket,observations,avg_predicted_probability,realized_profit_rate,calibration_gap
20d,bear,cart,0.50-0.55,0,,,
20d,bear,cart,0.55-0.60,13,0.5829600938670972,0.6923076923076923,0.10934759844059505
20d,bear,cart,0.60-0.65,12,0.604040404040404,0.4166666666666667,-0.18737373737373736
20d,bear,cart,0.65+,0,,,
20d,bear,cart,lt_0.50,23,0.10118249146103638,0.21739130434782608,0.1162088128867897
20d,bear,lightgbm,0.50-0.55,0,,,
20d,bear,lightgbm,0.55-0.60,1,0.5588802073782208,1.0,0.44111979262177925
20d,bear,lightgbm,0.60-0.65,1,0.6277210992320132,0.0,-0.6277210992320132
20d,bear,lightgbm,0.65+,1,0.6552407213223898,1.0,0.34475927867761025
20d,bear,lightgbm,lt_0.50,45,0.12681142834365255,0.37777777777777777,0.2509663494341252
20d,bear,xgboost,0.50-0.55,0,,,
20d,bear,xgboost,0.55-0.60,0,,,
20d,bear,xgboost,0.60-0.65,1,0.6372787952423096,0.0,-0.6372787952423096
20d,bear,xgboost,0.65+,0,,,
20d,bear,xgboost,lt_0.50,47,0.1657451669031635,0.40425531914893614,0.23851015224577266
20d,bull,cart,0.50-0.55,0,,,
20d,bull,cart,0.55-0.60,24,0.588691159586682,0.5416666666666666,-0.047024492920015315
20d,bull,cart,0.60-0.65,18,0.604040404040404,0.4444444444444444,-0.15959595959595962
20d,bull,cart,0.65+,0,,,
20d,bull,cart,lt_0.50,70,0.0943880365717193,0.5714285714285714,0.4770405348568521
20d,bull,lightgbm,0.50-0.55,4,0.5346302057373269,0.25,-0.2846302057373269
20d,bull,lightgbm,0.55-0.60,0,,,
20d,bull,lightgbm,0.60-0.65,1,0.6296413351005502,1.0,0.3703586648994498
20d,bull,lightgbm,0.65+,13,0.7704651524043776,0.38461538461538464,-0.385849767788993
20d,bull,lightgbm,lt_0.50,94,0.1273761475964222,0.574468085106383,0.4470919375099608
20d,bull,xgboost,0.50-0.55,2,0.5084947943687439,0.5,-0.008494794368743896
20d,bull,xgboost,0.55-0.60,3,0.5644230643908182,1.0,0.43557693560918176
20d,bull,xgboost,0.60-0.65,4,0.633121982216835,0.5,-0.13312198221683502
20d,bull,xgboost,0.65+,11,0.7380806532773104,0.2727272727272727,-0.4653533805500377
20d,bull,xgboost,lt_0.50,92,0.17766903458244127,0.5652173913043478,0.3875483567219065
20d,sideway,cart,0.50-0.55,0,,,
20d,sideway,cart,0.55-0.60,28,0.5853229925724595,0.5714285714285714,-0.013894421143888058
20d,sideway,cart,0.60-0.65,22,0.604040404040404,0.22727272727272727,-0.37676767676767675
20d,sideway,cart,0.65+,0,,,
20d,sideway,cart,lt_0.50,50,0.0902410947564477,0.32,0.2297589052435523
20d,sideway,lightgbm,0.50-0.55,0,,,
20d,sideway,lightgbm,0.55-0.60,1,0.5915813387471038,1.0,0.40841866125289616
20d,sideway,lightgbm,0.60-0.65,0,,,
20d,sideway,lightgbm,0.65+,7,0.8061226161295478,0.14285714285714285,-0.663265473272405
20d,sideway,lightgbm,lt_0.50,92,0.12993613580825686,0.3804347826086957,0.2504986468004388
20d,sideway,xgboost,0.50-0.55,1,0.5326628088951111,0.0,-0.5326628088951111
20d,sideway,xgboost,0.55-0.60,1,0.5762803554534912,1.0,0.4237196445465088
20d,sideway,xgboost,0.60-0.65,6,0.6144947508970896,0.6666666666666666,0.052171915769577026
20d,sideway,xgboost,0.65+,5,0.7652570962905884,0.0,-0.7652570962905884
20d,sideway,xgboost,lt_0.50,87,0.17775129653170876,0.367816091954023,0.19006479542231422
