symbol,asset_type,chunk_start,chunk_end,chunk_level,retry_attempt,package,package_version,provider,source,function_used,returned_rows,standardized_rows,returned_columns,first_timestamp,last_timestamp,success,exception_type,exception_message
ACB,stock,2005-01-01,2005-01-07,required_start_probe,1,vnstock,3.5.0,vnstock,VCI,Quote.history(interval=1H),0,0,,,,false,TimeoutError,provider call exceeded 5.0 seconds
ACB,stock,2005-01-01,2005-01-07,required_start_probe,1,vnstock,3.5.0,vnstock,KBS,Quote.history(interval=1H),0,0,,,,false,TimeoutError,provider call exceeded 5.0 seconds
ACB,stock,2005-01-01,2005-01-07,required_start_probe,1,vnstock,3.5.0,vnstock,VND,Quote.history(interval=1H),0,0,,,,false,ValueError,"Lớp Quote chỉ nhận giá trị tham số source là kbs, vci, msn, dnse, binance, fmp, fmarket."
ACB,stock,2005-01-01,2005-01-07,required_start_probe,1,vnstock,3.5.0,vnstock,MAS,Quote.history(interval=1H),0,0,,,,false,ValueError,"Lớp Quote chỉ nhận giá trị tham số source là kbs, vci, msn, dnse, binance, fmp, fmarket."
ACB,stock,2005-01-01,2005-01-07,required_start_probe,1,vnstock,3.5.0,vnstock,VCI,Vnstock.stock.quote.history(interval=1H),0,0,,,,false,KeyError,'data'
ACB,stock,2005-01-01,2005-01-07,required_start_probe,1,vnstock,3.5.0,vnstock,KBS,Vnstock.stock.quote.history(interval=1H),0,0,,,,false,TimeoutError,provider call exceeded 5.0 seconds
ACB,stock,2005-01-01,2005-01-07,required_start_probe,1,vnstock,3.5.0,vnstock,VND,Vnstock.stock.quote.history(interval=1H),0,0,,,,false,ValueError,"Supported sources: KBS, VCI, MSN, FMP. Got: VND"
ACB,stock,2005-01-01,2005-01-07,required_start_probe,1,vnstock,3.5.0,vnstock,MAS,Vnstock.stock.quote.history(interval=1H),0,0,,,,false,ValueError,"Supported sources: KBS, VCI, MSN, FMP. Got: MAS"
BID,stock,2005-01-01,2005-01-07,required_start_probe,1,vnstock,3.5.0,vnstock,VCI,Quote.history(interval=1H),0,0,,,,false,TimeoutError,provider call exceeded 5.0 seconds
BID,stock,2005-01-01,2005-01-07,required_start_probe,1,vnstock,3.5.0,vnstock,KBS,Quote.history(interval=1H),0,0,,,,false,TimeoutError,provider call exceeded 5.0 seconds
BID,stock,2005-01-01,2005-01-07,required_start_probe,1,vnstock,3.5.0,vnstock,VND,Quote.history(interval=1H),0,0,,,,false,ValueError,"Lớp Quote chỉ nhận giá trị tham số source là kbs, vci, msn, dnse, binance, fmp, fmarket."
BID,stock,2005-01-01,2005-01-07,required_start_probe,1,vnstock,3.5.0,vnstock,MAS,Quote.history(interval=1H),0,0,,,,false,ValueError,"Lớp Quote chỉ nhận giá trị tham số source là kbs, vci, msn, dnse, binance, fmp, fmarket."
BID,stock,2005-01-01,2005-01-07,required_start_probe,1,vnstock,3.5.0,vnstock,VCI,Vnstock.stock.quote.history(interval=1H),0,0,,,,false,KeyError,'data'
BID,stock,2005-01-01,2005-01-07,required_start_probe,1,vnstock,3.5.0,vnstock,KBS,Vnstock.stock.quote.history(interval=1H),0,0,,,,false,TimeoutError,provider call exceeded 5.0 seconds
BID,stock,2005-01-01,2005-01-07,required_start_probe,1,vnstock,3.5.0,vnstock,VND,Vnstock.stock.quote.history(interval=1H),0,0,,,,false,ValueError,"Supported sources: KBS, VCI, MSN, FMP. Got: VND"
BID,stock,2005-01-01,2005-01-07,required_start_probe,1,vnstock,3.5.0,vnstock,MAS,Vnstock.stock.quote.history(interval=1H),0,0,,,,false,ValueError,"Supported sources: KBS, VCI, MSN, FMP. Got: MAS"
CTG,stock,2005-01-01,2005-01-07,required_start_probe,1,vnstock,3.5.0,vnstock,VCI,Quote.history(interval=1H),0,0,,,,false,TimeoutError,provider call exceeded 5.0 seconds
CTG,stock,2005-01-01,2005-01-07,required_start_probe,1,vnstock,3.5.0,vnstock,KBS,Quote.history(interval=1H),0,0,,,,false,TimeoutError,provider call exceeded 5.0 seconds
CTG,stock,2005-01-01,2005-01-07,required_start_probe,1,vnstock,3.5.0,vnstock,VND,Quote.history(interval=1H),0,0,,,,false,ValueError,"Lớp Quote chỉ nhận giá trị tham số source là kbs, vci, msn, dnse, binance, fmp, fmarket."
CTG,stock,2005-01-01,2005-01-07,required_start_probe,1,vnstock,3.5.0,vnstock,MAS,Quote.history(interval=1H),0,0,,,,false,ValueError,"Lớp Quote chỉ nhận giá trị tham số source là kbs, vci, msn, dnse, binance, fmp, fmarket."
CTG,stock,2005-01-01,2005-01-07,required_start_probe,1,vnstock,3.5.0,vnstock,VCI,Vnstock.stock.quote.history(interval=1H),0,0,,,,false,KeyError,'data'
CTG,stock,2005-01-01,2005-01-07,required_start_probe,1,vnstock,3.5.0,vnstock,KBS,Vnstock.stock.quote.history(interval=1H),0,0,,,,false,TimeoutError,provider call exceeded 5.0 seconds
CTG,stock,2005-01-01,2005-01-07,required_start_probe,1,vnstock,3.5.0,vnstock,VND,Vnstock.stock.quote.history(interval=1H),0,0,,,,false,ValueError,"Supported sources: KBS, VCI, MSN, FMP. Got: VND"
CTG,stock,2005-01-01,2005-01-07,required_start_probe,1,vnstock,3.5.0,vnstock,MAS,Vnstock.stock.quote.history(interval=1H),0,0,,,,false,ValueError,"Supported sources: KBS, VCI, MSN, FMP. Got: MAS"
DGC,stock,2005-01-01,2005-01-07,required_start_probe,1,vnstock,3.5.0,vnstock,VCI,Quote.history(interval=1H),0,0,,,,false,TimeoutError,provider call exceeded 5.0 seconds
DGC,stock,2005-01-01,2005-01-07,required_start_probe,1,vnstock,3.5.0,vnstock,KBS,Quote.history(interval=1H),0,0,,,,false,TimeoutError,provider call exceeded 5.0 seconds
DGC,stock,2005-01-01,2005-01-07,required_start_probe,1,vnstock,3.5.0,vnstock,VND,Quote.history(interval=1H),0,0,,,,false,ValueError,"Lớp Quote chỉ nhận giá trị tham số source là kbs, vci, msn, dnse, binance, fmp, fmarket."
DGC,stock,2005-01-01,2005-01-07,required_start_probe,1,vnstock,3.5.0,vnstock,MAS,Quote.history(interval=1H),0,0,,,,false,ValueError,"Lớp Quote chỉ nhận giá trị tham số source là kbs, vci, msn, dnse, binance, fmp, fmarket."
DGC,stock,2005-01-01,2005-01-07,required_start_probe,1,vnstock,3.5.0,vnstock,VCI,Vnstock.stock.quote.history(interval=1H),0,0,,,,false,KeyError,'data'
DGC,stock,2005-01-01,2005-01-07,required_start_probe,1,vnstock,3.5.0,vnstock,KBS,Vnstock.stock.quote.history(interval=1H),0,0,,,,false,TimeoutError,provider call exceeded 5.0 seconds
DGC,stock,2005-01-01,2005-01-07,required_start_probe,1,vnstock,3.5.0,vnstock,VND,Vnstock.stock.quote.history(interval=1H),0,0,,,,false,ValueError,"Supported sources: KBS, VCI, MSN, FMP. Got: VND"
DGC,stock,2005-01-01,2005-01-07,required_start_probe,1,vnstock,3.5.0,vnstock,MAS,Vnstock.stock.quote.history(interval=1H),0,0,,,,false,ValueError,"Supported sources: KBS, VCI, MSN, FMP. Got: MAS"
FPT,stock,2005-01-01,2005-01-07,required_start_probe,1,vnstock,3.5.0,vnstock,VCI,Quote.history(interval=1H),0,0,,,,false,TimeoutError,provider call exceeded 5.0 seconds
FPT,stock,2005-01-01,2005-01-07,required_start_probe,1,vnstock,3.5.0,vnstock,KBS,Quote.history(interval=1H),0,0,,,,false,TimeoutError,provider call exceeded 5.0 seconds
FPT,stock,2005-01-01,2005-01-07,required_start_probe,1,vnstock,3.5.0,vnstock,VND,Quote.history(interval=1H),0,0,,,,false,ValueError,"Lớp Quote chỉ nhận giá trị tham số source là kbs, vci, msn, dnse, binance, fmp, fmarket."
FPT,stock,2005-01-01,2005-01-07,required_start_probe,1,vnstock,3.5.0,vnstock,MAS,Quote.history(interval=1H),0,0,,,,false,ValueError,"Lớp Quote chỉ nhận giá trị tham số source là kbs, vci, msn, dnse, binance, fmp, fmarket."
FPT,stock,2005-01-01,2005-01-07,required_start_probe,1,vnstock,3.5.0,vnstock,VCI,Vnstock.stock.quote.history(interval=1H),0,0,,,,false,KeyError,'data'
FPT,stock,2005-01-01,2005-01-07,required_start_probe,1,vnstock,3.5.0,vnstock,KBS,Vnstock.stock.quote.history(interval=1H),0,0,,,,false,TimeoutError,provider call exceeded 5.0 seconds
FPT,stock,2005-01-01,2005-01-07,required_start_probe,1,vnstock,3.5.0,vnstock,VND,Vnstock.stock.quote.history(interval=1H),0,0,,,,false,ValueError,"Supported sources: KBS, VCI, MSN, FMP. Got: VND"
FPT,stock,2005-01-01,2005-01-07,required_start_probe,1,vnstock,3.5.0,vnstock,MAS,Vnstock.stock.quote.history(interval=1H),0,0,,,,false,ValueError,"Supported sources: KBS, VCI, MSN, FMP. Got: MAS"
GAS,stock,2005-01-01,2005-01-07,required_start_probe,1,vnstock,3.5.0,vnstock,VCI,Quote.history(interval=1H),0,0,,,,false,TimeoutError,provider call exceeded 5.0 seconds
