symbol,asset_type,chunk_start,chunk_end,chunk_level,failure_reason
ACB,stock,2005-01-01,2005-01-07,required_start_probe,"required_start_probe_failed: Supported sources: KBS, VCI, MSN, FMP. Got: MAS"
BID,stock,2005-01-01,2005-01-07,required_start_probe,"required_start_probe_failed: Supported sources: KBS, VCI, MSN, FMP. Got: MAS"
CTG,stock,2005-01-01,2005-01-07,required_start_probe,"required_start_probe_failed: Supported sources: KBS, VCI, MSN, FMP. Got: MAS"
DGC,stock,2005-01-01,2005-01-07,required_start_probe,"required_start_probe_failed: Supported sources: KBS, VCI, MSN, FMP. Got: MAS"
FPT,stock,2005-01-01,2005-01-07,required_start_probe,"required_start_probe_failed: Supported sources: KBS, VCI, MSN, FMP. Got: MAS"
GAS,stock,2005-01-01,2005-01-07,required_start_probe,"required_start_probe_failed: Supported sources: KBS, VCI, MSN, FMP. Got: MAS"
GVR,stock,2005-01-01,2005-01-07,required_start_probe,"required_start_probe_failed: Supported sources: KBS, VCI, MSN, FMP. Got: MAS"
HDB,stock,2005-01-01,2005-01-07,required_start_probe,"required_start_probe_failed: Supported sources: KBS, VCI, MSN, FMP. Got: MAS"
HPG,stock,2005-01-01,2005-01-07,required_start_probe,"required_start_probe_failed: Supported sources: KBS, VCI, MSN, FMP. Got: MAS"
LPB,stock,2005-01-01,2005-01-07,required_start_probe,"required_start_probe_failed: Supported sources: KBS, VCI, MSN, FMP. Got: MAS"
MBB,stock,2005-01-01,2005-01-07,required_start_probe,"required_start_probe_failed: Supported sources: KBS, VCI, MSN, FMP. Got: MAS"
MSN,stock,2005-01-01,2005-01-07,required_start_probe,"required_start_probe_failed: Supported sources: KBS, VCI, MSN, FMP. Got: MAS"
MWG,stock,2005-01-01,2005-01-07,required_start_probe,"required_start_probe_failed: Supported sources: KBS, VCI, MSN, FMP. Got: MAS"
PLX,stock,2005-01-01,2005-01-07,required_start_probe,"required_start_probe_failed: Supported sources: KBS, VCI, MSN, FMP. Got: MAS"
SAB,stock,2005-01-01,2005-01-07,required_start_probe,"required_start_probe_failed: Supported sources: KBS, VCI, MSN, FMP. Got: MAS"
SHB,stock,2005-01-01,2005-01-07,required_start_probe,"required_start_probe_failed: Supported sources: KBS, VCI, MSN, FMP. Got: MAS"
SSB,stock,2005-01-01,2005-01-07,required_start_probe,"required_start_probe_failed: Supported sources: KBS, VCI, MSN, FMP. Got: MAS"
SSI,stock,2005-01-01,2005-01-07,required_start_probe,"required_start_probe_failed: Supported sources: KBS, VCI, MSN, FMP. Got: MAS"
STB,stock,2005-01-01,2005-01-07,required_start_probe,"required_start_probe_failed: Supported sources: KBS, VCI, MSN, FMP. Got: MAS"
TCB,stock,2005-01-01,2005-01-07,required_start_probe,"required_start_probe_failed: Supported sources: KBS, VCI, MSN, FMP. Got: MAS"
TPB,stock,2005-01-01,2005-01-07,required_start_probe,"required_start_probe_failed: Supported sources: KBS, VCI, MSN, FMP. Got: MAS"
VCB,stock,2005-01-01,2005-01-07,required_start_probe,"required_start_probe_failed: Supported sources: KBS, VCI, MSN, FMP. Got: MAS"
VHM,stock,2005-01-01,2005-01-07,required_start_probe,"required_start_probe_failed: Supported sources: KBS, VCI, MSN, FMP. Got: MAS"
VIB,stock,2005-01-01,2005-01-07,required_start_probe,"required_start_probe_failed: Supported sources: KBS, VCI, MSN, FMP. Got: MAS"
VIC,stock,2005-01-01,2005-01-07,required_start_probe,"required_start_probe_failed: Supported sources: KBS, VCI, MSN, FMP. Got: MAS"
VJC,stock,2005-01-01,2005-01-07,required_start_probe,"required_start_probe_failed: Supported sources: KBS, VCI, MSN, FMP. Got: MAS"
VNM,stock,2005-01-01,2005-01-07,required_start_probe,"required_start_probe_failed: Supported sources: KBS, VCI, MSN, FMP. Got: MAS"
VPB,stock,2005-01-01,2005-01-07,required_start_probe,"required_start_probe_failed: Supported sources: KBS, VCI, MSN, FMP. Got: MAS"
VPL,stock,2005-01-01,2005-01-07,required_start_probe,"required_start_probe_failed: Supported sources: KBS, VCI, MSN, FMP. Got: MAS"
VRE,stock,2005-01-01,2005-01-07,required_start_probe,"required_start_probe_failed: Supported sources: KBS, VCI, MSN, FMP. Got: MAS"
VNINDEX,index,2005-01-01,2005-01-07,required_start_probe,"required_start_probe_failed: Supported sources: KBS, VCI, MSN, FMP. Got: MAS"
VN30INDEX,index,2012-02-06,2012-02-12,required_start_probe,"required_start_probe_failed: Supported sources: KBS, VCI, MSN, FMP. Got: MAS"
VNXALL,index,2016-10-24,2016-10-30,required_start_probe,"required_start_probe_failed: Supported sources: KBS, VCI, MSN, FMP. Got: MAS"
