horizon,ticker,model_name,strategy_type,threshold,prediction_date,entry_date,exit_date,target_date,trade_id,predicted_return,actual_forward_return,entry_price,exit_price,gross_trade_return,net_trade_return,holding_sessions,round_trip_cost_bps,entry_index,exit_index
5d,ACB,buy_and_hold,benchmark,,2026-01-05,2026-01-05,2026-04-10,2026-04-10,5d_ACB_buy_and_hold,,,24.0,23.85,-0.006249999999999978,-0.013181988041853554,65,70.0,0,64
5d,ACB,cart,model,0.0,2026-01-05,2026-01-06,2026-01-12,2026-01-12,5d_ACB_cart_0.0000_1,0.004756724872222,0.0625,24.05,25.5,0.06029106029106024,0.05289490939715158,5,70.0,1,5
5d,ACB,cart,model,0.0,2026-01-12,2026-01-13,2026-01-19,2026-01-19,5d_ACB_cart_0.0000_6,0.004756724872222,-0.0156862745098038,25.7,25.1,-0.023346303501945442,-0.030159034817826225,5,70.0,6,10
5d,ACB,cart,model,0.0,2026-01-19,2026-01-20,2026-01-26,2026-01-26,5d_ACB_cart_0.0000_11,0.004756724872222,-0.0119521912350597,25.1,24.8,-0.01195219123505975,-0.01884440315469571,5,70.0,11,15
5d,ACB,cart,model,0.0,2026-01-26,2026-01-27,2026-02-02,2026-02-02,5d_ACB_cart_0.0000_16,0.004756724872222,-0.0423387096774193,24.6,23.75,-0.03455284552845539,-0.041287404652821214,5,70.0,16,20
5d,ACB,cart,model,0.0,2026-02-02,2026-02-03,2026-02-09,2026-02-09,5d_ACB_cart_0.0000_21,0.004756724872222,-0.0336842105263158,23.8,22.95,-0.03571428571428581,-0.04244074311338886,5,70.0,21,25
5d,ACB,cart,model,0.0,2026-02-09,2026-02-10,2026-02-23,2026-02-23,5d_ACB_cart_0.0000_26,0.004756724872222,0.0479302832244008,23.1,24.05,0.04112554112554112,0.03386308094828272,5,70.0,26,30
5d,ACB,cart,model,0.0,2026-02-23,2026-02-24,2026-03-02,2026-03-02,5d_ACB_cart_0.0000_31,0.004756724872222,-0.0041580041580042,24.1,23.95,-0.006224066390041583,-0.013156235334007116,5,70.0,31,35
5d,ACB,cart,model,0.0,2026-03-02,2026-03-03,2026-03-09,2026-03-09,5d_ACB_cart_0.0000_36,0.004756724872222,-0.0939457202505219,23.95,21.7,-0.09394572025052195,-0.1002659793020878,5,70.0,36,40
5d,ACB,cart,model,0.0,2026-03-10,2026-03-11,2026-03-17,2026-03-17,5d_ACB_cart_0.0000_42,0.004756724872222,0.0259179265658748,23.05,23.75,0.030368763557483636,0.023181338201327728,5,70.0,42,46
5d,ACB,cart,model,0.0,2026-03-17,2026-03-18,2026-03-24,2026-03-24,5d_ACB_cart_0.0000_47,0.004756724872222,-0.0273684210526314,23.75,23.1,-0.027368421052631486,-0.03415309574384384,5,70.0,47,51
5d,ACB,cart,model,0.0,2026-03-30,2026-03-31,2026-04-06,2026-04-06,5d_ACB_cart_0.0000_56,0.004756724872222,-0.0210526315789473,23.65,23.25,-0.016913319238900604,-0.023770924386212644,5,70.0,56,60
5d,ACB,lightgbm,model,0.0,2026-01-05,2026-01-06,2026-01-12,2026-01-12,5d_ACB_lightgbm_0.0000_1,0.0001203152740453,0.0625,24.05,25.5,0.06029106029106024,0.05289490939715158,5,70.0,1,5
5d,ACB,lightgbm,model,0.0,2026-02-03,2026-02-04,2026-02-10,2026-02-10,5d_ACB_lightgbm_0.0000_22,7.438317733068838e-05,-0.0295358649789029,23.7,23.0,-0.029535864978902926,-0.036305420479797346,5,70.0,22,26
5d,ACB,momentum_continuation,benchmark,0.0,2026-01-06,2026-01-07,2026-01-13,2026-01-13,5d_ACB_momentum_continuation_0.0000_4,0.0041841004184099,0.0374999999999998,24.2,24.9,0.02892561983471076,0.021748261250911227,5,70.0,2,6
5d,ACB,momentum_continuation,benchmark,0.0,2026-01-13,2026-01-14,2026-01-20,2026-01-20,5d_ACB_momentum_continuation_0.0000_19,0.0374999999999998,0.0060240963855422,25.0,25.05,0.0020000000000000018,-0.004989536621823776,5,70.0,7,11
5d,ACB,momentum_continuation,benchmark,0.0,2026-01-20,2026-01-21,2026-01-27,2026-01-27,5d_ACB_momentum_continuation_0.0000_34,0.0060240963855422,-0.0139720558882235,25.0,24.7,-0.01200000000000001,-0.018891878425510766,5,70.0,12,16
5d,ACB,momentum_continuation,benchmark,0.0,2026-02-11,2026-02-12,2026-02-25,2026-02-25,5d_ACB_momentum_continuation_0.0000_82,0.0021186440677964,0.0338266384778012,23.65,24.45,0.03382663847780121,0.026615092419660202,5,70.0,28,32
5d,ACB,momentum_continuation,benchmark,0.0,2026-02-25,2026-02-26,2026-03-04,2026-03-04,5d_ACB_momentum_continuation_0.0000_97,0.0338266384778012,-0.0511247443762781,24.5,23.2,-0.053061224489796,-0.05966667683515858,5,70.0,33,37
5d,ACB,momentum_continuation,benchmark,0.0,2026-03-13,2026-03-16,2026-03-20,2026-03-20,5d_ACB_momentum_continuation_0.0000_133,0.0064377682403433,-0.0191897654584221,23.4,23.0,-0.017094017094017033,-0.023950361767999695,5,70.0,45,49
5d,ACB,momentum_continuation,benchmark,0.0,2026-03-25,2026-03-26,2026-04-01,2026-04-01,5d_ACB_momentum_continuation_0.0000_157,0.0021052631578948,0.0,23.7,23.8,0.0042194092827005925,-0.0027856090182249993,5,70.0,53,57
5d,ACB,momentum_continuation,benchmark,0.005,2026-01-07,2026-01-08,2026-01-14,2026-01-14,5d_ACB_momentum_continuation_0.0050_7,0.0270833333333333,0.0,24.75,24.65,-0.004040404040404066,-0.010987805307685616,5,70.0,3,7
5d,ACB,momentum_continuation,benchmark,0.005,2026-01-15,2026-01-16,2026-01-22,2026-01-22,5d_ACB_momentum_continuation_0.0050_25,0.0142566191446027,-0.0020080321285139,25.0,24.85,-0.005999999999999894,-0.012933731938216342,5,70.0,9,13
5d,ACB,momentum_continuation,benchmark,0.005,2026-01-23,2026-01-26,2026-01-30,2026-01-30,5d_ACB_momentum_continuation_0.0050_43,0.0080482897384306,-0.0379241516966067,25.05,24.1,-0.03792415169660679,-0.044635193986715116,5,70.0,15,19
5d,ACB,momentum_continuation,benchmark,0.005,2026-02-12,2026-02-13,2026-02-26,2026-02-26,5d_ACB_momentum_continuation_0.0050_85,0.0170575692963752,0.0251572327044025,23.85,24.45,0.02515723270440251,0.01800616082704254,5,70.0,29,33
5d,ACB,momentum_continuation,benchmark,0.005,2026-02-26,2026-02-27,2026-03-05,2026-03-05,5d_ACB_momentum_continuation_0.0050_100,0.0251572327044025,-0.0368098159509201,24.45,23.55,-0.036809815950920144,-0.04352863138524343,5,70.0,34,38
5d,ACB,momentum_continuation,benchmark,0.005,2026-03-13,2026-03-16,2026-03-20,2026-03-20,5d_ACB_momentum_continuation_0.0050_133,0.0064377682403433,-0.0191897654584221,23.4,23.0,-0.017094017094017033,-0.023950361767999695,5,70.0,45,49
