horizon,ticker,model_name,strategy_type,threshold,total_return,annualized_return,sharpe_ratio,sortino_ratio,max_drawdown,win_rate,profit_factor,number_of_trades,average_trade_return,exposure_ratio,turnover,positive_net_return_after_costs,beats_buy_and_hold,beats_naive_flat_strategy
5d,PORTFOLIO_EQUAL_WEIGHT,buy_and_hold,benchmark,,-0.05973303976504418,-0.21241603344141236,-0.5978769939651716,-0.9391532568693348,-0.18445050433676013,0.25,0.1712077377116168,4,-0.06439273849571892,1.0,2.0,False,False,False
5d,PORTFOLIO_EQUAL_WEIGHT,cart,model,0.0,-0.14841309720309737,-0.4635823031315651,-3.5677358564159234,-4.193503348225312,-0.16543225684923124,0.25,0.33002144329470257,24,-0.024799463549900046,0.46153846153846156,8.0,False,False,False
5d,PORTFOLIO_EQUAL_WEIGHT,cart,model,0.005,-0.08423108528094414,-0.28903722161840495,-2.6115910390001127,-3.7881449448686713,-0.09506503000737043,0.38461538461538464,0.4171379181033725,13,-0.02414972380380776,0.25,0.0,False,False,False
5d,PORTFOLIO_EQUAL_WEIGHT,cart,model,0.01,-0.08423108528094414,-0.28903722161840495,-2.6115910390001127,-3.7881449448686713,-0.09506503000737043,0.38461538461538464,0.4171379181033725,13,-0.02414972380380776,0.25,0.0,False,False,False
5d,PORTFOLIO_EQUAL_WEIGHT,cart,model,0.02,-0.09187385593063957,-0.3117662680069545,-4.097571594421237,-4.573386326236289,-0.09987884039395012,0.4,0.25554600302446245,10,-0.03484716377875343,0.19230769230769232,0.0,False,False,False
5d,PORTFOLIO_EQUAL_WEIGHT,lightgbm,model,0.0,-0.10699655855423418,-0.3551460335359037,-2.1594115202590074,-2.7370673174773192,-0.1584136395855854,0.4583333333333333,0.4236341443275669,24,-0.018246929232941304,0.46153846153846156,6.0,False,False,False
5d,PORTFOLIO_EQUAL_WEIGHT,lightgbm,model,0.005,-0.045360435720797176,-0.16470666021399294,-0.789791474839109,-1.0736089007140892,-0.1065558714114998,0.47619047619047616,0.676751024621826,21,-0.00860197355004871,0.40384615384615385,4.0,False,True,False
5d,PORTFOLIO_EQUAL_WEIGHT,lightgbm,model,0.01,-0.07053175998627392,-0.24690838653451808,-1.5094783390165465,-1.8925343480541352,-0.12330737278721016,0.35294117647058826,0.48967884080247004,17,-0.016775477655656006,0.3269230769230769,2.0,False,False,False
5d,PORTFOLIO_EQUAL_WEIGHT,lightgbm,model,0.02,-0.07597899064876135,-0.26387569694286006,-2.1197422903387886,-2.6384594073564,-0.11340497417476958,0.42857142857142855,0.3290165355263484,14,-0.021871161476529764,0.2692307692307692,2.0,False,False,False
5d,PORTFOLIO_EQUAL_WEIGHT,momentum_continuation,benchmark,0.0,-0.10033650871171662,-0.33629961689484733,-2.218333315446029,-3.3472757736865617,-0.1437692183757192,0.38235294117647056,0.47954108256082256,34,-0.012209965390061988,0.6538461538461539,10.0,False,False,False
5d,PORTFOLIO_EQUAL_WEIGHT,momentum_continuation,benchmark,0.005,-0.16558137902412384,-0.5043081640771503,-3.791573877769609,-6.317860998993607,-0.1759122194477617,0.34375,0.28807560642007146,32,-0.022034314154367237,0.6153846153846154,14.0,False,False,False
5d,PORTFOLIO_EQUAL_WEIGHT,momentum_continuation,benchmark,0.01,-0.13978437781907627,-0.4422011290949319,-3.438427132878242,-5.205421754907215,-0.14767502677340094,0.32,0.26442455597871406,25,-0.023524831527515753,0.4807692307692308,10.0,False,False,False
5d,PORTFOLIO_EQUAL_WEIGHT,momentum_continuation,benchmark,0.02,-0.14352680057779132,-0.451550693248964,-3.5070508332984995,-4.998155812431343,-0.15292956399023294,0.3333333333333333,0.2803263740268678,24,-0.025077748839305147,0.46153846153846156,8.0,False,False,False
5d,PORTFOLIO_EQUAL_WEIGHT,naive_flat_strategy,benchmark,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,False,False,False
5d,PORTFOLIO_EQUAL_WEIGHT,xgboost,model,0.0,-0.13424068245647636,-0.4281348116670294,-2.4648067048948663,-3.316063955105728,-0.19695749681678798,0.34615384615384615,0.3933868538710893,26,-0.020697621238071826,0.5,8.0,False,False,False
5d,PORTFOLIO_EQUAL_WEIGHT,xgboost,model,0.005,-0.12880939231530342,-0.4141001004827056,-2.82930792847112,-3.9026674121802842,-0.17510480189568478,0.3,0.3118483941308214,20,-0.025820498415484915,0.38461538461538464,4.0,False,False,False
5d,PORTFOLIO_EQUAL_WEIGHT,xgboost,model,0.01,-0.11190497177158121,-0.3687793344437328,-2.670303989546234,-3.7357402158735993,-0.15909868887030276,0.3333333333333333,0.38204353605897845,18,-0.02424108094917711,0.34615384615384615,6.0,False,False,False
5d,PORTFOLIO_EQUAL_WEIGHT,xgboost,model,0.02,-0.05253552172460829,-0.18878437282647786,-1.327606218030024,-1.8999116454225853,-0.12286697003943547,0.375,0.6579682147163943,16,-0.01134629213218815,0.3076923076923077,4.0,False,True,False
