horizon,regime,model_name,probability_bucket,observations,avg_predicted_probability,realized_profit_rate,calibration_gap
5d,bear,cart,0.50-0.55,0,,,
5d,bear,cart,0.55-0.60,0,,,
5d,bear,cart,0.60-0.65,0,,,
5d,bear,cart,0.65+,10,1.0,0.4,-0.6
5d,bear,cart,lt_0.50,6,0.0,0.8333333333333334,0.8333333333333334
5d,bear,lightgbm,0.50-0.55,0,,,
5d,bear,lightgbm,0.55-0.60,2,0.5659315857429995,1.0,0.4340684142570005
5d,bear,lightgbm,0.60-0.65,0,,,
5d,bear,lightgbm,0.65+,12,0.888301401711202,0.5,-0.388301401711202
5d,bear,lightgbm,lt_0.50,2,0.4532859239325468,0.5,0.0467140760674532
5d,bear,xgboost,0.50-0.55,1,0.5208548307418823,0.0,-0.5208548307418823
5d,bear,xgboost,0.55-0.60,2,0.5860454142093658,1.0,0.41395458579063416
5d,bear,xgboost,0.60-0.65,1,0.6298734545707703,0.0,-0.6298734545707703
5d,bear,xgboost,0.65+,10,0.839107745885849,0.5,-0.339107745885849
5d,bear,xgboost,lt_0.50,2,0.481452077627182,1.0,0.518547922372818
5d,bull,cart,0.50-0.55,0,,,
5d,bull,cart,0.55-0.60,0,,,
5d,bull,cart,0.60-0.65,0,,,
5d,bull,cart,0.65+,20,1.0,0.2,-0.8
5d,bull,cart,lt_0.50,20,0.0,0.25,0.25
5d,bull,lightgbm,0.50-0.55,3,0.5301529623542411,0.3333333333333333,-0.19681962902090783
5d,bull,lightgbm,0.55-0.60,1,0.5671150063168846,1.0,0.4328849936831154
5d,bull,lightgbm,0.60-0.65,3,0.6398489769759041,0.0,-0.6398489769759041
5d,bull,lightgbm,0.65+,24,0.8662317050292194,0.20833333333333334,-0.657898371695886
5d,bull,lightgbm,lt_0.50,9,0.08412415549229402,0.2222222222222222,0.1380980667299282
5d,bull,xgboost,0.50-0.55,1,0.5309033393859863,1.0,0.46909666061401367
5d,bull,xgboost,0.55-0.60,2,0.5815517604351044,1.0,0.41844823956489563
5d,bull,xgboost,0.60-0.65,6,0.6307696104049683,0.0,-0.6307696104049683
5d,bull,xgboost,0.65+,22,0.8173305067149076,0.18181818181818182,-0.6355123248967258
5d,bull,xgboost,lt_0.50,9,0.19927600377963645,0.2222222222222222,0.022946218442585764
5d,sideway,cart,0.50-0.55,0,,,
5d,sideway,cart,0.55-0.60,0,,,
5d,sideway,cart,0.60-0.65,0,,,
5d,sideway,cart,0.65+,62,1.0,0.5967741935483871,-0.4032258064516129
5d,sideway,cart,lt_0.50,30,0.0,0.6666666666666666,0.6666666666666666
5d,sideway,lightgbm,0.50-0.55,5,0.5199520268399171,0.4,-0.11995202683991713
5d,sideway,lightgbm,0.55-0.60,4,0.5851328872257128,0.25,-0.33513288722571277
5d,sideway,lightgbm,0.60-0.65,3,0.6184838677343518,0.0,-0.6184838677343518
5d,sideway,lightgbm,0.65+,68,0.8643488404464974,0.6617647058823529,-0.20258413456414448
5d,sideway,lightgbm,lt_0.50,12,0.2892493444713375,0.75,0.4607506555286625
5d,sideway,xgboost,0.50-0.55,3,0.5298720995585123,0.0,-0.5298720995585123
5d,sideway,xgboost,0.55-0.60,7,0.5862785407475063,0.7142857142857143,0.128007173538208
5d,sideway,xgboost,0.60-0.65,2,0.6303187608718872,0.5,-0.1303187608718872
5d,sideway,xgboost,0.65+,66,0.8292653262615204,0.6666666666666666,-0.16259865959485376
5d,sideway,xgboost,lt_0.50,14,0.3862458999667849,0.5,0.11375410003321512
