horizon,regime,model_name,signal_bucket,observations,avg_actual_return,median_actual_return,hit_rate,realized_profit_rate,positive_precision,recall_of_profitable_cases,lift_vs_base_rate
5d,bear,cart,moderate_positive,1,-0.0513682189150263,-0.0513682189150263,0.0,0.0,0.0,0.0,0.0
5d,bear,cart,reject,3,0.032415315291645035,0.0288065843621398,1.0,1.0,1.0,0.3333333333333333,1.7777777777777777
5d,bear,cart,strong_or_moderate_positive,6,-0.009625184000875569,-0.0364742691165096,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.5925925925925926
5d,bear,cart,strong_positive,5,-0.001276577018045423,-0.0220433199156603,0.4,0.4,0.4,0.2222222222222222,0.7111111111111111
5d,bear,cart,weak_or_uncertain,7,0.013859328095915476,0.0116678105696637,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.4444444444444444,1.0158730158730158
5d,bear,lightgbm,moderate_positive,4,0.0018199176126789743,0.01279501906303645,0.75,0.75,0.75,0.3333333333333333,1.3333333333333333
5d,bear,lightgbm,reject,0,,,,,,0.0,
5d,bear,lightgbm,strong_or_moderate_positive,12,0.009503738129925943,0.01279501906303645,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.7777777777777778,1.0370370370370372
5d,bear,lightgbm,strong_positive,8,0.013345648388549423,0.009008506657249348,0.5,0.5,0.5,0.4444444444444444,0.8888888888888888
5d,bear,lightgbm,weak_or_uncertain,4,0.005616320245494674,0.003936497185882201,0.5,0.5,0.5,0.2222222222222222,0.8888888888888888
5d,bear,xgboost,moderate_positive,4,-0.0019923369856680515,-0.005559131492015999,0.5,0.5,0.5,0.2222222222222222,0.8888888888888888
5d,bear,xgboost,reject,1,0.0116678105696637,0.0116678105696637,1.0,1.0,1.0,0.1111111111111111,1.7777777777777777
5d,bear,xgboost,strong_or_moderate_positive,11,0.0010046451453314183,-0.0143212951432128,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.5555555555555556,0.8080808080808081
5d,bear,xgboost,strong_positive,7,0.0027172063630454,-0.0143212951432128,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.3333333333333333,0.7619047619047619
5d,bear,xgboost,weak_or_uncertain,4,0.028447807843195175,0.023490039398039248,0.75,0.75,0.75,0.3333333333333333,1.3333333333333333
5d,bull,cart,moderate_positive,2,-0.023595140026936648,-0.023595140026936648,0.0,0.0,0.0,0.0,0.0
5d,bull,cart,reject,9,-0.03367529927593035,-0.0404109589041096,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.9876543209876543
5d,bull,cart,strong_or_moderate_positive,13,-0.04186732206724827,-0.0281602002503129,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.1111111111111111,0.3418803418803419
5d,bull,cart,strong_positive,11,-0.04518953698366856,-0.0449438202247189,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.1111111111111111,0.40404040404040403
5d,bull,cart,weak_or_uncertain,18,-0.010239610268172883,-0.01467711461438225,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.4814814814814814
5d,bull,lightgbm,moderate_positive,6,0.006427747368050382,-0.0064866052495772,0.5,0.5,0.5,0.3333333333333333,2.2222222222222223
5d,bull,lightgbm,reject,4,-0.026548390432830575,-0.04182261865496485,0.25,0.25,0.25,0.1111111111111111,1.1111111111111112
5d,bull,lightgbm,strong_or_moderate_positive,23,-0.03549543919683934,-0.0279126213592233,0.17391304347826086,0.17391304347826086,0.17391304347826086,0.4444444444444444,0.7729468599033816
5d,bull,lightgbm,strong_positive,17,-0.05029185798444747,-0.0449438202247189,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.1111111111111111,0.26143790849673204
5d,bull,lightgbm,weak_or_uncertain,13,-0.008390553994314251,-0.0120401337792641,0.38461538461538464,0.3076923076923077,0.3076923076923077,0.4444444444444444,1.3675213675213675
5d,bull,xgboost,moderate_positive,6,-0.012770237388732114,-0.00757141413372145,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2222222222222222,1.4814814814814814
5d,bull,xgboost,reject,6,-0.04234590569036875,-0.0468612224061383,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.1111111111111111,0.7407407407407407
5d,bull,xgboost,strong_or_moderate_positive,22,-0.02340093901482073,-0.0181720876265304,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.6666666666666666,1.212121212121212
5d,bull,xgboost,strong_positive,16,-0.027387452124603952,-0.028036410804768097,0.25,0.25,0.25,0.4444444444444444,1.1111111111111112
5d,bull,xgboost,weak_or_uncertain,12,-0.02189748105970366,-0.0210646927282451,0.25,0.16666666666666666,0.16666666666666666,0.2222222222222222,0.7407407407407407
5d,sideway,cart,moderate_positive,5,0.02675509069350222,0.0693848354792558,0.6,0.6,0.6,0.05263157894736842,0.968421052631579
5d,sideway,cart,reject,8,0.05180452761103646,0.0610414703210304,0.875,0.875,0.875,0.12280701754385964,1.412280701754386
5d,sideway,cart,strong_or_moderate_positive,40,0.016828330901289944,0.0222637392686083,0.625,0.625,0.625,0.43859649122807015,1.0087719298245614
5d,sideway,cart,strong_positive,35,0.01541022235954534,0.0200587084148728,0.6285714285714286,0.6285714285714286,0.6285714285714286,0.38596491228070173,1.0145363408521304
5d,sideway,cart,weak_or_uncertain,44,0.00987885380034571,0.01988023817253445,0.5909090909090909,0.5681818181818182,0.5681818181818182,0.43859649122807015,0.9170653907496014
5d,sideway,lightgbm,moderate_positive,18,0.03342168161251622,0.03125689693224445,0.6666666666666666,0.6111111111111112,0.6111111111111112,0.19298245614035087,0.9863547758284602
5d,sideway,lightgbm,reject,0,,,,,,0.0,
5d,sideway,lightgbm,strong_or_moderate_positive,62,0.022928829656144855,0.0276777999085852,0.6451612903225806,0.6451612903225806,0.6451612903225806,0.7017543859649122,1.0413129598189022
5d,sideway,lightgbm,strong_positive,44,0.018636299310356565,0.0276777999085852,0.6363636363636364,0.6590909090909091,0.6590909090909091,0.5087719298245614,1.0637958532695375
5d,sideway,lightgbm,weak_or_uncertain,30,0.0033550528491373163,0.0126007428040854,0.6,0.5666666666666667,0.5666666666666667,0.2982456140350877,0.9146198830409357
5d,sideway,xgboost,moderate_positive,27,0.01566660949567254,0.0240715268225586,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3157894736842105,1.0760233918128654
5d,sideway,xgboost,reject,3,-0.0366383540167029,-0.043478260869565,0.0,0.0,0.0,0.0,0.0
5d,sideway,xgboost,strong_or_moderate_positive,69,0.022420097696397617,0.030031948881789,0.6811594202898551,0.6956521739130435,0.6956521739130435,0.8421052631578947,1.1228070175438596
5d,sideway,xgboost,strong_positive,42,0.026761625825435183,0.034978962801667096,0.6904761904761905,0.7142857142857143,0.7142857142857143,0.5263157894736842,1.1528822055137846
5d,sideway,xgboost,weak_or_uncertain,20,0.004258367257688667,0.0059059862651914,0.55,0.45,0.45,0.15789473684210525,0.7263157894736842
