ticker,model_name,observations,mae,rmse,mape,directional_accuracy,naive_mae,naive_rmse,naive_mape,naive_directional_accuracy,momentum_mae,momentum_rmse,momentum_mape,momentum_directional_accuracy,beats_naive_baseline,beats_baseline_mae,beats_baseline_rmse,beats_baseline_mape,beats_baseline_directional_accuracy,wins_vs_naive_baseline
ACB,cart,65,0.030228687950424247,0.04056026211719675,117.05858337966961,0.4461538461538462,0.024150525254262353,0.03097720686231077,100.0,0.09230769230769231,0.03848150923683154,0.05021979101138461,219.66615080251805,0.3384615384615385,False,False,False,False,True,1
ACB,lightgbm,65,0.03325054513623714,0.04154054906183775,200.71468578351835,0.4307692307692308,0.024150525254262353,0.03097720686231077,100.0,0.09230769230769231,0.03848150923683154,0.05021979101138461,219.66615080251805,0.3384615384615385,False,False,False,False,True,1
ACB,momentum_continuation,195,0.03848150923683154,0.05021979101138461,219.666150802518,0.3384615384615385,0.024150525254262353,0.030977206862310775,100.0,0.09230769230769231,,,,,False,False,False,False,True,1
ACB,naive_flat_return,195,0.024150525254262353,0.030977206862310775,100.0,0.09230769230769231,,,,,,,,,False,False,False,False,False,0
ACB,xgboost,65,0.031079937404885738,0.038216393001829586,171.030327175887,0.4,0.024150525254262353,0.03097720686231077,100.0,0.09230769230769231,0.03848150923683154,0.05021979101138461,219.66615080251805,0.3384615384615385,False,False,False,False,True,1
DGC,cart,65,0.09854573470269677,0.11721638146869971,635.110119500687,0.46153846153846156,0.06889670301355298,0.09475715839849574,100.0,0.0,0.11009388950033945,0.13848545987519517,383.2257661186746,0.35384615384615387,False,False,False,False,True,1
DGC,lightgbm,65,0.07722227657287714,0.10326043654843356,245.5941920405623,0.47692307692307695,0.06889670301355298,0.09475715839849574,100.0,0.0,0.11009388950033945,0.13848545987519517,383.2257661186746,0.35384615384615387,False,False,False,False,True,1
DGC,momentum_continuation,195,0.11009388950033948,0.1384854598751952,383.2257661186746,0.35384615384615387,0.06889670301355297,0.09475715839849574,100.0,0.0,,,,,False,False,False,False,True,1
DGC,naive_flat_return,195,0.06889670301355297,0.09475715839849574,100.0,0.0,,,,,,,,,False,False,False,False,False,0
DGC,xgboost,65,0.07748168422337391,0.10053093086096422,262.2646049941325,0.49230769230769234,0.06889670301355298,0.09475715839849574,100.0,0.0,0.11009388950033945,0.13848545987519517,383.2257661186746,0.35384615384615387,False,False,False,False,True,1
HPG,cart,65,0.04870995629822421,0.06074728417148546,321.0789068961068,0.3384615384615385,0.030836641984869982,0.0397160758532792,100.0,0.03076923076923077,0.05110186698655361,0.0669378012940706,266.3681655289922,0.4,False,False,False,False,True,1
HPG,lightgbm,65,0.05171294771669096,0.06220837024496823,346.88663314684425,0.4,0.030836641984869982,0.0397160758532792,100.0,0.03076923076923077,0.05110186698655361,0.0669378012940706,266.3681655289922,0.4,False,False,False,False,True,1
HPG,momentum_continuation,195,0.05110186698655362,0.0669378012940706,266.36816552899234,0.4,0.030836641984869982,0.0397160758532792,100.0,0.03076923076923077,,,,,False,False,False,False,True,1
HPG,naive_flat_return,195,0.030836641984869982,0.0397160758532792,100.0,0.03076923076923077,,,,,,,,,False,False,False,False,False,0
HPG,xgboost,65,0.04568331830229735,0.055000612712363665,331.1152915714025,0.49230769230769234,0.030836641984869982,0.0397160758532792,100.0,0.03076923076923077,0.05110186698655361,0.0669378012940706,266.3681655289922,0.4,False,False,False,False,True,1
MWG,cart,65,0.03587647101015816,0.045635481073575436,170.35283399810325,0.6153846153846154,0.03716217105529469,0.048077960537237854,100.0,0.0,0.06292044264527298,0.07839429934868655,366.1342583969858,0.4153846153846154,True,True,True,False,True,3
MWG,lightgbm,65,0.03527575006656309,0.04629387284499515,204.6054645211993,0.6307692307692307,0.03716217105529469,0.048077960537237854,100.0,0.0,0.06292044264527298,0.07839429934868655,366.1342583969858,0.4153846153846154,True,True,True,False,True,3
MWG,momentum_continuation,195,0.06292044264527298,0.07839429934868655,366.1342583969858,0.4153846153846154,0.0371621710552947,0.048077960537237854,100.0,0.0,,,,,False,False,False,False,True,1
MWG,naive_flat_return,195,0.0371621710552947,0.048077960537237854,100.0,0.0,,,,,,,,,False,False,False,False,False,0
MWG,xgboost,65,0.03686567966439924,0.04716236699015853,271.30092528190016,0.6307692307692307,0.03716217105529469,0.048077960537237854,100.0,0.0,0.06292044264527298,0.07839429934868655,366.1342583969858,0.4153846153846154,True,True,True,False,True,3
OVERALL,cart,260,0.05334021249037584,0.07272833803727971,315.43460131458966,0.4653846153846154,0.040261510326995,0.0587949049309369,100.0,0.03076923076923077,0.0656494270922494,0.08989797747798252,311.3091226952103,0.3769230769230769,False,False,False,False,True,1
OVERALL,lightgbm,260,0.049365379873092086,0.06782576752985485,249.83730962695745,0.4846153846153846,0.040261510326995,0.0587949049309369,100.0,0.03076923076923077,0.0656494270922494,0.08989797747798252,311.3091226952103,0.3769230769230769,False,False,False,False,True,1
OVERALL,momentum_continuation,780,0.0656494270922494,0.08989797747798252,311.30912269521036,0.3769230769230769,0.040261510326995,0.0587949049309369,100.0,0.03076923076923077,,,,,False,False,False,False,True,1
OVERALL,naive_flat_return,780,0.040261510326995,0.0587949049309369,100.0,0.03076923076923077,,,,,,,,,False,False,False,False,False,0
OVERALL,xgboost,260,0.04777765489873905,0.06483887146745398,260.4476672234834,0.5038461538461538,0.040261510326995,0.0587949049309369,100.0,0.03076923076923077,0.0656494270922494,0.08989797747798252,311.3091226952103,0.3769230769230769,False,False,False,False,True,1
