model_name,target_type,ticker,horizon,horizon_days,algorithm,artifact_type,sequence_length,feature_columns,data_start,data_end,raw_rows,indicator_warmup_rows,target_rows_lost,sequence_rows_lost,final_usable_rows,train_window_start,train_window_end,validation_window_start,validation_window_end,risk_engine_enabled,regime_switching_enabled,accuracy,balanced_accuracy,f1,mae,rmse,residual_std,volatility_proxy_source,cagr,sharpe,sortino,max_drawdown,train_seconds,inference_latency_ms
cart,forward_return,ACB,5d,5,cart,joblib,,176,2020-01-02,2025-12-31,1494,61,5,0,1489,2020-01-02,2025-02-05,2025-02-06,2025-12-24,False,False,0.5401785714285714,0.5401785714285714,0.23703703703703705,0.025972816515855777,0.04190559786097372,0.041891165095438096,test_residuals_std,-0.014,-0.4,-0.25,-0.0513,0.08439789997646585,0.0012031250662403181
cart,forward_return,DGC,5d,5,cart,joblib,,176,2020-01-02,2025-12-31,1493,61,5,0,1488,2020-01-02,2025-02-05,2025-02-06,2025-12-24,False,False,0.45535714285714285,0.4325806451612903,0.26506024096385544,0.038541767261283374,0.05830248684030619,0.05802581028180742,test_residuals_std,-0.3378,-3.08,-1.81,-0.331,0.08690530003514141,0.0007964286591491795
cart,forward_return,HPG,5d,5,cart,joblib,,176,2020-01-02,2025-12-31,1499,61,5,0,1494,2020-01-02,2025-02-04,2025-02-05,2025-12-24,False,False,0.4666666666666667,0.4777892561983471,0.4,0.04264368630440989,0.0651235088097238,0.06281333664930251,test_residuals_std,-0.072,-1.17,-1.42,-0.1338,0.0820104000158608,0.0007808888848457071
cart,forward_return,MWG,5d,5,cart,joblib,,176,2020-01-02,2025-12-31,1499,61,5,0,1494,2020-01-02,2025-02-04,2025-02-05,2025-12-24,False,False,0.4622222222222222,0.47491140463917525,0.4474885844748858,0.03976233267245852,0.055598112269793526,0.05396583873548439,test_residuals_std,0.0618,0.56,0.43,-0.1972,0.08781689999159425,0.0008266667524973551
lightgbm,forward_return,ACB,5d,5,lightgbm,joblib,,176,2020-01-02,2025-12-31,1494,61,5,0,1489,2020-01-02,2025-02-05,2025-02-06,2025-12-24,False,False,0.5535714285714286,0.5535714285714286,0.34210526315789475,0.030387968191392174,0.04394194623714568,0.04392971980003103,test_residuals_std,-0.0622,-2.12,-3.12,-0.0663,0.15162030002102256,0.01619910705942727
lightgbm,forward_return,DGC,5d,5,lightgbm,joblib,,176,2020-01-02,2025-12-31,1493,61,5,0,1488,2020-01-02,2025-02-05,2025-02-06,2025-12-24,False,False,0.5044642857142857,0.5156451612903226,0.5276595744680851,0.03999496763135205,0.06147197428773729,0.06069168246411119,test_residuals_std,-0.4757,-3.61,-3.4,-0.4595,0.15181199996732175,0.015487499955010467
lightgbm,forward_return,HPG,5d,5,lightgbm,joblib,,176,2020-01-02,2025-12-31,1499,61,5,0,1494,2020-01-02,2025-02-04,2025-02-05,2025-12-24,False,False,0.5466666666666666,0.5650031786395423,0.43333333333333335,0.0399335808918311,0.05459511712049698,0.054319849587015225,test_residuals_std,-0.0531,-1.02,-1.28,-0.1083,0.15313759999116883,0.019812444483654365
lightgbm,forward_return,MWG,5d,5,lightgbm,joblib,,176,2020-01-02,2025-12-31,1499,61,5,0,1494,2020-01-02,2025-02-04,2025-02-05,2025-12-24,False,False,0.5022222222222222,0.5200547680412371,0.4716981132075472,0.04214673161715617,0.055232052967797075,0.0527944492068651,test_residuals_std,0.008,0.13,0.11,-0.201,0.1603019000031054,0.015704000058273476
xgboost,forward_return,ACB,5d,5,xgboost,joblib,,176,2020-01-02,2025-12-31,1494,61,5,0,1489,2020-01-02,2025-02-05,2025-02-06,2025-12-24,False,False,0.5580357142857143,0.5580357142857143,0.5074626865671642,0.027654641757985626,0.04222512520864794,0.042158782994722206,test_residuals_std,-0.1587,-2.55,-2.16,-0.1427,0.5963927999837324,0.057157589253620245
xgboost,forward_return,DGC,5d,5,xgboost,joblib,,176,2020-01-02,2025-12-31,1493,61,5,0,1488,2020-01-02,2025-02-05,2025-02-06,2025-12-24,False,False,0.5223214285714286,0.5298387096774193,0.5286343612334802,0.04037572154689705,0.060407040291737615,0.058848306320958096,test_residuals_std,-0.5305,-4.77,-4.41,-0.5004,0.589663099963218,0.0857473215936417
xgboost,forward_return,HPG,5d,5,xgboost,joblib,,176,2020-01-02,2025-12-31,1499,61,5,0,1494,2020-01-02,2025-02-04,2025-02-05,2025-12-24,False,False,0.5111111111111111,0.5278925619834711,0.40217391304347827,0.03637348798261763,0.05094040658833636,0.0509166636925439,test_residuals_std,-0.1601,-1.8,-1.47,-0.1887,0.6059141999576241,0.08644622233178881
xgboost,forward_return,MWG,5d,5,xgboost,joblib,,176,2020-01-02,2025-12-31,1499,61,5,0,1494,2020-01-02,2025-02-04,2025-02-05,2025-12-24,False,False,0.49777777777777776,0.5161485180412371,0.46445497630331756,0.04466706599890038,0.057948069486065366,0.05483744069755994,test_residuals_std,-0.0906,-0.78,-0.64,-0.199,0.5993601999944076,0.0863951110901932
