model_name,probability_bucket,bucket_min_probability,bucket_max_probability,observations,avg_predicted_probability,realized_profit_rate,calibration_gap
cart,lt_0.50,0.0,0.5,92,0.0,0.3804347826086957,0.3804347826086957
cart,0.50-0.55,0.5,0.55,0,,,
cart,0.55-0.60,0.55,0.6,0,,,
cart,0.60-0.65,0.6,0.65,0,,,
cart,0.65+,0.65,1.0,76,1.0,0.4473684210526316,-0.5526315789473684
lightgbm,lt_0.50,0.0,0.5,125,0.1493261477428845,0.384,0.2346738522571155
lightgbm,0.50-0.55,0.5,0.55,3,0.5239349576051178,0.0,-0.5239349576051178
lightgbm,0.55-0.60,0.55,0.6,2,0.5814502077379917,1.0,0.4185497922620083
lightgbm,0.60-0.65,0.6,0.65,5,0.6307094095925594,0.4,-0.23070940959255937
lightgbm,0.65+,0.65,1.0,33,0.8251169421970028,0.5151515151515151,-0.3099654270454877
xgboost,lt_0.50,0.0,0.5,113,0.19497460339515083,0.34513274336283184,0.15015813996768101
xgboost,0.50-0.55,0.5,0.55,10,0.5221706688404083,0.5,-0.022170668840408303
xgboost,0.55-0.60,0.55,0.6,7,0.5684517025947571,0.42857142857142855,-0.13988027402332853
xgboost,0.60-0.65,0.6,0.65,8,0.6269074827432632,0.625,-0.0019074827432632446
xgboost,0.65+,0.65,1.0,30,0.7847483972708384,0.5666666666666667,-0.2180817306041718
