horizon,regime,model_name,probability_bucket,observations,avg_predicted_probability,realized_profit_rate,calibration_gap
5d,bull,cart,0.50-0.55,0,,,
5d,bull,cart,0.55-0.60,0,,,
5d,bull,cart,0.60-0.65,0,,,
5d,bull,cart,0.65+,55,1.0,0.36363636363636365,-0.6363636363636364
5d,bull,cart,lt_0.50,73,0.0,0.4794520547945205,0.4794520547945205
5d,bull,lightgbm,0.50-0.55,3,0.5178964314650606,0.3333333333333333,-0.18456309813172728
5d,bull,lightgbm,0.55-0.60,1,0.5935042756520131,0.0,-0.5935042756520131
5d,bull,lightgbm,0.60-0.65,3,0.6331546216511433,0.3333333333333333,-0.29982128831781
5d,bull,lightgbm,0.65+,26,0.8219952405747387,0.5384615384615384,-0.2835337021132003
5d,bull,lightgbm,lt_0.50,95,0.12347924538249923,0.4105263157894737,0.28704707040697447
5d,bull,xgboost,0.50-0.55,4,0.5082960426807404,0.5,-0.008296042680740356
5d,bull,xgboost,0.55-0.60,4,0.5905373245477676,0.5,-0.09053732454776764
5d,bull,xgboost,0.60-0.65,5,0.6247854351997375,0.6,-0.024785435199737527
5d,bull,xgboost,0.65+,31,0.8153192650887274,0.4838709677419355,-0.33144829734679193
5d,bull,xgboost,lt_0.50,84,0.1880878445004955,0.39285714285714285,0.20476929835664734
5d,sideway,cart,0.50-0.55,0,,,
5d,sideway,cart,0.55-0.60,0,,,
5d,sideway,cart,0.60-0.65,0,,,
5d,sideway,cart,0.65+,16,1.0,0.6875,-0.3125
5d,sideway,cart,lt_0.50,24,0.0,0.5833333333333334,0.5833333333333334
5d,sideway,lightgbm,0.50-0.55,2,0.5362824641173806,1.0,0.46371753588261944
5d,sideway,lightgbm,0.55-0.60,0,,,
5d,sideway,lightgbm,0.60-0.65,1,0.6335344201187851,1.0,0.36646557988121486
5d,sideway,lightgbm,0.65+,11,0.8717793245983948,0.5454545454545454,-0.3263247791438494
5d,sideway,lightgbm,lt_0.50,26,0.18696256020727223,0.6153846153846154,0.4284220551773432
5d,sideway,xgboost,0.50-0.55,1,0.5181471109390259,1.0,0.4818528890609741
5d,sideway,xgboost,0.55-0.60,0,,,
5d,sideway,xgboost,0.60-0.65,3,0.6218288342157999,1.0,0.37817116578420007
5d,sideway,xgboost,0.65+,12,0.8051400780677795,0.6666666666666666,-0.1384734114011129
5d,sideway,xgboost,lt_0.50,24,0.23620388059255978,0.5416666666666666,0.3054627860741068
