model_name,bucket_family,signal_bucket,observations,coverage_ratio,avg_actual_return,median_actual_return,hit_rate,realized_profit_rate,positive_precision,recall_of_profitable_cases,lift_vs_base_rate
cart,combined_signal,moderate_positive,8,0.05405405405405406,0.0044021193123264385,-0.01074384304751615,0.375,0.375,0.375,0.04,0.74
cart,combined_signal,reject,20,0.13513513513513514,0.010430223663992686,0.0213644059592745,0.6,0.6,0.6,0.16,1.184
cart,combined_signal,strong_or_moderate_positive,59,0.39864864864864863,0.0012052024605443557,-0.0018999366687776,0.4915254237288136,0.4745762711864407,0.4745762711864407,0.37333333333333335,0.9364971751412429
cart,combined_signal,strong_positive,51,0.34459459459459457,0.0007037253073236395,0.0074906367041198,0.5098039215686274,0.49019607843137253,0.49019607843137253,0.3333333333333333,0.9673202614379084
cart,combined_signal,weak_or_uncertain,69,0.46621621621621623,0.005034375058833441,0.0060371890847621,0.5217391304347826,0.5072463768115942,0.5072463768115942,0.4666666666666667,1.000966183574879
cart,predicted_return_only,moderate_positive,20,0.13513513513513514,0.01053866667077565,0.00510453018759735,0.5,0.5,0.5,0.13333333333333333,0.9866666666666666
cart,predicted_return_only,reject,51,0.34459459459459457,0.008432964581849016,0.0125348189415042,0.5490196078431373,0.5294117647058824,0.5294117647058824,0.36,1.0447058823529412
cart,predicted_return_only,strong_or_moderate_positive,95,0.6418918918918919,0.0006341716014580575,-0.0018999366687776,0.49473684210526314,0.4842105263157895,0.4842105263157895,0.6133333333333333,0.9555087719298245
cart,predicted_return_only,strong_positive,75,0.5067567567567568,-0.0020070270836933016,-0.0018999366687776,0.49333333333333335,0.48,0.48,0.48,0.9471999999999999
cart,predicted_return_only,weak_or_uncertain,2,0.013513513513513514,0.06837790084933146,0.06837790084933146,1.0,1.0,1.0,0.02666666666666667,1.9733333333333332
cart,profit_probability_only,moderate_positive,0,0.0,,,,,,0.0,
cart,profit_probability_only,reject,56,0.3783783783783784,0.003531139825825929,0.0126007428040854,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.4,1.057142857142857
cart,profit_probability_only,strong_or_moderate_positive,92,0.6216216216216216,0.0046667333398394155,0.0067639128944409505,0.5108695652173914,0.4891304347826087,0.4891304347826087,0.6,0.9652173913043478
cart,profit_probability_only,strong_positive,92,0.6216216216216216,0.0046667333398394155,0.0067639128944409505,0.5108695652173914,0.4891304347826087,0.4891304347826087,0.6,0.9652173913043478
cart,profit_probability_only,weak_or_uncertain,0,0.0,,,,,,0.0,
lightgbm,combined_signal,moderate_positive,28,0.1891891891891892,0.023122729417296796,0.01279501906303645,0.6428571428571429,0.6071428571428571,0.6071428571428571,0.22666666666666666,1.1980952380952379
lightgbm,combined_signal,reject,4,0.02702702702702703,-0.026548390432830575,-0.04182261865496485,0.25,0.25,0.25,0.013333333333333334,0.4933333333333333
lightgbm,combined_signal,strong_or_moderate_positive,97,0.6554054054054054,0.0074148164403380155,0.0074906367041198,0.5257731958762887,0.5257731958762887,0.5257731958762887,0.68,1.0375257731958762
lightgbm,combined_signal,strong_positive,69,0.46621621621621623,0.0010405908844706823,-0.0067658998646819,0.4782608695652174,0.4927536231884058,0.4927536231884058,0.4533333333333333,0.9723671497584541
lightgbm,combined_signal,weak_or_uncertain,47,0.31756756756756754,0.00029871626659601916,0.0125086865879082,0.5319148936170213,0.48936170212765956,0.48936170212765956,0.30666666666666664,0.9656737588652481
lightgbm,predicted_return_only,moderate_positive,32,0.21621621621621623,0.024779293760177,0.017362241258717048,0.65625,0.625,0.625,0.26666666666666666,1.2333333333333332
lightgbm,predicted_return_only,reject,17,0.11486486486486487,0.0033064512015574523,0.0126666666666666,0.5294117647058824,0.47058823529411764,0.47058823529411764,0.10666666666666667,0.9286274509803921
lightgbm,predicted_return_only,strong_or_moderate_positive,118,0.7972972972972973,0.00782749215585761,0.0118779684550404,0.5423728813559322,0.5423728813559322,0.5423728813559322,0.8533333333333334,1.070282485875706
lightgbm,predicted_return_only,strong_positive,86,0.581081081081081,0.0015198450472736563,0.0030203571789324006,0.5,0.5116279069767442,0.5116279069767442,0.5866666666666667,1.0096124031007752
lightgbm,predicted_return_only,weak_or_uncertain,13,0.08783783783783784,-0.02713618825432283,-0.030513176144244,0.3076923076923077,0.23076923076923078,0.23076923076923078,0.04,0.4553846153846154
lightgbm,profit_probability_only,moderate_positive,13,0.08783783783783784,-0.010060178630486047,-0.0111625947767479,0.38461538461538464,0.3076923076923077,0.3076923076923077,0.05333333333333334,0.6071794871794871
lightgbm,profit_probability_only,reject,23,0.1554054054054054,-0.0003103104299029221,0.0156889495225103,0.5217391304347826,0.5217391304347826,0.5217391304347826,0.16,1.0295652173913041
lightgbm,profit_probability_only,strong_or_moderate_positive,117,0.7905405405405406,0.006588049750528685,0.0116678105696637,0.5299145299145299,0.5128205128205128,0.5128205128205128,0.8,1.0119658119658117
lightgbm,profit_probability_only,strong_positive,104,0.7027027027027027,0.008669078298155528,0.0125217527647062,0.5480769230769231,0.5384615384615384,0.5384615384615384,0.7466666666666667,1.0625641025641024
lightgbm,profit_probability_only,weak_or_uncertain,8,0.05405405405405406,-0.01707267292657636,-0.01263547017639375,0.375,0.375,0.375,0.04,0.74
xgboost,combined_signal,moderate_positive,37,0.25,0.00914615362454307,0.0200587084148728,0.5945945945945946,0.5945945945945946,0.5945945945945946,0.29333333333333333,1.1733333333333333
xgboost,combined_signal,reject,10,0.06756756756756757,-0.03523226856226575,-0.0407680018258586,0.2,0.2,0.2,0.02666666666666667,0.39466666666666667
xgboost,combined_signal,strong_or_moderate_positive,102,0.6891891891891891,0.010227619405137507,0.0195471207048983,0.5686274509803921,0.5784313725490197,0.5784313725490197,0.7866666666666666,1.141437908496732
xgboost,combined_signal,strong_positive,65,0.4391891891891892,0.01084322300332203,0.0190355329949238,0.5538461538461539,0.5692307692307692,0.5692307692307692,0.49333333333333335,1.1232820512820512
xgboost,combined_signal,weak_or_uncertain,36,0.24324324324324326,-0.0017725332274969386,-0.006790140909397301,0.4722222222222222,0.3888888888888889,0.3888888888888889,0.18666666666666668,0.7674074074074073
xgboost,predicted_return_only,moderate_positive,36,0.24324324324324326,0.006964457608483586,0.0173521752307186,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.28,1.1511111111111112
xgboost,predicted_return_only,reject,22,0.14864864864864866,-0.02480103315318315,-0.029944865695774703,0.2727272727272727,0.22727272727272727,0.22727272727272727,0.06666666666666667,0.44848484848484843
xgboost,predicted_return_only,strong_or_moderate_positive,112,0.7567567567567568,0.008211215641487067,0.0137307552732466,0.5535714285714286,0.5625,0.5625,0.84,1.1099999999999999
xgboost,predicted_return_only,strong_positive,76,0.5135135135135135,0.008801785236067661,0.012813704665250551,0.5394736842105263,0.5526315789473685,0.5526315789473685,0.56,1.0905263157894738
xgboost,predicted_return_only,weak_or_uncertain,14,0.0945945945945946,0.018074991073925416,0.009272937836335149,0.6428571428571429,0.5,0.5,0.09333333333333334,0.9866666666666666
xgboost,profit_probability_only,moderate_positive,20,0.13513513513513514,-0.0017751501135575807,0.01098017348203215,0.55,0.5,0.5,0.13333333333333333,0.9866666666666666
xgboost,profit_probability_only,reject,25,0.16891891891891891,-0.009460112545246223,-0.0069129916567343,0.48,0.44,0.44,0.14666666666666667,0.8682666666666666
xgboost,profit_probability_only,strong_or_moderate_positive,118,0.7972972972972973,0.007768360901415277,0.0126007428040854,0.5423728813559322,0.5338983050847458,0.5338983050847458,0.84,1.0535593220338983
xgboost,profit_probability_only,strong_positive,98,0.6621621621621622,0.009716016210593413,0.0130370509657941,0.5408163265306123,0.5408163265306123,0.5408163265306123,0.7066666666666667,1.0672108843537416
xgboost,profit_probability_only,weak_or_uncertain,5,0.033783783783783786,-0.010616095044873838,-0.0209335899903754,0.2,0.2,0.2,0.013333333333333334,0.39466666666666667
