frequency,model,horizon,threshold,total_rows,evaluated_rows,coverage_ratio,filtered_accuracy,passed_60pct,coverage_floor_50pct_ok,coverage_floor_40pct_ok,coverage_floor_30pct_ok,coverage_floor_20pct_ok,selected_at_50pct_floor,selected_at_40pct_floor,selected_at_30pct_floor,selected_at_20pct_floor,ticker_count,top_ticker,top1_prediction_share,top3_prediction_share,ticker_concentration_warning
hourly,lightgbm,1,0.5,4580,4580,1.0,0.5438864628820961,False,True,True,True,True,False,False,False,False,27,VJC,0.04148471615720524,0.1222707423580786,no
hourly,lightgbm,1,0.51,4580,4456,0.9729257641921397,0.546229802513465,False,True,True,True,True,False,False,False,False,27,VIC,0.04061938958707361,0.1209605026929982,no
hourly,lightgbm,1,0.52,4580,4321,0.9434497816593886,0.5450127285350613,False,True,True,True,True,False,False,False,False,27,VJC,0.040268456375838924,0.12011108539689887,no
hourly,lightgbm,1,0.53,4580,4203,0.9176855895196506,0.5481798715203426,False,True,True,True,True,False,False,False,False,27,VPL,0.04068522483940043,0.12110397335236736,no
hourly,lightgbm,1,0.54,4580,4089,0.8927947598253275,0.5480557593543653,False,True,True,True,True,False,False,False,False,27,MWG,0.04035216434336023,0.12007825874296894,no
hourly,lightgbm,1,0.55,4580,3972,0.8672489082969432,0.5508559919436052,False,True,True,True,True,False,False,False,False,27,VPL,0.04003021148036254,0.11908358509566969,no
hourly,lightgbm,1,0.56,4580,3855,0.8417030567685589,0.5514915693904021,False,True,True,True,True,False,False,False,False,27,VPL,0.04072632944228275,0.12036316472114138,no
hourly,lightgbm,1,0.57,4580,3728,0.8139737991266376,0.5539163090128756,False,True,True,True,True,False,False,False,False,27,VPL,0.04104077253218884,0.12097639484978541,no
hourly,lightgbm,1,0.58,4580,3614,0.7890829694323144,0.5561704482567792,False,True,True,True,True,False,False,False,False,27,VPL,0.0417819590481461,0.12147205312672939,no
hourly,lightgbm,1,0.59,4580,3497,0.7635371179039301,0.5556191020875035,False,True,True,True,True,False,False,False,False,27,VPL,0.042036030883614524,0.12267657992565056,no
hourly,lightgbm,1,0.6,4580,3386,0.7393013100436682,0.558476077968104,False,True,True,True,True,False,False,False,False,27,VPL,0.04311872415829888,0.12374483165977555,no
hourly,lightgbm,1,0.61,4580,3253,0.7102620087336244,0.5622502305564094,False,True,True,True,True,False,False,False,False,27,VPL,0.04303719643406086,0.12480786965877651,no
hourly,lightgbm,1,0.62,4580,3117,0.6805676855895196,0.5646454924606994,False,True,True,True,True,False,False,False,False,27,VPL,0.04331087584215592,0.12640359319858838,no
hourly,lightgbm,1,0.63,4580,3005,0.6561135371179039,0.5647254575707155,False,True,True,True,True,False,False,False,False,27,VPL,0.043926788685524125,0.12612312811980034,no
hourly,lightgbm,1,0.64,4580,2894,0.631877729257642,0.5673807878369039,False,True,True,True,True,False,False,False,False,27,VPL,0.045266067726330336,0.12854181064270906,no
hourly,lightgbm,1,0.65,4580,2787,0.6085152838427947,0.5733763903839254,False,True,True,True,True,False,False,False,False,27,VPL,0.04520990312163617,0.12881234302116973,no
hourly,lightgbm,1,0.66,4580,2687,0.5866812227074236,0.5757350204689244,False,True,True,True,True,False,False,False,False,27,VPL,0.04614812058057313,0.13025679196129514,no
hourly,lightgbm,1,0.67,4580,2578,0.5628820960698689,0.5764158262218774,False,True,True,True,True,False,False,False,False,27,VPL,0.04654771140418929,0.13227307990690457,no
hourly,lightgbm,1,0.68,4580,2463,0.5377729257641921,0.5757206658546488,False,True,True,True,True,False,False,False,False,27,VPL,0.04628501827040195,0.13235891189606172,no
hourly,lightgbm,1,0.69,4580,2361,0.5155021834061135,0.5772977551884795,False,True,True,True,True,False,False,False,False,27,VPL,0.047861075815332485,0.1351122405760271,no
hourly,lightgbm,1,0.7,4580,2243,0.48973799126637557,0.5849308961212661,False,False,True,True,True,False,False,False,False,27,VPL,0.04770396790013375,0.13731609451627286,no
hourly,lightgbm,1,0.71,4580,2142,0.46768558951965067,0.5859010270774977,False,False,True,True,True,False,False,False,False,27,VPL,0.04855275443510738,0.1400560224089636,no
