model_name,probability_bucket,bucket_min_probability,bucket_max_probability,observations,avg_predicted_probability,realized_profit_rate,calibration_gap
cart,lt_0.50,0.0,0.5,108,0.0,0.4537037037037037,0.4537037037037037
cart,0.50-0.55,0.5,0.55,0,,,
cart,0.55-0.60,0.55,0.6,0,,,
cart,0.60-0.65,0.6,0.65,0,,,
cart,0.65+,0.65,1.0,40,1.0,0.65,-0.35
lightgbm,lt_0.50,0.0,0.5,127,0.09989034978650652,0.4881889763779528,0.38829862659144626
lightgbm,0.50-0.55,0.5,0.55,3,0.5282185238679015,0.3333333333333333,-0.19488519053456815
lightgbm,0.55-0.60,0.55,0.6,1,0.5522933831807476,1.0,0.4477066168192524
lightgbm,0.60-0.65,0.6,0.65,0,,,
lightgbm,0.65+,0.65,1.0,17,0.8337990630076513,0.6470588235294118,-0.18674023947823948
xgboost,lt_0.50,0.0,0.5,128,0.19940049496653955,0.4765625,0.27716200503346045
xgboost,0.50-0.55,0.5,0.55,3,0.5261024634043375,0.6666666666666666,0.1405642032623291
xgboost,0.55-0.60,0.55,0.6,1,0.5827799439430237,1.0,0.4172200560569763
xgboost,0.60-0.65,0.6,0.65,1,0.6057974100112915,1.0,0.3942025899887085
xgboost,0.65+,0.65,1.0,15,0.7799280603726705,0.6666666666666666,-0.11326139370600385
