ticker,model_name,observations,accuracy,precision,recall,f1,roc_auc,positive_class_precision,true_negative,false_positive,false_negative,true_positive
ACB,cart,65,0.6615384615384615,0.5238095238095238,0.9166666666666666,0.6666666666666666,0.714430894308943,0.5238095238095238,21,20,2,22
ACB,lightgbm,65,0.6307692307692307,0.0,0.0,0.0,0.6290650406504066,0.0,41,0,24,0
ACB,xgboost,65,0.6153846153846154,0.0,0.0,0.0,0.7449186991869918,0.0,40,1,24,0
DGC,cart,65,0.2923076923076923,0.34615384615384615,0.6,0.43902439024390244,0.3142857142857143,0.34615384615384615,1,34,12,18
DGC,lightgbm,65,0.4153846153846154,0.3,0.2,0.24,0.5561904761904762,0.3,21,14,24,6
DGC,xgboost,65,0.4307692307692308,0.34782608695652173,0.26666666666666666,0.3018867924528302,0.49142857142857144,0.34782608695652173,20,15,22,8
HPG,cart,65,0.676923076923077,0.6956521739130435,0.5333333333333333,0.6037735849056604,0.7533333333333333,0.6956521739130435,28,7,14,16
HPG,lightgbm,65,0.5538461538461539,0.5555555555555556,0.16666666666666666,0.2564102564102564,0.5295238095238095,0.5555555555555556,31,4,25,5
HPG,xgboost,65,0.5692307692307692,0.6,0.2,0.3,0.4704761904761905,0.6,31,4,24,6
MWG,cart,65,0.49230769230769234,0.0,0.0,0.0,0.5,0.0,32,0,33,0
MWG,lightgbm,65,0.49230769230769234,0.0,0.0,0.0,0.6486742424242424,0.0,32,0,33,0
MWG,xgboost,65,0.49230769230769234,0.0,0.0,0.0,0.42803030303030304,0.0,32,0,33,0
OVERALL,cart,260,0.5307692307692308,0.47863247863247865,0.47863247863247865,0.47863247863247865,0.510429741198972,0.47863247863247865,82,61,61,56
OVERALL,lightgbm,260,0.5230769230769231,0.3793103448275862,0.09401709401709402,0.1506849315068493,0.5640427948120256,0.3793103448275862,125,18,106,11
OVERALL,xgboost,260,0.5269230769230769,0.4117647058823529,0.11965811965811966,0.18543046357615894,0.5245950630566015,0.4117647058823529,123,20,103,14
