index_code,chunk_start,chunk_end,granularity,provider,source,success,rows,exception_type,exception_message
VNINDEX,2026-01-01,2026-05-14,year,repo_adapter,KBS,true,86,,
VNINDEX,2025-01-01,2025-12-31,year,repo_adapter,KBS,true,249,,
VNINDEX,2024-01-01,2024-12-31,year,repo_adapter,KBS,true,250,,
VNINDEX,2023-01-01,2023-12-31,year,repo_adapter,KBS,true,249,,
VNINDEX,2022-01-01,2022-12-31,year,repo_adapter,KBS,true,160,,
VNINDEX,2021-01-01,2021-12-31,year,repo_adapter,KBS,false,0,,
VNINDEX,2021-01-01,2021-12-31,year,vnstock_data,KBS,false,0,,
VNINDEX,2021-01-01,2021-12-31,year,vnstock_data,VCI,false,0,RetryError,RetryError[<Future at 0x10d03bf05f0 state=finished raised ConnectionError>]
VNINDEX,2021-01-01,2021-12-31,year,legacy_vnstock,KBS,false,0,RetryError,RetryError[<Future at 0x10d03b99350 state=finished raised ValueError>]
VNINDEX,2021-01-01,2021-12-31,year,legacy_vnstock,VCI,false,0,RetryError,RetryError[<Future at 0x10d03b9ad50 state=finished raised ValueError>]
VNINDEX,2021-12-01,2021-12-31,month,repo_adapter,KBS,false,0,,
VNINDEX,2021-12-01,2021-12-31,month,vnstock_data,KBS,false,0,,
VNINDEX,2021-12-01,2021-12-31,month,vnstock_data,VCI,false,0,RetryError,RetryError[<Future at 0x10d03b98650 state=finished raised ConnectionError>]
VNINDEX,2021-12-01,2021-12-31,month,legacy_vnstock,KBS,false,0,RetryError,RetryError[<Future at 0x10d03b9b6d0 state=finished raised ValueError>]
VNINDEX,2021-12-01,2021-12-31,month,legacy_vnstock,VCI,false,0,RetryError,RetryError[<Future at 0x10d03b993d0 state=finished raised ValueError>]
VNINDEX,2021-12-27,2021-12-31,5day,repo_adapter,KBS,false,0,,
VNINDEX,2021-12-27,2021-12-31,5day,vnstock_data,KBS,false,0,,
VNINDEX,2021-12-27,2021-12-31,5day,vnstock_data,VCI,false,0,RetryError,RetryError[<Future at 0x10d03c20950 state=finished raised ConnectionError>]
VNINDEX,2021-12-27,2021-12-31,5day,legacy_vnstock,KBS,false,0,RetryError,RetryError[<Future at 0x10d03b1ed50 state=finished raised ValueError>]
VNINDEX,2021-12-27,2021-12-31,5day,legacy_vnstock,VCI,false,0,RetryError,RetryError[<Future at 0x10d03b7de50 state=finished raised ValueError>]
