model_name,target_type,ticker,horizon,horizon_days,algorithm,artifact_type,sequence_length,feature_columns,data_start,data_end,raw_rows,indicator_warmup_rows,target_rows_lost,sequence_rows_lost,final_usable_rows,train_window_start,train_window_end,validation_window_start,validation_window_end,risk_engine_enabled,regime_switching_enabled,accuracy,balanced_accuracy,f1,mae,rmse,residual_std,volatility_proxy_source,cagr,sharpe,sortino,max_drawdown,train_seconds,inference_latency_ms
cart,forward_return,ACB,3d,3,cart,joblib,,176,2020-01-02,2025-12-31,1494,61,3,0,1491,2020-01-02,2025-02-07,2025-02-10,2025-12-26,False,False,0.48660714285714285,0.5112179487179487,0.25806451612903225,0.020238769265715967,0.035914633138113,0.03581307962396713,test_residuals_std,0.0895,1.02,0.89,-0.0791,0.08409040002152324,0.0007785713803189408
cart,forward_return,DGC,3d,3,cart,joblib,,176,2020-01-02,2025-12-31,1493,61,3,0,1490,2020-01-02,2025-02-07,2025-02-10,2025-12-26,False,False,0.44642857142857145,0.46228769218385257,0.504,0.029941881276846445,0.04706350838245983,0.04622223945257327,test_residuals_std,-0.4657,-3.81,-3.31,-0.444,0.08318190003046766,0.0010754463021709984
cart,forward_return,HPG,3d,3,cart,joblib,,176,2020-01-02,2025-12-31,1499,61,3,0,1496,2020-01-02,2025-02-06,2025-02-07,2025-12-26,False,False,0.44,0.4373219373219373,0.48360655737704916,0.02223178031403733,0.03446203685352583,0.034459997533432776,test_residuals_std,0.0331,0.34,0.45,-0.1372,0.08183199999621138,0.0007084446648756663
cart,forward_return,MWG,3d,3,cart,joblib,,176,2020-01-02,2025-12-31,1499,61,3,0,1496,2020-01-02,2025-02-06,2025-02-07,2025-12-26,False,False,0.5111111111111111,0.524390243902439,0.46078431372549017,0.03028070732546889,0.04142197527147381,0.04124528230917209,test_residuals_std,-0.2236,-1.93,-1.42,-0.2898,0.08516949997283518,0.0007928889762196275
lightgbm,forward_return,ACB,3d,3,lightgbm,joblib,,176,2020-01-02,2025-12-31,1494,61,3,0,1491,2020-01-02,2025-02-07,2025-02-10,2025-12-26,False,False,0.5,0.5121794871794871,0.422680412371134,0.02186842363751823,0.033759619735209,0.033309055647727376,test_residuals_std,-0.1131,-1.23,-1.22,-0.1267,0.6152986999950372,0.017941517788650736
lightgbm,forward_return,DGC,3d,3,lightgbm,joblib,,176,2020-01-02,2025-12-31,1493,61,3,0,1490,2020-01-02,2025-02-07,2025-02-10,2025-12-26,False,False,0.5580357142857143,0.5665700716413105,0.5714285714285714,0.029832206346423727,0.045896061349956045,0.045367415215716356,test_residuals_std,-0.3674,-2.23,-2.43,-0.3743,0.15771820000372827,0.015988392988219857
lightgbm,forward_return,HPG,3d,3,lightgbm,joblib,,176,2020-01-02,2025-12-31,1499,61,3,0,1496,2020-01-02,2025-02-06,2025-02-07,2025-12-26,False,False,0.4577777777777778,0.45975783475783477,0.44036697247706424,0.028792756540816644,0.04095233378156001,0.040703280172338575,test_residuals_std,-0.0452,-0.31,-0.45,-0.1436,0.1511221999535337,0.019187111045337386
lightgbm,forward_return,MWG,3d,3,lightgbm,joblib,,176,2020-01-02,2025-12-31,1499,61,3,0,1496,2020-01-02,2025-02-06,2025-02-07,2025-12-26,False,False,0.5066666666666667,0.5253467240554759,0.418848167539267,0.03394772802451707,0.04686710257748708,0.04422767544030241,test_residuals_std,-0.0387,-0.16,-0.14,-0.2261,0.16245940001681447,0.015643111223147974
xgboost,forward_return,ACB,3d,3,xgboost,joblib,,176,2020-01-02,2025-12-31,1494,61,3,0,1491,2020-01-02,2025-02-07,2025-02-10,2025-12-26,False,False,0.53125,0.5451923076923078,0.4444444444444444,0.021380795807187984,0.03248004517173074,0.032435391285578055,test_residuals_std,-0.207,-2.01,-1.76,-0.1914,0.5080987999681383,0.038444642996182665
xgboost,forward_return,DGC,3d,3,xgboost,joblib,,176,2020-01-02,2025-12-31,1493,61,3,0,1490,2020-01-02,2025-02-07,2025-02-10,2025-12-26,False,False,0.5089285714285714,0.5165418980922483,0.5217391304347826,0.02881597030321581,0.04527216437817123,0.04487156480325675,test_residuals_std,-0.4297,-2.89,-2.99,-0.3997,0.5960345999919809,0.08792276769651965
xgboost,forward_return,HPG,3d,3,xgboost,joblib,,176,2020-01-02,2025-12-31,1499,61,3,0,1496,2020-01-02,2025-02-06,2025-02-07,2025-12-26,False,False,0.49333333333333335,0.49715099715099714,0.4519230769230769,0.025450908936520213,0.03769648357246236,0.037123512764388515,test_residuals_std,-0.1096,-0.74,-0.92,-0.1579,0.597559799964074,0.08497111111258467
xgboost,forward_return,MWG,3d,3,xgboost,joblib,,176,2020-01-02,2025-12-31,1499,61,3,0,1496,2020-01-02,2025-02-06,2025-02-07,2025-12-26,False,False,0.5111111111111111,0.5235533237685318,0.46601941747572817,0.033980212510535276,0.04678020365308931,0.04474115430560651,test_residuals_std,0.0498,0.38,0.33,-0.222,0.5950719000538811,0.05573866656050086
